,Kween Kanali,Improper,Graphite Mist,Shalook,Communication,Huayu Rainbow,Shezabarbie,Wicked Missile
10-01-2023 14:57:27.764948,"(7.5, 10.5, 10.237931034482758)","(5.0, 8.0, 7.637037037037037)","(2.6, 3.4, 3.3333333333333335)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.328571428571429)","(26.0, 50.0, 40.526315789473685)","(101.0, 230.0, 226.0)","(91.0, 230.0, 205.83333333333334)"
10-01-2023 14:57:29.003655,"(7.5, 10.5, 10.237931034482758)","(5.0, 8.0, 7.637037037037037)","(2.6, 3.4, 3.3333333333333335)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.328571428571429)","(26.0, 50.0, 40.526315789473685)","(101.0, 230.0, 226.0)","(91.0, 230.0, 205.83333333333334)"
10-01-2023 14:57:30.282246,"(7.5, 10.5, 10.237931034482758)","(5.0, 8.0, 7.637037037037037)","(2.6, 3.4, 3.3333333333333335)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.328571428571429)","(26.0, 50.0, 40.526315789473685)","(101.0, 230.0, 226.0)","(91.0, 230.0, 205.83333333333334)"
10-01-2023 14:57:31.489702,"(7.5, 10.5, 10.237931034482758)","(5.0, 8.0, 7.637037037037037)","(2.6, 3.4, 3.3333333333333335)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.328571428571429)","(26.0, 50.0, 40.526315789473685)","(101.0, 230.0, 226.0)","(91.0, 230.0, 205.83333333333334)"
10-01-2023 14:57:32.579708,"(7.5, 10.5, 9.414285714285715)","(5.0, 8.0, 7.637037037037037)","(2.6, 3.4, 3.3333333333333335)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.328571428571429)","(26.0, 50.0, 40.526315789473685)","(101.0, 230.0, 226.0)","(91.0, 230.0, 205.83333333333334)"
10-01-2023 14:57:33.708900,"(7.5, 10.5, 9.414285714285715)","(5.0, 8.0, 7.637037037037037)","(2.6, 3.4, 3.3333333333333335)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.328571428571429)","(26.0, 50.0, 40.526315789473685)","(101.0, 230.0, 226.0)","(91.0, 230.0, 205.83333333333334)"
10-01-2023 14:57:34.855463,"(7.5, 10.5, 9.414285714285715)","(5.0, 8.0, 7.469565217391304)","(2.6, 3.4, 3.2800000000000002)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.723529411764706)","(26.0, 50.0, 40.526315789473685)","(101.0, 230.0, 226.0)","(91.0, 230.0, 205.83333333333334)"
10-01-2023 14:57:36.138227,"(7.5, 10.5, 9.414285714285715)","(5.0, 7.6, 7.266666666666667)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.5875)","(26.0, 50.0, 33.8)","(101.0, 230.0, 226.0)","(91.0, 230.0, 133.33333333333334)"
10-01-2023 14:57:37.339951,"(7.5, 10.5, 9.3)","(5.0, 7.6, 7.333333333333333)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.691666666666667)","(26.0, 50.0, 33.8)","(101.0, 230.0, 226.0)","(91.0, 220.0, 133.33333333333334)"
10-01-2023 14:57:38.468134,"(7.5, 10.5, 9.3)","(5.0, 7.6, 7.066666666666666)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.691666666666667)","(26.0, 50.0, 33.8)","(101.0, 230.0, 226.0)","(91.0, 220.0, 133.33333333333334)"
10-01-2023 14:57:39.545336,"(7.5, 10.5, 9.3)","(5.0, 7.6, 7.066666666666666)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.691666666666667)","(26.0, 50.0, 33.8)","(101.0, 230.0, 226.0)","(91.0, 220.0, 133.33333333333334)"
10-01-2023 14:57:40.641928,"(7.5, 10.5, 9.3)","(5.0, 7.6, 7.066666666666666)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.691666666666667)","(26.0, 50.0, 33.8)","(101.0, 230.0, 226.0)","(91.0, 220.0, 133.33333333333334)"
10-01-2023 14:57:41.814685,"(7.5, 10.5, 9.3)","(5.0, 7.6, 6.984615384615385)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.691666666666667)","(26.0, 50.0, 33.8)","(101.0, 230.0, 226.0)","(91.0, 220.0, 133.33333333333334)"
10-01-2023 14:57:42.969910,"(7.5, 10.5, 9.3)","(5.0, 7.6, 6.984615384615385)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.691666666666667)","(26.0, 50.0, 33.8)","(101.0, 230.0, 226.0)","(91.0, 220.0, 133.33333333333334)"
10-01-2023 14:57:44.077875,"(7.5, 10.5, 9.3)","(5.0, 7.6, 6.984615384615385)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.691666666666667)","(26.0, 50.0, 33.8)","(101.0, 230.0, 226.0)","(91.0, 220.0, 133.33333333333334)"
10-01-2023 14:57:45.220010,"(7.5, 10.5, 9.3)","(5.0, 7.6, 6.984615384615385)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.691666666666667)","(26.0, 50.0, 33.8)","(101.0, 230.0, 226.0)","(91.0, 220.0, 133.33333333333334)"
10-01-2023 14:57:46.428607,"(7.5, 10.5, 9.655555555555555)","(5.0, 7.6, 6.984615384615385)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.691666666666667)","(26.0, 50.0, 33.8)","(101.0, 230.0, 226.0)","(91.0, 220.0, 168.0)"
10-01-2023 14:57:47.722473,"(7.5, 10.5, 10.254838709677419)","(5.0, 7.6, 6.984615384615385)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.691666666666667)","(26.0, 50.0, 35.0)","(101.0, 230.0, 226.0)","(91.0, 220.0, 195.0)"
10-01-2023 14:57:49.000147,"(7.5, 10.5, 9.528571428571428)","(5.0, 7.6, 6.984615384615385)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.691666666666667)","(26.0, 50.0, 35.0)","(101.0, 230.0, 226.0)","(91.0, 230.0, 195.0)"
10-01-2023 14:57:50.264955,"(7.5, 10.5, 9.528571428571428)","(5.0, 7.6, 6.984615384615385)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.691666666666667)","(26.0, 50.0, 35.0)","(101.0, 230.0, 226.0)","(91.0, 230.0, 195.0)"
10-01-2023 14:57:51.453493,"(7.5, 10.5, 10.207692307692309)","(5.0, 7.6, 6.984615384615385)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.691666666666667)","(26.0, 50.0, 35.0)","(101.0, 230.0, 226.0)","(91.0, 230.0, 195.0)"
10-01-2023 14:57:52.681291,"(7.5, 10.5, 10.207692307692309)","(5.0, 7.6, 6.984615384615385)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.691666666666667)","(26.0, 50.0, 35.0)","(101.0, 230.0, 226.0)","(91.0, 230.0, 195.0)"
10-01-2023 14:57:53.934155,"(7.5, 10.5, 10.207692307692309)","(5.0, 7.6, 6.984615384615385)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.691666666666667)","(26.0, 50.0, 35.0)","(101.0, 230.0, 226.0)","(91.0, 230.0, 195.0)"
10-01-2023 14:57:55.249923,"(7.5, 10.5, 10.207692307692309)","(5.0, 7.6, 6.984615384615385)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.691666666666667)","(26.0, 50.0, 35.0)","(101.0, 230.0, 226.0)","(91.0, 230.0, 195.0)"
10-01-2023 14:57:56.467104,"(7.5, 10.5, 10.207692307692309)","(5.0, 7.6, 6.984615384615385)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.691666666666667)","(26.0, 50.0, 35.0)","(101.0, 230.0, 226.0)","(91.0, 230.0, 195.0)"
10-01-2023 14:57:57.637898,"(7.5, 10.5, 9.744444444444445)","(5.0, 7.6, 6.984615384615385)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.691666666666667)","(26.0, 50.0, 35.0)","(101.0, 230.0, 226.0)","(91.0, 230.0, 195.0)"
10-01-2023 14:57:58.840471,"(7.5, 10.5, 9.744444444444445)","(5.0, 7.6, 6.984615384615385)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.691666666666667)","(26.0, 50.0, 37.333333333333336)","(101.0, 230.0, 226.0)","(91.0, 230.0, 168.0)"
10-01-2023 14:58:00.073555,"(7.5, 10.5, 9.744444444444445)","(5.0, 7.6, 6.984615384615385)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.691666666666667)","(26.0, 48.0, 34.666666666666664)","(101.0, 230.0, 226.0)","(91.0, 220.0, 168.0)"
10-01-2023 14:58:01.285795,"(7.5, 10.5, 9.744444444444445)","(5.0, 7.6, 6.984615384615385)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.691666666666667)","(26.0, 48.0, 34.666666666666664)","(101.0, 230.0, 226.0)","(91.0, 220.0, 168.0)"
10-01-2023 14:58:02.515858,"(7.5, 10.5, 9.744444444444445)","(5.0, 7.6, 6.984615384615385)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.691666666666667)","(26.0, 48.0, 34.666666666666664)","(101.0, 230.0, 226.0)","(91.0, 220.0, 168.0)"
10-01-2023 14:58:03.740290,"(7.5, 10.5, 9.744444444444445)","(5.0, 7.6, 6.984615384615385)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.691666666666667)","(26.0, 48.0, 34.666666666666664)","(101.0, 230.0, 226.0)","(91.0, 220.0, 168.0)"
10-01-2023 14:58:04.877873,"(7.5, 10.5, 9.744444444444445)","(5.0, 7.6, 6.9714285714285715)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.691666666666667)","(26.0, 48.0, 34.666666666666664)","(101.0, 230.0, 226.0)","(91.0, 220.0, 168.0)"
10-01-2023 14:58:06.061791,"(7.5, 10.5, 9.744444444444445)","(5.0, 7.6, 6.9714285714285715)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.691666666666667)","(26.0, 48.0, 34.666666666666664)","(101.0, 230.0, 226.0)","(91.0, 220.0, 168.0)"
10-01-2023 14:58:07.287962,"(7.5, 10.5, 9.744444444444445)","(5.0, 7.6, 7.245161290322581)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.691666666666667)","(26.0, 48.0, 34.666666666666664)","(101.0, 230.0, 226.0)","(91.0, 220.0, 168.0)"
10-01-2023 14:58:08.469506,"(7.5, 10.5, 9.744444444444445)","(5.0, 7.6, 7.245161290322581)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.691666666666667)","(26.0, 48.0, 34.666666666666664)","(101.0, 230.0, 226.0)","(91.0, 220.0, 168.0)"
10-01-2023 14:58:09.636224,"(7.5, 10.5, 9.744444444444445)","(5.0, 7.6, 7.245161290322581)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.691666666666667)","(26.0, 48.0, 34.666666666666664)","(101.0, 230.0, 226.0)","(91.0, 220.0, 168.0)"
10-01-2023 14:58:10.845382,"(7.5, 10.5, 9.744444444444445)","(5.0, 7.6, 7.245161290322581)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.691666666666667)","(26.0, 48.0, 34.666666666666664)","(101.0, 230.0, 226.0)","(91.0, 220.0, 168.0)"
10-01-2023 14:58:12.094243,"(7.5, 10.5, 9.744444444444445)","(5.0, 7.6, 7.245161290322581)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.691666666666667)","(26.0, 48.0, 34.666666666666664)","(101.0, 230.0, 226.0)","(91.0, 220.0, 168.0)"
10-01-2023 14:58:13.363428,"(7.5, 10.5, 9.744444444444445)","(5.0, 7.6, 7.245161290322581)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.614285714285715)","(26.0, 48.0, 34.666666666666664)","(101.0, 230.0, 226.0)","(91.0, 220.0, 195.0)"
10-01-2023 14:58:14.610219,"(7.5, 10.5, 9.744444444444445)","(5.0, 7.6, 7.245161290322581)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.614285714285715)","(26.0, 48.0, 34.666666666666664)","(101.0, 230.0, 226.0)","(91.0, 230.0, 195.0)"
10-01-2023 14:58:15.861854,"(7.5, 10.5, 9.744444444444445)","(5.0, 7.6, 7.245161290322581)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.614285714285715)","(26.0, 48.0, 34.666666666666664)","(101.0, 230.0, 226.0)","(91.0, 230.0, 195.0)"
10-01-2023 14:58:17.047952,"(7.5, 10.5, 9.744444444444445)","(5.0, 7.6, 7.245161290322581)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.614285714285715)","(26.0, 48.0, 36.0)","(101.0, 230.0, 226.0)","(91.0, 230.0, 195.0)"
10-01-2023 14:58:18.238566,"(7.5, 10.5, 9.744444444444445)","(5.0, 7.6, 7.245161290322581)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.614285714285715)","(26.0, 48.0, 36.0)","(101.0, 230.0, 226.0)","(91.0, 230.0, 195.0)"
10-01-2023 14:58:19.529776,"(7.5, 10.5, 9.744444444444445)","(5.0, 7.6, 7.245161290322581)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.614285714285715)","(26.0, 48.0, 36.0)","(101.0, 230.0, 226.0)","(91.0, 230.0, 195.0)"
10-01-2023 14:58:20.757085,"(7.5, 10.5, 9.744444444444445)","(5.0, 7.6, 7.245161290322581)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.614285714285715)","(26.0, 48.0, 36.0)","(101.0, 230.0, 226.0)","(91.0, 230.0, 168.0)"
10-01-2023 14:58:22.022462,"(7.5, 10.5, 9.744444444444445)","(5.0, 7.6, 7.245161290322581)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.614285714285715)","(26.0, 48.0, 36.0)","(101.0, 230.0, 226.0)","(91.0, 220.0, 168.0)"
10-01-2023 14:58:23.277119,"(7.5, 10.5, 9.744444444444445)","(5.0, 7.6, 7.245161290322581)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.614285714285715)","(26.0, 48.0, 36.0)","(101.0, 230.0, 226.0)","(91.0, 220.0, 168.0)"
10-01-2023 14:58:24.528816,"(7.5, 10.5, 9.744444444444445)","(5.0, 7.6, 7.245161290322581)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.614285714285715)","(26.0, 48.0, 36.0)","(101.0, 230.0, 226.0)","(91.0, 220.0, 168.0)"
10-01-2023 14:58:25.754353,"(7.5, 10.5, 9.744444444444445)","(5.0, 7.6, 7.245161290322581)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.614285714285715)","(26.0, 48.0, 36.0)","(101.0, 230.0, 226.0)","(91.0, 220.0, 168.0)"
10-01-2023 14:58:27.001559,"(7.5, 10.5, 9.744444444444445)","(5.0, 7.6, 7.245161290322581)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.614285714285715)","(26.0, 48.0, 36.0)","(101.0, 230.0, 226.0)","(91.0, 220.0, 168.0)"
10-01-2023 14:58:28.315548,"(7.5, 10.5, 9.744444444444445)","(5.0, 7.6, 7.245161290322581)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.614285714285715)","(26.0, 48.0, 36.0)","(101.0, 230.0, 226.0)","(91.0, 220.0, 168.0)"
10-01-2023 14:58:29.633116,"(7.5, 10.5, 9.933333333333334)","(5.0, 7.6, 7.245161290322581)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.614285714285715)","(26.0, 48.0, 36.0)","(101.0, 230.0, 226.0)","(91.0, 220.0, 168.0)"
10-01-2023 14:58:30.992429,"(7.5, 10.5, 9.933333333333334)","(5.0, 7.6, 7.245161290322581)","(2.6, 3.35, 3.2800000000000002)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.614285714285715)","(26.0, 48.0, 36.0)","(101.0, 230.0, 226.0)","(91.0, 220.0, 168.0)"
10-01-2023 14:58:32.327726,"(7.5, 10.5, 9.933333333333334)","(5.0, 7.6, 7.314285714285714)","(2.6, 3.35, 3.35)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.614285714285715)","(26.0, 48.0, 36.0)","(101.0, 230.0, 226.0)","(91.0, 220.0, 195.0)"
10-01-2023 14:58:33.611463,"(7.5, 10.5, 9.933333333333334)","(5.0, 7.6, 7.314285714285714)","(2.6, 3.4, 3.35)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.614285714285715)","(26.0, 48.0, 36.0)","(101.0, 230.0, 226.0)","(91.0, 230.0, 195.0)"
10-01-2023 14:58:34.887416,"(7.5, 10.5, 9.933333333333334)","(5.0, 7.6, 7.314285714285714)","(2.6, 3.4, 3.35)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.614285714285715)","(26.0, 48.0, 36.0)","(101.0, 230.0, 226.0)","(91.0, 230.0, 195.0)"
10-01-2023 14:58:36.224053,"(7.5, 10.5, 9.933333333333334)","(5.0, 7.6, 7.34074074074074)","(2.6, 3.4, 3.35)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.614285714285715)","(26.0, 48.0, 36.0)","(101.0, 230.0, 226.0)","(91.0, 230.0, 195.0)"
10-01-2023 14:58:37.522264,"(7.5, 10.5, 9.933333333333334)","(5.0, 7.6, 7.34074074074074)","(2.6, 3.4, 3.35)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.614285714285715)","(26.0, 48.0, 36.0)","(101.0, 230.0, 226.0)","(91.0, 230.0, 195.0)"
10-01-2023 14:58:38.769732,"(7.5, 10.5, 9.933333333333334)","(5.0, 7.6, 7.34074074074074)","(2.6, 3.4, 3.35)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.614285714285715)","(26.0, 48.0, 36.0)","(101.0, 230.0, 226.0)","(91.0, 230.0, 195.0)"
10-01-2023 14:58:39.996993,"(7.5, 10.5, 9.933333333333334)","(5.0, 7.6, 7.34074074074074)","(2.6, 3.4, 3.35)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.614285714285715)","(26.0, 48.0, 36.0)","(101.0, 230.0, 226.0)","(91.0, 230.0, 195.0)"
10-01-2023 14:58:41.289393,"(7.5, 10.5, 9.933333333333334)","(5.0, 7.6, 7.34074074074074)","(2.6, 3.4, 3.35)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.614285714285715)","(26.0, 48.0, 36.0)","(101.0, 230.0, 226.0)","(91.0, 230.0, 195.0)"
10-01-2023 14:58:42.590583,"(7.5, 10.5, 9.933333333333334)","(5.0, 7.6, 7.314285714285714)","(2.6, 3.4, 3.357142857142857)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.614285714285715)","(26.0, 48.0, 36.0)","(101.0, 230.0, 226.0)","(91.0, 230.0, 195.0)"
10-01-2023 14:58:43.972556,"(7.5, 10.5, 9.933333333333334)","(5.0, 7.6, 7.314285714285714)","(2.6, 3.4, 3.357142857142857)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.58)","(26.0, 48.0, 36.0)","(101.0, 230.0, 226.0)","(91.0, 230.0, 168.0)"
10-01-2023 14:58:45.700137,"(7.5, 10.5, 9.933333333333334)","(5.0, 7.6, 7.314285714285714)","(2.6, 3.4, 3.357142857142857)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.58)","(26.0, 48.0, 36.0)","(101.0, 230.0, 226.0)","(91.0, 220.0, 168.0)"
10-01-2023 14:58:47.245101,"(7.5, 10.5, 9.933333333333334)","(5.0, 7.6, 6.48)","(2.6, 3.4, 3.357142857142857)","(3.6, 4.2, 3.977777777777778)","(4.6, 5.9, 5.58)","(26.0, 48.0, 36.0)","(101.0, 230.0, 213.33333333333334)","(91.0, 220.0, 168.0)"
10-01-2023 14:58:48.692904,"(7.5, 10.5, 9.933333333333334)","(5.0, 7.6, 6.7384615384615385)","(2.6, 3.4, 3.357142857142857)","(3.6, 4.2, 4.094736842105263)","(4.6, 5.9, 5.614285714285715)","(26.0, 48.0, 36.0)","(101.0, 230.0, 226.0)","(91.0, 220.0, 168.0)"
10-01-2023 14:58:50.171702,"(7.5, 10.5, 9.933333333333334)","(5.0, 7.6, 6.9)","(2.6, 3.4, 3.357142857142857)","(3.6, 4.2, 4.094736842105263)","(4.6, 5.9, 5.58)","(26.0, 48.0, 36.0)","(101.0, 230.0, 226.0)","(91.0, 220.0, 168.0)"
10-01-2023 14:58:51.493032,"(7.5, 10.5, 9.933333333333334)","(5.0, 7.6, 6.9)","(2.6, 3.4, 3.357142857142857)","(3.6, 4.2, 4.094736842105263)","(4.6, 5.9, 5.58)","(26.0, 48.0, 36.0)","(101.0, 230.0, 226.0)","(91.0, 220.0, 168.0)"
