,Pool Dancer,Mrs Fencer,Maggie Bow,Smoking Yogi,Your Law,Buckle Up Wilder,Van Brae,Juno Another Way
12-01-2023 18:30:17.794176,"(1.5, 1.99, 1.6322222222222222)","(51.0, 500.0, 299.1111111111111)","(21.0, 85.0, 39.90909090909091)","(4.8, 7.2, 6.475)","(21.0, 120.0, 49.45454545454545)","(5.5, 13.0, 11.685714285714287)","(31.0, 130.0, 84.13333333333333)","(9.0, 19.5, 13.990909090909092)"
12-01-2023 18:30:19.085030,"(1.5, 1.99, 1.6111764705882354)","(51.0, 500.0, 299.1111111111111)","(21.0, 85.0, 39.90909090909091)","(4.8, 7.2, 4.866666666666667)","(21.0, 120.0, 49.45454545454545)","(5.5, 13.0, 11.816666666666666)","(31.0, 130.0, 84.13333333333333)","(9.0, 19.5, 15.24)"
12-01-2023 18:30:20.397834,"(1.5, 1.98, 1.633846153846154)","(51.0, 500.0, 299.1111111111111)","(21.0, 85.0, 39.90909090909091)","(4.8, 7.2, 4.866666666666667)","(21.0, 120.0, 49.45454545454545)","(5.5, 12.5, 11.816666666666666)","(31.0, 130.0, 84.13333333333333)","(9.0, 19.0, 15.24)"
12-01-2023 18:30:21.621743,"(1.5, 1.97, 1.6315384615384616)","(51.0, 500.0, 299.1111111111111)","(21.0, 85.0, 39.90909090909091)","(4.8, 7.2, 4.866666666666667)","(21.0, 120.0, 49.45454545454545)","(5.5, 12.5, 11.816666666666666)","(31.0, 130.0, 84.13333333333333)","(9.0, 19.0, 15.24)"
12-01-2023 18:30:23.056591,"(1.5, 1.97, 1.6315384615384616)","(51.0, 500.0, 299.1111111111111)","(21.0, 85.0, 39.90909090909091)","(4.8, 7.2, 4.866666666666667)","(21.0, 120.0, 49.45454545454545)","(5.5, 12.5, 11.816666666666666)","(31.0, 130.0, 84.13333333333333)","(9.0, 19.0, 15.24)"
12-01-2023 18:30:24.630232,"(1.5, 1.97, 1.6315384615384616)","(51.0, 500.0, 299.1111111111111)","(21.0, 85.0, 39.90909090909091)","(4.8, 7.2, 4.866666666666667)","(21.0, 120.0, 49.45454545454545)","(5.5, 12.5, 11.816666666666666)","(31.0, 130.0, 84.13333333333333)","(9.0, 19.0, 12.466666666666667)"
12-01-2023 18:30:25.874250,"(1.5, 1.97, 1.6315384615384616)","(51.0, 500.0, 299.1111111111111)","(21.0, 85.0, 39.90909090909091)","(4.8, 7.2, 4.866666666666667)","(21.0, 120.0, 49.45454545454545)","(5.5, 12.5, 11.816666666666666)","(31.0, 130.0, 84.13333333333333)","(9.0, 19.0, 12.466666666666667)"
12-01-2023 18:30:26.959336,"(1.5, 1.97, 1.6315384615384616)","(51.0, 500.0, 299.1111111111111)","(21.0, 85.0, 39.90909090909091)","(4.8, 7.2, 4.800000000000001)","(21.0, 120.0, 49.45454545454545)","(5.5, 12.5, 11.816666666666666)","(31.0, 130.0, 84.13333333333333)","(9.0, 19.0, 15.733333333333334)"
12-01-2023 18:30:28.124780,"(1.5, 1.97, 1.6315384615384616)","(51.0, 500.0, 299.1111111111111)","(21.0, 85.0, 39.90909090909091)","(4.8, 6.8, 4.9)","(21.0, 120.0, 49.45454545454545)","(5.5, 12.5, 11.816666666666666)","(31.0, 130.0, 84.13333333333333)","(9.0, 19.0, 15.733333333333334)"
12-01-2023 18:30:29.326810,"(1.5, 1.97, 1.6315384615384616)","(51.0, 500.0, 299.1111111111111)","(21.0, 85.0, 39.90909090909091)","(4.8, 6.4, 4.9)","(21.0, 120.0, 49.45454545454545)","(5.5, 12.5, 11.816666666666666)","(31.0, 130.0, 84.13333333333333)","(9.0, 19.0, 15.733333333333334)"
12-01-2023 18:30:30.475909,"(1.5, 1.97, 1.6315384615384616)","(51.0, 500.0, 299.1111111111111)","(21.0, 85.0, 39.90909090909091)","(4.8, 6.4, 4.9)","(21.0, 120.0, 49.45454545454545)","(5.5, 12.5, 11.816666666666666)","(31.0, 130.0, 84.13333333333333)","(9.0, 19.0, 15.733333333333334)"
12-01-2023 18:30:31.540990,"(1.5, 1.97, 1.6315384615384616)","(51.0, 500.0, 299.1111111111111)","(21.0, 85.0, 39.90909090909091)","(4.8, 6.4, 4.733333333333333)","(21.0, 120.0, 49.45454545454545)","(5.5, 12.5, 11.816666666666666)","(31.0, 130.0, 84.13333333333333)","(9.0, 19.0, 15.24)"
12-01-2023 18:30:32.677350,"(1.5, 1.97, 1.6315384615384616)","(51.0, 500.0, 299.1111111111111)","(21.0, 85.0, 39.90909090909091)","(4.8, 6.4, 4.733333333333333)","(21.0, 120.0, 49.45454545454545)","(5.5, 12.5, 11.816666666666666)","(31.0, 130.0, 84.13333333333333)","(9.0, 19.0, 15.24)"
12-01-2023 18:30:33.844937,"(1.5, 1.97, 1.6315384615384616)","(51.0, 500.0, 299.1111111111111)","(21.0, 85.0, 39.90909090909091)","(4.8, 6.4, 4.733333333333333)","(21.0, 120.0, 49.45454545454545)","(5.5, 12.5, 11.816666666666666)","(31.0, 130.0, 84.13333333333333)","(9.0, 19.0, 15.24)"
12-01-2023 18:30:34.948348,"(1.5, 1.97, 1.6315384615384616)","(51.0, 500.0, 299.1111111111111)","(21.0, 85.0, 39.90909090909091)","(4.8, 6.4, 4.733333333333333)","(21.0, 120.0, 49.45454545454545)","(5.5, 12.5, 11.816666666666666)","(31.0, 130.0, 84.13333333333333)","(9.0, 19.0, 15.24)"
12-01-2023 18:30:36.032164,"(1.5, 1.97, 1.6315384615384616)","(51.0, 500.0, 299.1111111111111)","(21.0, 85.0, 39.90909090909091)","(4.8, 6.4, 4.733333333333333)","(21.0, 120.0, 49.45454545454545)","(5.5, 12.5, 11.816666666666666)","(31.0, 130.0, 84.13333333333333)","(9.0, 19.0, 15.24)"
12-01-2023 18:30:37.159018,"(1.5, 1.97, 1.6315384615384616)","(51.0, 500.0, 299.1111111111111)","(21.0, 85.0, 39.90909090909091)","(4.8, 6.4, 4.733333333333333)","(21.0, 120.0, 49.45454545454545)","(5.5, 12.5, 11.816666666666666)","(31.0, 130.0, 84.13333333333333)","(9.0, 19.0, 12.466666666666667)"
12-01-2023 18:30:38.355462,"(1.5, 1.97, 1.755)","(51.0, 500.0, 299.1111111111111)","(21.0, 85.0, 39.90909090909091)","(4.8, 6.4, 4.733333333333333)","(21.0, 120.0, 49.45454545454545)","(5.5, 12.5, 11.816666666666666)","(31.0, 130.0, 84.13333333333333)","(9.0, 19.0, 12.466666666666667)"
12-01-2023 18:30:39.523046,"(1.5, 1.97, 1.755)","(51.0, 500.0, 299.1111111111111)","(21.0, 85.0, 39.90909090909091)","(4.8, 6.4, 4.733333333333333)","(21.0, 120.0, 49.45454545454545)","(5.5, 12.5, 11.816666666666666)","(31.0, 130.0, 84.13333333333333)","(9.0, 19.0, 12.466666666666667)"
12-01-2023 18:30:40.631258,"(1.5, 1.97, 1.755)","(51.0, 500.0, 299.1111111111111)","(21.0, 85.0, 39.90909090909091)","(4.8, 6.4, 4.733333333333333)","(21.0, 120.0, 49.45454545454545)","(5.5, 12.5, 11.816666666666666)","(31.0, 130.0, 84.13333333333333)","(9.0, 19.0, 12.466666666666667)"
12-01-2023 18:30:41.745791,"(1.5, 1.97, 1.755)","(51.0, 500.0, 299.1111111111111)","(21.0, 85.0, 39.90909090909091)","(4.8, 6.4, 4.733333333333333)","(21.0, 120.0, 55.333333333333336)","(5.5, 12.5, 9.566666666666666)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.0, 15.733333333333334)"
12-01-2023 18:30:42.929693,"(1.5, 1.97, 1.755)","(51.0, 500.0, 236.33333333333331)","(21.0, 85.0, 51.93333333333334)","(4.8, 6.4, 4.733333333333333)","(21.0, 120.0, 55.333333333333336)","(5.5, 9.8, 10.566666666666666)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.0, 13.777777777777779)"
12-01-2023 18:30:44.040070,"(1.5, 1.97, 1.755)","(51.0, 480.0, 288.0)","(21.0, 85.0, 51.93333333333334)","(4.8, 6.4, 4.733333333333333)","(21.0, 120.0, 55.333333333333336)","(5.5, 11.0, 9.566666666666666)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 13.777777777777779)"
12-01-2023 18:30:45.101652,"(1.5, 1.97, 1.755)","(51.0, 480.0, 288.0)","(21.0, 85.0, 51.93333333333334)","(4.8, 6.4, 4.733333333333333)","(21.0, 120.0, 55.333333333333336)","(5.5, 9.8, 9.566666666666666)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 14.45)"
12-01-2023 18:30:46.239581,"(1.5, 1.97, 1.67)","(51.0, 480.0, 288.0)","(21.0, 85.0, 51.93333333333334)","(4.8, 6.4, 4.733333333333333)","(21.0, 120.0, 55.333333333333336)","(5.5, 9.8, 9.566666666666666)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 14.45)"
12-01-2023 18:30:47.359879,"(1.5, 1.97, 1.67)","(51.0, 480.0, 288.0)","(21.0, 85.0, 51.93333333333334)","(4.8, 6.4, 4.733333333333333)","(21.0, 120.0, 55.333333333333336)","(5.5, 9.8, 9.566666666666666)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 13.3125)"
12-01-2023 18:30:48.521403,"(1.5, 1.97, 1.67)","(51.0, 480.0, 288.0)","(21.0, 85.0, 51.93333333333334)","(4.8, 6.4, 4.733333333333333)","(21.0, 120.0, 55.333333333333336)","(5.5, 9.8, 9.566666666666666)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 13.3125)"
12-01-2023 18:30:49.636087,"(1.5, 1.97, 1.67)","(51.0, 490.0, 324.25)","(21.0, 85.0, 51.93333333333334)","(4.8, 6.4, 4.733333333333333)","(21.0, 120.0, 55.333333333333336)","(5.5, 9.8, 9.566666666666666)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:30:50.655368,"(1.5, 1.96, 1.6671428571428573)","(51.0, 490.0, 324.25)","(21.0, 85.0, 51.93333333333334)","(4.8, 6.4, 4.733333333333333)","(21.0, 120.0, 55.333333333333336)","(5.5, 9.8, 9.566666666666666)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:30:51.656783,"(1.5, 1.95, 1.6642857142857144)","(51.0, 490.0, 324.25)","(21.0, 85.0, 51.93333333333334)","(4.8, 6.4, 4.733333333333333)","(21.0, 120.0, 55.333333333333336)","(5.5, 9.8, 9.566666666666666)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:30:52.691526,"(1.5, 1.95, 1.6642857142857144)","(51.0, 490.0, 324.25)","(21.0, 85.0, 51.93333333333334)","(4.8, 6.4, 4.733333333333333)","(21.0, 120.0, 55.333333333333336)","(5.5, 9.8, 9.566666666666666)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:30:53.779457,"(1.5, 1.95, 1.6642857142857144)","(51.0, 470.0, 259.0)","(21.0, 85.0, 51.93333333333334)","(4.8, 6.4, 4.733333333333333)","(21.0, 120.0, 55.333333333333336)","(5.5, 9.8, 9.566666666666666)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:30:54.809907,"(1.5, 1.95, 1.6642857142857144)","(51.0, 460.0, 276.8888888888889)","(21.0, 85.0, 51.93333333333334)","(4.8, 6.4, 4.733333333333333)","(21.0, 120.0, 55.333333333333336)","(5.5, 9.8, 9.566666666666666)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:30:55.917270,"(1.5, 1.95, 1.6642857142857144)","(51.0, 460.0, 276.8888888888889)","(21.0, 85.0, 51.93333333333334)","(4.8, 6.4, 4.733333333333333)","(21.0, 120.0, 55.333333333333336)","(5.5, 9.8, 9.450000000000001)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:30:57.012792,"(1.5, 1.95, 1.6642857142857144)","(51.0, 460.0, 276.8888888888889)","(21.0, 85.0, 51.93333333333334)","(4.8, 6.4, 4.9)","(21.0, 120.0, 55.333333333333336)","(5.5, 9.8, 9.450000000000001)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:30:58.149214,"(1.5, 1.95, 1.6642857142857144)","(51.0, 460.0, 276.8888888888889)","(21.0, 85.0, 51.93333333333334)","(4.8, 6.4, 4.9)","(21.0, 120.0, 55.333333333333336)","(5.5, 9.8, 9.450000000000001)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:30:59.189827,"(1.5, 1.95, 1.6642857142857144)","(51.0, 460.0, 219.66666666666669)","(21.0, 85.0, 51.93333333333334)","(4.8, 6.4, 5.550000000000001)","(21.0, 120.0, 55.333333333333336)","(5.5, 9.8, 9.450000000000001)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:31:00.292520,"(1.5, 1.95, 1.755)","(51.0, 450.0, 335.14285714285717)","(21.0, 85.0, 51.93333333333334)","(4.8, 9.0, 5.550000000000001)","(21.0, 120.0, 55.333333333333336)","(5.5, 9.8, 9.589473684210526)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:31:01.381940,"(1.5, 1.95, 1.755)","(51.0, 450.0, 335.14285714285717)","(21.0, 85.0, 51.93333333333334)","(4.8, 9.0, 5.550000000000001)","(21.0, 120.0, 55.333333333333336)","(5.5, 9.8, 9.589473684210526)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:31:02.549248,"(1.5, 1.95, 1.8525641025641026)","(51.0, 450.0, 335.14285714285717)","(21.0, 85.0, 51.93333333333334)","(4.8, 9.0, 5.550000000000001)","(21.0, 120.0, 55.333333333333336)","(5.5, 9.8, 9.589473684210526)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:31:03.724396,"(1.5, 1.95, 1.6318181818181818)","(51.0, 450.0, 335.14285714285717)","(21.0, 85.0, 51.93333333333334)","(4.8, 9.0, 5.4)","(21.0, 120.0, 55.333333333333336)","(5.5, 9.8, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:31:04.800911,"(1.5, 1.95, 1.6318181818181818)","(51.0, 450.0, 335.14285714285717)","(21.0, 85.0, 51.93333333333334)","(4.8, 8.4, 5.4)","(21.0, 120.0, 55.333333333333336)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 13.0625)"
12-01-2023 18:31:05.884775,"(1.5, 1.95, 1.6318181818181818)","(51.0, 450.0, 335.14285714285717)","(21.0, 85.0, 51.93333333333334)","(4.8, 8.0, 4.966666666666667)","(21.0, 120.0, 55.333333333333336)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 13.0625)"
12-01-2023 18:31:06.962539,"(1.5, 1.95, 1.6318181818181818)","(51.0, 450.0, 335.14285714285717)","(21.0, 85.0, 51.93333333333334)","(4.8, 7.8, 5.25)","(21.0, 120.0, 55.333333333333336)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 13.0625)"
12-01-2023 18:31:08.044455,"(1.5, 1.95, 1.6318181818181818)","(51.0, 450.0, 335.14285714285717)","(21.0, 85.0, 51.93333333333334)","(4.8, 7.8, 5.25)","(21.0, 120.0, 55.333333333333336)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:31:09.014843,"(1.5, 1.95, 1.6318181818181818)","(51.0, 450.0, 335.14285714285717)","(21.0, 85.0, 51.93333333333334)","(4.8, 7.8, 5.25)","(21.0, 120.0, 55.333333333333336)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:31:10.087463,"(1.5, 1.95, 1.6318181818181818)","(51.0, 450.0, 335.14285714285717)","(21.0, 85.0, 51.93333333333334)","(4.8, 7.8, 5.25)","(21.0, 120.0, 55.333333333333336)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 12.142857142857142)"
12-01-2023 18:31:11.185029,"(1.5, 1.95, 1.6318181818181818)","(51.0, 450.0, 335.14285714285717)","(21.0, 85.0, 51.93333333333334)","(4.8, 7.8, 5.25)","(21.0, 120.0, 52.23529411764706)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 12.142857142857142)"
12-01-2023 18:31:12.298789,"(1.5, 1.95, 1.6318181818181818)","(51.0, 450.0, 335.14285714285717)","(21.0, 85.0, 41.36363636363636)","(4.8, 7.8, 5.25)","(21.0, 120.0, 52.23529411764706)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 12.142857142857142)"
12-01-2023 18:31:13.382195,"(1.5, 1.95, 1.6318181818181818)","(51.0, 450.0, 335.14285714285717)","(21.0, 85.0, 41.36363636363636)","(4.8, 7.8, 5.25)","(21.0, 120.0, 52.23529411764706)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 13.0625)"
12-01-2023 18:31:14.422668,"(1.5, 1.95, 1.626923076923077)","(51.0, 450.0, 335.14285714285717)","(21.0, 85.0, 42.09090909090909)","(4.8, 7.8, 5.25)","(21.0, 120.0, 52.23529411764706)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 13.0625)"
12-01-2023 18:31:15.596274,"(1.5, 1.95, 1.626923076923077)","(51.0, 450.0, 335.14285714285717)","(21.0, 85.0, 42.09090909090909)","(4.8, 7.8, 5.25)","(21.0, 120.0, 52.23529411764706)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:31:16.756229,"(1.5, 1.95, 1.626923076923077)","(51.0, 450.0, 335.14285714285717)","(21.0, 85.0, 42.09090909090909)","(4.8, 7.8, 5.25)","(21.0, 120.0, 44.0)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:31:17.907369,"(1.5, 1.95, 1.626923076923077)","(51.0, 450.0, 335.14285714285717)","(21.0, 85.0, 42.09090909090909)","(4.8, 7.8, 5.25)","(21.0, 120.0, 44.0)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:31:19.022873,"(1.5, 1.95, 1.626923076923077)","(51.0, 450.0, 335.14285714285717)","(21.0, 85.0, 42.09090909090909)","(4.8, 7.8, 5.25)","(21.0, 120.0, 44.0)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:31:20.182428,"(1.5, 1.95, 1.626923076923077)","(51.0, 450.0, 335.14285714285717)","(21.0, 85.0, 42.09090909090909)","(4.8, 7.8, 5.25)","(21.0, 120.0, 44.0)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:31:21.336138,"(1.5, 1.94, 1.8425)","(51.0, 450.0, 335.14285714285717)","(21.0, 85.0, 42.09090909090909)","(4.8, 7.8, 5.25)","(21.0, 120.0, 44.0)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:31:22.513110,"(1.5, 1.94, 1.784)","(51.0, 440.0, 265.77777777777777)","(21.0, 85.0, 42.09090909090909)","(4.8, 7.8, 5.25)","(21.0, 120.0, 44.0)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:31:23.585788,"(1.5, 1.94, 1.784)","(51.0, 440.0, 265.77777777777777)","(21.0, 85.0, 42.09090909090909)","(4.8, 7.8, 5.25)","(21.0, 120.0, 44.0)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:31:24.702277,"(1.5, 1.94, 1.784)","(51.0, 440.0, 265.77777777777777)","(21.0, 85.0, 42.09090909090909)","(4.8, 7.8, 5.25)","(21.0, 120.0, 44.0)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:31:25.868933,"(1.5, 1.94, 1.6233333333333333)","(51.0, 440.0, 265.77777777777777)","(21.0, 85.0, 42.09090909090909)","(4.8, 7.8, 5.25)","(21.0, 120.0, 44.0)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:31:27.090986,"(1.5, 1.94, 1.6233333333333333)","(51.0, 440.0, 271.3333333333333)","(21.0, 85.0, 42.09090909090909)","(4.8, 7.8, 5.25)","(21.0, 120.0, 44.0)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:31:28.308630,"(1.5, 1.94, 1.6233333333333333)","(51.0, 450.0, 271.3333333333333)","(21.0, 85.0, 42.09090909090909)","(4.8, 7.8, 5.25)","(21.0, 120.0, 44.0)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:31:29.592403,"(1.5, 1.94, 1.6233333333333333)","(51.0, 450.0, 271.3333333333333)","(21.0, 85.0, 42.09090909090909)","(4.8, 7.8, 5.25)","(21.0, 120.0, 44.0)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:31:30.846629,"(1.5, 1.94, 1.6233333333333333)","(51.0, 450.0, 271.3333333333333)","(21.0, 85.0, 42.09090909090909)","(4.8, 7.8, 5.25)","(21.0, 120.0, 44.0)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:31:32.157000,"(1.5, 1.94, 1.6233333333333333)","(51.0, 450.0, 271.3333333333333)","(21.0, 85.0, 42.09090909090909)","(4.8, 7.8, 5.25)","(21.0, 120.0, 44.0)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:31:33.404165,"(1.5, 1.94, 1.6233333333333333)","(51.0, 450.0, 271.3333333333333)","(21.0, 85.0, 42.09090909090909)","(4.8, 7.8, 6.342857142857143)","(21.0, 120.0, 44.0)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 68.9090909090909)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:31:34.620464,"(1.5, 1.94, 1.6233333333333333)","(51.0, 450.0, 271.3333333333333)","(21.0, 85.0, 40.75)","(4.8, 7.8, 5.644444444444445)","(21.0, 120.0, 44.0)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 67.0)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:31:35.944030,"(1.5, 1.94, 1.6233333333333333)","(51.0, 420.0, 358.0)","(21.0, 85.0, 40.75)","(4.8, 7.2, 5.058823529411765)","(21.0, 120.0, 44.0)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 67.0)","(9.0, 19.5, 10.916666666666666)"
12-01-2023 18:31:37.247282,"(1.5, 1.94, 1.6233333333333333)","(51.0, 420.0, 358.0)","(21.0, 85.0, 41.5)","(4.8, 7.2, 5.058823529411765)","(21.0, 120.0, 44.0)","(5.5, 11.0, 10.663157894736841)","(31.0, 130.0, 67.0)","(9.0, 19.5, 10.916666666666666)"
