,Jeffs Rookie,Sally Souvlaki,Secret Racer,Lovely Romeo,Maggie Pearl,Kasumi Berry,Botticelli,Olive Bale
09-01-2023 10:37:08.020840,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:37:09.058218,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:37:10.072326,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:37:11.130891,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:37:12.155626,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:37:13.255921,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:37:14.315890,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:37:15.410786,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:37:16.476783,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:37:17.513705,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
