,Ethical Dilemma,Our Little Ted,Rebel Factor,Coronation Keith,Jaja Chaboogie,Gee Gee Queen Bee,Majestic Diamond
07-12-2022 18:41:27.855569,"(11.0, 22.0, 21.588235294117645)","(18.0, 34.0, 30.785714285714285)","(1.7, 1.82, 1.81921568627451)","(6.0, 11.5, 10.791666666666668)","(13.0, 24.0, 22.8)","(17.0, 30.0, 24.75)","(4.2, 5.4, 5.206896551724138)"
07-12-2022 18:41:28.839951,"(11.0, 22.0, 21.588235294117645)","(18.0, 34.0, 30.785714285714285)","(1.7, 1.82, 1.81921568627451)","(6.0, 11.5, 10.791666666666668)","(13.0, 24.0, 22.8)","(17.0, 30.0, 24.75)","(4.2, 5.4, 5.206896551724138)"
07-12-2022 18:41:29.845680,"(11.0, 22.0, 21.588235294117645)","(18.0, 34.0, 30.785714285714285)","(1.7, 1.82, 1.81921568627451)","(6.0, 11.5, 10.791666666666668)","(13.0, 24.0, 22.8)","(17.0, 30.0, 24.75)","(4.2, 5.4, 5.166666666666667)"
07-12-2022 18:41:30.924983,"(11.0, 22.0, 21.0)","(18.0, 34.0, 30.785714285714285)","(1.7, 1.82, 1.8196825396825398)","(6.0, 11.5, 10.791666666666668)","(13.0, 24.0, 22.8)","(17.0, 30.0, 23.25)","(4.2, 5.4, 5.148148148148148)"
07-12-2022 18:41:31.941662,"(11.0, 22.0, 21.0)","(18.0, 34.0, 30.785714285714285)","(1.7, 1.82, 1.8196825396825398)","(6.0, 11.5, 10.791666666666668)","(13.0, 24.0, 22.8)","(17.0, 30.0, 25.846153846153847)","(4.2, 5.4, 5.1571428571428575)"
07-12-2022 18:41:32.943134,"(11.0, 22.0, 21.0)","(18.0, 34.0, 30.25)","(1.7, 1.82, 1.8196881091617934)","(6.0, 11.5, 10.791666666666668)","(13.0, 24.0, 22.8)","(17.0, 30.0, 25.846153846153847)","(4.2, 5.4, 5.1571428571428575)"
07-12-2022 18:41:33.970038,"(11.0, 22.0, 21.0)","(18.0, 34.0, 30.25)","(1.7, 1.82, 1.8196881091617934)","(6.0, 11.5, 10.791666666666668)","(13.0, 24.0, 22.8)","(17.0, 30.0, 25.846153846153847)","(4.2, 5.4, 5.1571428571428575)"
07-12-2022 18:41:35.078583,"(11.0, 22.0, 21.0)","(18.0, 34.0, 30.25)","(1.7, 1.82, 1.8196881091617934)","(6.0, 11.5, 10.791666666666668)","(13.0, 24.0, 22.8)","(17.0, 30.0, 25.846153846153847)","(4.2, 5.4, 5.1571428571428575)"
07-12-2022 18:41:36.167315,"(11.0, 22.0, 21.0)","(18.0, 34.0, 30.25)","(1.7, 1.82, 1.8196881091617934)","(6.0, 11.5, 10.791666666666668)","(13.0, 24.0, 22.8)","(17.0, 30.0, 25.846153846153847)","(4.2, 5.4, 5.1571428571428575)"
07-12-2022 18:41:37.229020,"(11.0, 22.0, 21.0)","(18.0, 34.0, 30.25)","(1.7, 1.82, 1.8196881091617934)","(6.0, 11.5, 10.791666666666668)","(13.0, 24.0, 22.8)","(17.0, 30.0, 25.09090909090909)","(4.2, 5.4, 5.1571428571428575)"
07-12-2022 18:41:38.605326,"(11.0, 22.0, 21.0)","(18.0, 34.0, 30.25)","(1.7, 1.82, 1.8196881091617934)","(6.0, 11.5, 10.791666666666668)","(13.0, 24.0, 22.8)","(17.0, 30.0, 25.09090909090909)","(4.2, 5.4, 5.1571428571428575)"
07-12-2022 18:41:39.664674,"(11.0, 22.0, 21.0)","(18.0, 34.0, 30.25)","(1.7, 1.82, 1.8196881091617934)","(6.0, 11.5, 10.791666666666668)","(13.0, 24.0, 22.8)","(17.0, 30.0, 25.09090909090909)","(4.2, 5.4, 5.1571428571428575)"
07-12-2022 18:41:40.645419,"(11.0, 24.0, 23.1)","(18.0, 34.0, 30.25)","(1.7, 1.82, 1.8196881091617934)","(6.0, 11.5, 10.791666666666668)","(13.0, 24.0, 22.8)","(17.0, 30.0, 25.09090909090909)","(4.2, 5.4, 5.1571428571428575)"
07-12-2022 18:41:41.709315,"(11.0, 24.0, 23.1)","(18.0, 34.0, 30.25)","(1.7, 1.82, 1.8196881091617934)","(6.0, 11.5, 10.4375)","(13.0, 24.0, 22.8)","(17.0, 30.0, 25.09090909090909)","(4.2, 5.4, 5.1571428571428575)"
07-12-2022 18:41:42.884068,"(11.0, 24.0, 23.1)","(18.0, 34.0, 30.25)","(1.7, 1.82, 1.8196881091617934)","(6.0, 11.5, 10.4375)","(13.0, 24.0, 22.8)","(17.0, 30.0, 25.09090909090909)","(4.2, 5.4, 5.1571428571428575)"
