,My Defence,Bidgee Babe,Rickingrace,Infinite Hope,Shirley Hall,Shez A Warrior,Movintohellandback,Aliski
09-01-2023 12:05:10.009556,"(2.9, 3.9, 3.1)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:11.097419,"(2.9, 3.9, 3.3)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:12.168357,"(2.9, 3.9, 3.3)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:13.230117,"(2.9, 3.9, 3.3)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:14.289343,"(2.9, 3.85, 3.62)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:15.401101,"(2.9, 3.85, 3.62)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:16.550664,"(2.9, 3.8, 3.433333333333333)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:17.622629,"(2.9, 3.75, 3.433333333333333)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:18.739085,"(2.9, 3.75, 3.433333333333333)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:19.870020,"(2.9, 3.65, 3.3666666666666667)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:20.970967,"(2.9, 3.65, 3.3666666666666667)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:22.041827,"(2.9, 3.65, 3.3666666666666667)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:23.081263,"(2.9, 3.65, 3.3666666666666667)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:24.101048,"(2.9, 3.65, 3.3666666666666667)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:25.109309,"(2.9, 3.65, 3.3666666666666667)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:26.133293,"(2.9, 3.65, 3.3666666666666667)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.920655737704918)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:27.225163,"(2.9, 3.65, 3.3666666666666667)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.941428571428572)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:28.299935,"(2.9, 3.95, 3.183333333333333)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.8032)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:29.397712,"(2.9, 3.95, 3.183333333333333)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:30.495291,"(2.9, 3.95, 3.375)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:31.570534,"(2.9, 3.95, 3.375)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:32.645067,"(2.9, 3.95, 3.375)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:33.791991,"(2.9, 3.95, 3.375)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:34.877425,"(2.9, 3.95, 3.375)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:36.007640,"(2.9, 3.95, 3.375)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:37.145002,"(2.9, 3.95, 2.9437499999999996)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:38.286164,"(2.9, 3.95, 2.9437499999999996)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:39.379163,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:40.463106,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:41.542038,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:42.593498,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:43.646178,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:44.654215,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:45.690518,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:46.687865,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:47.759816,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:48.820120,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:49.850178,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.794782608695652)","(61.0, 220.0, 143.60000000000002)"
09-01-2023 12:05:50.915617,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.794782608695652)","(61.0, 220.0, 143.60000000000002)"
09-01-2023 12:05:52.044025,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.794782608695652)","(61.0, 220.0, 143.60000000000002)"
09-01-2023 12:05:53.155626,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.794782608695652)","(61.0, 220.0, 143.60000000000002)"
09-01-2023 12:05:54.238305,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.794782608695652)","(61.0, 220.0, 143.60000000000002)"
09-01-2023 12:05:55.308515,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.794782608695652)","(61.0, 220.0, 143.60000000000002)"
09-01-2023 12:05:56.418394,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.794782608695652)","(61.0, 220.0, 143.60000000000002)"
09-01-2023 12:05:57.493040,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.794782608695652)","(61.0, 220.0, 143.60000000000002)"
09-01-2023 12:05:58.548237,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.794782608695652)","(61.0, 220.0, 143.60000000000002)"
09-01-2023 12:05:59.638358,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.794782608695652)","(61.0, 220.0, 143.60000000000002)"
09-01-2023 12:06:00.744727,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.794782608695652)","(61.0, 220.0, 92.0)"
09-01-2023 12:06:01.870904,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 5.52)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.794782608695652)","(61.0, 220.0, 92.0)"
09-01-2023 12:06:02.972088,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 5.52)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.415)","(61.0, 220.0, 124.0)"
09-01-2023 12:06:04.085672,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 5.52)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.415)","(61.0, 220.0, 124.0)"
09-01-2023 12:06:05.216869,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.5, 7.0, 5.52)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(2.9, 5.0, 4.415)","(61.0, 220.0, 124.0)"
09-01-2023 12:06:06.348164,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.5, 7.0, 5.52)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(2.9, 5.0, 4.415)","(61.0, 220.0, 124.0)"
09-01-2023 12:06:07.496627,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.5, 7.0, 5.52)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(2.9, 5.0, 4.415)","(61.0, 220.0, 124.0)"
09-01-2023 12:06:08.654298,"(2.9, 3.95, 2.976923076923077)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.5, 7.0, 5.52)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(2.9, 5.0, 4.415)","(61.0, 220.0, 124.0)"
09-01-2023 12:06:09.745958,"(2.9, 4.0, 2.9846153846153847)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.5, 7.0, 5.52)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(2.9, 5.0, 4.415)","(61.0, 220.0, 124.0)"
09-01-2023 12:06:10.857310,"(2.9, 4.0, 2.9846153846153847)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.5, 7.0, 5.52)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(2.9, 5.0, 4.415)","(61.0, 220.0, 124.0)"
09-01-2023 12:06:11.943534,"(2.9, 4.0, 2.9846153846153847)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.5, 7.0, 5.52)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(2.9, 5.0, 4.415)","(61.0, 220.0, 124.0)"
09-01-2023 12:06:13.078683,"(2.9, 4.0, 2.9846153846153847)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.5, 7.0, 5.52)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(2.9, 5.0, 4.415)","(61.0, 220.0, 124.0)"
09-01-2023 12:06:14.097390,"(2.9, 4.0, 2.9846153846153847)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.5, 7.0, 5.52)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(2.9, 5.0, 4.415)","(61.0, 220.0, 124.0)"
09-01-2023 12:06:15.087241,"(2.9, 4.0, 2.9846153846153847)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.5, 7.0, 5.52)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(2.9, 5.0, 4.415)","(61.0, 220.0, 124.0)"
09-01-2023 12:06:16.093496,"(2.9, 4.0, 2.9846153846153847)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.5, 7.0, 5.52)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(2.9, 5.0, 4.415)","(61.0, 220.0, 124.0)"
09-01-2023 12:06:17.134327,"(2.9, 4.0, 2.9846153846153847)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.5, 7.0, 5.52)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(2.9, 5.0, 4.415)","(61.0, 220.0, 124.0)"
09-01-2023 12:06:18.181392,"(2.9, 4.0, 2.9846153846153847)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.5, 7.0, 5.52)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(2.9, 5.0, 4.415)","(61.0, 220.0, 124.0)"
09-01-2023 12:06:19.248978,"(2.9, 4.0, 2.9846153846153847)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.5, 7.0, 5.52)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(2.9, 5.0, 4.415)","(61.0, 220.0, 124.0)"
09-01-2023 12:06:20.382444,"(2.9, 4.0, 2.9846153846153847)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.5, 7.0, 5.52)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.415)","(61.0, 220.0, 124.0)"
09-01-2023 12:06:21.511334,"(2.9, 4.0, 2.9846153846153847)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.5, 7.0, 5.52)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.415)","(61.0, 220.0, 124.0)"
09-01-2023 12:06:22.682279,"(2.9, 4.0, 2.9846153846153847)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.5, 7.0, 5.52)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.415)","(61.0, 220.0, 124.0)"
09-01-2023 12:06:23.828954,"(2.9, 4.0, 2.9846153846153847)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.5, 7.0, 5.52)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.415)","(61.0, 220.0, 124.0)"
