,Sorrento Breeze,Katara Love,Say Some Words,Easy Eddie,Mean Pop
06-01-2023 11:34:41.553805,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:42.462263,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:43.299303,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:44.126998,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:44.996174,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:45.849478,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:46.751326,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:47.621999,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:48.443752,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:49.228961,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:50.133996,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:51.037151,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:51.898487,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:52.741636,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:53.702289,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:54.546023,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
