,My Girl Mandy,Batman Jujon,Burton,Hollador Daisy,Dollar Bucks,Always Idle,Holme Boy,Kerrie Be,Bling Us Delight
15-12-2022 11:59:00.658362,"(7.0, 12.0, 10.2)","(21.0, 30.0, 24.5)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.48)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.925)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:59:01.853484,"(7.0, 12.0, 10.2)","(21.0, 30.0, 24.5)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.48)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.925)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:59:03.143816,"(7.0, 12.0, 10.2)","(21.0, 30.0, 24.5)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.48)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.925)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:59:04.354790,"(7.0, 12.0, 10.2)","(21.0, 30.0, 24.5)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.48)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.925)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:59:05.545424,"(7.0, 12.0, 10.2)","(21.0, 30.0, 24.5)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.48)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.925)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:59:06.742273,"(7.0, 12.0, 10.2)","(21.0, 30.0, 24.5)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.48)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.925)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:59:07.940309,"(7.0, 12.0, 10.2)","(21.0, 30.0, 24.5)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.48)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.925)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:59:09.163669,"(7.0, 12.0, 10.2)","(21.0, 30.0, 24.5)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.48)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.925)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:59:10.328516,"(7.0, 12.0, 10.2)","(21.0, 30.0, 24.5)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.48)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.925)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:59:11.506153,"(7.0, 12.0, 10.2)","(21.0, 30.0, 24.5)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.105)","(8.5, 11.0, 9.988888888888889)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.944444444444445)","(51.0, 190.0, 126.36363636363636)"
