,Square Dealer Nz,No Doubt Nz,Mummys Boy,Saving Major Percy,Le Tissier Nz,Sole Ambition Nz
08-12-2022 12:58:29.001274,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:30.055937,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:31.126831,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:32.251078,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:33.398796,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:34.579361,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:35.574984,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:36.670169,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:37.687595,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:38.752642,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:39.849239,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:40.840953,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:41.857346,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:42.929157,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:43.843184,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:44.944682,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:46.108471,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:47.219419,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:48.247540,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:49.176153,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:50.255465,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:51.354849,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:52.440653,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:53.422498,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.5, 10.45)","(13.0, 21.0, 14.666666666666666)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:54.434216,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.5, 10.45)","(13.0, 21.0, 14.666666666666666)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:55.445151,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.5, 10.45)","(13.0, 21.0, 14.666666666666666)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:56.437320,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.5, 10.45)","(13.0, 21.0, 14.666666666666666)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:57.553358,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.5, 10.45)","(13.0, 21.0, 14.666666666666666)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:58.683659,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.5, 10.45)","(13.0, 21.0, 14.666666666666666)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:59.795479,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.5, 10.45)","(13.0, 21.0, 14.666666666666666)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:00.814006,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.5, 10.45)","(13.0, 21.0, 14.666666666666666)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:01.734520,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.5, 10.45)","(13.0, 21.0, 14.666666666666666)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:02.824001,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.5, 10.45)","(13.0, 21.0, 14.666666666666666)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:03.999203,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.5, 10.45)","(13.0, 21.0, 14.666666666666666)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:05.227978,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.5, 10.45)","(13.0, 21.0, 14.666666666666666)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:06.405477,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.5, 10.45)","(13.0, 21.0, 14.666666666666666)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:07.567855,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.5, 10.45)","(13.0, 21.0, 14.666666666666666)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:08.792371,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.5, 10.45)","(13.0, 21.0, 14.666666666666666)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:10.047224,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.5, 10.45)","(13.0, 21.0, 14.666666666666666)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:11.206696,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.5, 10.45)","(13.0, 21.0, 14.666666666666666)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:12.351731,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.5, 10.45)","(13.0, 21.0, 14.666666666666666)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:13.414655,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.5, 10.45)","(13.0, 21.0, 14.666666666666666)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:14.403166,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.5, 10.45)","(13.0, 21.0, 14.666666666666666)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:15.433122,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.5, 10.45)","(13.0, 21.0, 14.666666666666666)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:16.574446,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.0, 10.2)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:17.684197,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.0, 10.2)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:18.757381,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.0, 10.2)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:19.806227,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.0, 10.2)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:20.854645,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.0, 10.2)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:22.008461,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.0, 10.2)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:23.129713,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.0, 10.2)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:24.271554,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.0, 10.2)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:25.458857,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.0, 10.2)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:26.591326,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.0, 10.2)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:27.672797,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.0, 10.2)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:28.722468,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 13.0, 10.2)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:29.833306,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.5, 9.440000000000001)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:30.981156,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.5, 9.440000000000001)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:32.146696,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.5, 9.440000000000001)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:33.301026,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.5, 9.440000000000001)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:34.442583,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.5, 9.440000000000001)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:35.621852,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.5, 9.440000000000001)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:36.766956,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.5, 9.440000000000001)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:38.186635,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.5, 9.440000000000001)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:39.390395,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.5, 9.440000000000001)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:40.642800,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.5, 9.440000000000001)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:41.785687,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.5, 9.440000000000001)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:42.820043,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.5, 9.440000000000001)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:43.950955,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.5, 9.440000000000001)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:45.113384,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.5, 9.440000000000001)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:46.208692,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.5, 9.440000000000001)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:47.377332,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.5, 9.440000000000001)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:48.536406,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.5, 9.440000000000001)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:49.683171,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.5, 9.440000000000001)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:50.765725,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.5, 9.440000000000001)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:51.894475,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.5, 9.440000000000001)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:53.008257,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.0, 9.7)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:54.090837,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.0, 9.7)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:55.204235,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.0, 9.7)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:56.319431,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.0, 9.7)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:57.385950,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.0, 9.7)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:58.474074,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.0, 9.7)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:59:59.486126,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.0, 9.7)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 13:00:00.616522,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.0, 9.7)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 13:00:01.772013,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.0, 9.7)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 13:00:02.815348,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.0, 9.7)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 13:00:03.896249,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.0, 9.7)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 13:00:04.974550,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.0, 9.7)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 13:00:06.022559,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.0, 9.7)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 13:00:07.015259,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.0, 9.7)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 13:00:08.107527,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.0, 9.7)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 13:00:09.208658,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.0, 9.7)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 13:00:10.363091,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.0, 9.7)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 13:00:11.410283,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.0, 9.7)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 13:00:12.482683,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.0, 9.7)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 13:00:13.521615,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.0, 9.7)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 13:00:14.539499,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.0, 9.7)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 13:00:15.541283,"(2.8, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 12.0, 9.7)","(13.0, 20.0, 14.333333333333334)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
