,Princeton Award,Almsgiver,Dirt On Harry,Springvale Road,Diamond Luke,Johandough,Takumi,Till Its Over,West Cliff,Glitter N Gold,So She Can Fly,Celtic Glory
08-12-2022 15:32:04.277752,"(6.0, 6.6, 6.426086956521739)","(12.0, 14.0, 13.85925925925926)","(21.0, 28.0, 27.10126582278481)","(51.0, 60.0, 56.08108108108108)","(4.6, 5.4, 5.3803921568627455)","(21.0, 32.0, 31.584541062801932)","(5.5, 6.4, 6.168328445747801)","(11.0, 13.0, 12.74113475177305)","(71.0, 110.0, 97.3076923076923)","(6.5, 7.8, 7.658139534883721)","(20.0, 25.0, 24.393063583815028)","(11.0, 13.0, 12.806878306878307)"
08-12-2022 15:32:05.884509,"(6.0, 6.6, 6.424817518248175)","(12.0, 14.0, 13.849264705882353)","(21.0, 28.0, 25.693877551020407)","(51.0, 60.0, 56.08108108108108)","(4.6, 5.4, 5.3803921568627455)","(21.0, 32.0, 31.584541062801932)","(5.5, 6.4, 6.165578635014837)","(11.0, 13.0, 12.744604316546763)","(71.0, 110.0, 97.5)","(6.5, 7.8, 7.676300578034682)","(20.0, 25.0, 24.393063583815028)","(11.0, 13.0, 12.806878306878307)"
08-12-2022 15:32:07.442233,"(6.0, 6.6, 6.424817518248175)","(12.0, 14.0, 13.849264705882353)","(21.0, 26.0, 25.65909090909091)","(51.0, 60.0, 56.08108108108108)","(4.6, 5.4, 5.389130434782609)","(21.0, 32.0, 31.6)","(5.5, 6.4, 6.165578635014837)","(11.0, 13.0, 12.744604316546763)","(71.0, 110.0, 97.5)","(6.5, 7.8, 7.668711656441718)","(20.0, 25.0, 24.393063583815028)","(11.0, 13.0, 12.806878306878307)"
08-12-2022 15:32:09.091505,"(6.0, 6.6, 6.424817518248175)","(12.0, 14.0, 13.849264705882353)","(21.0, 26.0, 25.615384615384617)","(51.0, 60.0, 56.08108108108108)","(4.6, 5.4, 5.436746987951807)","(21.0, 32.0, 31.6)","(5.5, 6.4, 6.163636363636364)","(11.0, 13.0, 12.469072164948454)","(71.0, 110.0, 97.5)","(6.5, 7.8, 7.668292682926829)","(20.0, 25.0, 24.393063583815028)","(11.0, 13.0, 12.806878306878307)"
08-12-2022 15:32:10.780992,"(6.0, 6.6, 6.419548872180451)","(12.0, 14.0, 13.85763888888889)","(21.0, 26.0, 26.217391304347828)","(51.0, 60.0, 56.282051282051285)","(4.6, 5.5, 5.444444444444445)","(21.0, 32.0, 31.742690058479532)","(5.5, 6.2, 6.165901639344263)","(11.0, 12.5, 12.471698113207546)","(71.0, 110.0, 98.46153846153847)","(6.5, 7.8, 7.679329608938547)","(20.0, 25.0, 24.339622641509433)","(11.0, 13.0, 12.814720812182742)"
08-12-2022 15:32:12.419772,"(6.0, 6.6, 6.419548872180451)","(12.0, 14.0, 13.85763888888889)","(21.0, 27.0, 26.121951219512194)","(51.0, 60.0, 56.282051282051285)","(4.6, 5.5, 5.444444444444445)","(21.0, 32.0, 32.892857142857146)","(5.5, 6.2, 6.165901639344263)","(11.0, 12.5, 12.42)","(71.0, 110.0, 99.44444444444444)","(6.5, 7.8, 7.679329608938547)","(20.0, 25.0, 24.339622641509433)","(11.0, 13.0, 12.814720812182742)"
08-12-2022 15:32:14.049655,"(6.0, 6.6, 6.424817518248175)","(12.0, 14.0, 13.85763888888889)","(21.0, 27.0, 26.23404255319149)","(51.0, 60.0, 56.282051282051285)","(4.6, 5.5, 5.445652173913044)","(21.0, 34.0, 32.833333333333336)","(5.5, 6.2, 6.165901639344263)","(11.0, 12.5, 12.23076923076923)","(71.0, 110.0, 97.04545454545455)","(6.5, 7.8, 7.679329608938547)","(20.0, 25.0, 24.339622641509433)","(11.0, 13.0, 12.814720812182742)"
08-12-2022 15:32:15.695200,"(6.0, 6.6, 6.424817518248175)","(12.0, 14.0, 13.85763888888889)","(21.0, 27.0, 26.23404255319149)","(51.0, 60.0, 56.19047619047619)","(4.6, 5.5, 5.442857142857143)","(21.0, 34.0, 32.892857142857146)","(5.5, 6.2, 6.165901639344263)","(11.0, 12.5, 12.16)","(71.0, 110.0, 97.04545454545455)","(6.5, 7.8, 7.679329608938547)","(20.0, 25.0, 24.339622641509433)","(11.0, 13.0, 12.837777777777777)"
08-12-2022 15:32:17.373612,"(6.0, 6.6, 6.4464)","(12.0, 14.0, 13.85763888888889)","(21.0, 27.0, 26.307692307692307)","(51.0, 60.0, 56.19047619047619)","(4.6, 5.5, 5.442857142857143)","(21.0, 34.0, 32.892857142857146)","(5.5, 6.2, 6.16578947368421)","(11.0, 12.5, 12.16)","(71.0, 110.0, 97.04545454545455)","(6.5, 7.8, 7.679329608938547)","(20.0, 25.0, 24.339622641509433)","(11.0, 13.0, 12.837777777777777)"
08-12-2022 15:32:18.994863,"(6.0, 6.6, 6.4464)","(12.0, 14.0, 13.977987421383649)","(21.0, 27.0, 26.53846153846154)","(51.0, 60.0, 56.19047619047619)","(4.6, 5.5, 5.292592592592593)","(21.0, 34.0, 32.892857142857146)","(5.5, 6.2, 6.156765163297045)","(11.0, 12.5, 12.16)","(71.0, 110.0, 97.04545454545455)","(6.5, 7.8, 7.679329608938547)","(20.0, 25.0, 24.339622641509433)","(11.0, 13.0, 12.837777777777777)"
08-12-2022 15:32:20.706570,"(6.0, 6.6, 6.423188405797101)","(12.0, 14.0, 13.977987421383649)","(21.0, 27.0, 26.53846153846154)","(51.0, 60.0, 56.19047619047619)","(4.6, 5.3, 5.297493036211699)","(21.0, 34.0, 32.892857142857146)","(5.5, 6.4, 6.156765163297045)","(11.0, 12.5, 12.206896551724139)","(71.0, 110.0, 97.04545454545455)","(6.5, 7.8, 7.679329608938547)","(20.0, 25.0, 24.339622641509433)","(11.0, 13.0, 12.837777777777777)"
08-12-2022 15:32:22.386223,"(5.5, 6.6, 6.420588235294118)","(12.0, 14.0, 13.977987421383649)","(21.0, 27.0, 26.53846153846154)","(51.0, 60.0, 56.19047619047619)","(4.6, 5.3, 5.380645161290323)","(21.0, 34.0, 32.813559322033896)","(5.5, 6.4, 6.156765163297045)","(11.0, 12.5, 12.206896551724139)","(71.0, 110.0, 97.04545454545455)","(6.5, 7.8, 7.679329608938547)","(20.0, 25.0, 24.339622641509433)","(11.0, 13.0, 12.821951219512195)"
08-12-2022 15:32:24.058884,"(5.5, 6.6, 6.405479452054794)","(12.0, 14.0, 13.977987421383649)","(21.0, 27.0, 26.53846153846154)","(51.0, 60.0, 56.19047619047619)","(4.6, 5.4, 5.380645161290323)","(21.0, 34.0, 32.872727272727275)","(5.5, 6.4, 6.156765163297045)","(11.0, 12.5, 12.15)","(71.0, 110.0, 97.04545454545455)","(6.5, 7.8, 7.679329608938547)","(20.0, 25.0, 24.339622641509433)","(11.0, 13.5, 13.024528301886793)"
08-12-2022 15:32:25.850834,"(5.5, 6.6, 6.441935483870967)","(12.0, 14.0, 14.026315789473685)","(21.0, 27.0, 26.130434782608695)","(51.0, 60.0, 56.36363636363637)","(4.6, 5.4, 5.352380952380953)","(21.0, 34.0, 32.93333333333333)","(5.5, 6.4, 6.147735191637631)","(11.0, 12.5, 12.108108108108109)","(71.0, 110.0, 100.5)","(6.5, 7.8, 7.6682170542635655)","(20.0, 25.0, 24.341772151898734)","(11.0, 13.5, 12.839506172839506)"
08-12-2022 15:32:27.646148,"(5.5, 6.6, 6.441935483870967)","(12.0, 14.5, 14.026315789473685)","(21.0, 27.0, 25.928571428571427)","(51.0, 60.0, 56.36363636363637)","(4.6, 5.4, 5.352380952380953)","(21.0, 34.0, 32.93333333333333)","(5.5, 6.4, 6.147735191637631)","(11.0, 12.5, 12.1)","(71.0, 110.0, 100.5)","(6.5, 7.8, 7.6682170542635655)","(20.0, 25.0, 24.341772151898734)","(11.0, 13.0, 12.839506172839506)"
08-12-2022 15:32:29.399217,"(5.5, 6.6, 6.441935483870967)","(12.0, 14.5, 14.022727272727273)","(21.0, 27.0, 25.928571428571427)","(51.0, 60.0, 56.36363636363637)","(4.6, 5.4, 5.352380952380953)","(21.0, 34.0, 32.93333333333333)","(5.5, 6.4, 6.147735191637631)","(11.0, 12.5, 12.1)","(71.0, 110.0, 100.625)","(6.5, 7.8, 7.683561643835616)","(21.0, 25.0, 24.341772151898734)","(11.0, 13.0, 12.834394904458598)"
08-12-2022 15:32:31.312621,"(5.5, 6.6, 6.49126213592233)","(12.0, 14.5, 14.02)","(21.0, 27.0, 25.695652173913043)","(51.0, 60.0, 56.36363636363637)","(4.6, 5.4, 5.394029850746269)","(21.0, 34.0, 32.93333333333333)","(5.5, 6.4, 6.149823321554771)","(11.0, 12.5, 12.108108108108109)","(71.0, 110.0, 100.5)","(6.5, 7.8, 7.683561643835616)","(21.0, 25.0, 24.341772151898734)","(11.0, 13.0, 12.834394904458598)"
08-12-2022 15:32:33.285157,"(5.5, 6.6, 6.49126213592233)","(12.0, 14.5, 14.02)","(21.0, 27.0, 25.695652173913043)","(51.0, 60.0, 56.36363636363637)","(4.6, 5.4, 5.3943741209564)","(21.0, 34.0, 33.23809523809524)","(5.5, 6.4, 6.164784053156146)","(11.0, 12.5, 12.27659574468085)","(71.0, 110.0, 100.5)","(6.5, 7.8, 7.702298850574713)","(21.0, 25.0, 24.377245508982035)","(11.0, 13.0, 12.850574712643677)"
08-12-2022 15:32:34.981107,"(5.5, 6.6, 6.476595744680851)","(12.0, 14.5, 14.02)","(21.0, 27.0, 26.8)","(51.0, 60.0, 56.666666666666664)","(4.6, 5.4, 5.384447476125512)","(21.0, 34.0, 32.5)","(5.5, 6.4, 6.164784053156146)","(11.0, 12.5, 12.378787878787879)","(71.0, 110.0, 100.625)","(6.5, 7.8, 7.689610389610389)","(21.0, 25.0, 24.377245508982035)","(11.0, 13.0, 12.892116182572614)"
08-12-2022 15:32:36.620223,"(5.5, 6.6, 6.4972972972972975)","(12.0, 14.5, 14.02)","(21.0, 27.0, 26.8)","(51.0, 60.0, 56.666666666666664)","(4.6, 5.4, 5.360476190476191)","(21.0, 34.0, 32.5)","(5.5, 6.4, 6.164392678868553)","(11.0, 12.5, 12.378787878787879)","(71.0, 110.0, 100.625)","(6.5, 7.8, 7.689610389610389)","(21.0, 25.0, 24.377245508982035)","(11.0, 13.0, 12.888412017167383)"
08-12-2022 15:32:38.294507,"(5.5, 6.6, 6.4972972972972975)","(12.0, 14.5, 14.02)","(21.0, 27.0, 26.8)","(51.0, 60.0, 56.666666666666664)","(4.6, 5.4, 5.361824729891957)","(21.0, 34.0, 32.5)","(5.5, 6.4, 6.164392678868553)","(11.0, 12.5, 12.378787878787879)","(71.0, 110.0, 100.625)","(7.0, 7.8, 7.689610389610389)","(21.0, 25.0, 24.377245508982035)","(11.0, 13.0, 12.888412017167383)"
08-12-2022 15:32:39.945094,"(5.5, 6.6, 6.473333333333334)","(12.0, 14.5, 14.01388888888889)","(21.0, 27.0, 26.655172413793103)","(51.0, 60.0, 56.59574468085106)","(4.6, 5.4, 5.456147540983607)","(21.0, 34.0, 33.6687898089172)","(5.5, 6.4, 6.1597315436241615)","(11.0, 12.5, 12.367647058823529)","(71.0, 110.0, 100.625)","(7.0, 7.8, 7.686792452830188)","(21.0, 25.0, 24.377245508982035)","(11.0, 13.0, 12.890756302521009)"
08-12-2022 15:32:41.640150,"(5.5, 6.6, 6.455555555555556)","(12.0, 14.5, 13.954268292682928)","(21.0, 27.0, 26.575757575757574)","(51.0, 60.0, 56.59574468085106)","(4.6, 5.5, 5.456147540983607)","(21.0, 34.0, 33.577639751552795)","(5.5, 6.4, 6.208042895442359)","(11.0, 12.5, 12.367647058823529)","(71.0, 110.0, 100.625)","(7.0, 7.8, 7.680701754385964)","(21.0, 25.0, 24.377245508982035)","(11.0, 13.0, 12.890756302521009)"
08-12-2022 15:32:43.264674,"(5.5, 6.6, 6.455555555555556)","(12.0, 14.0, 13.954268292682928)","(21.0, 27.0, 26.575757575757574)","(51.0, 60.0, 56.59574468085106)","(4.6, 5.5, 5.456147540983607)","(21.0, 34.0, 33.6687898089172)","(5.5, 6.4, 6.208042895442359)","(11.0, 12.5, 12.367647058823529)","(71.0, 110.0, 100.625)","(7.0, 7.8, 7.680701754385964)","(21.0, 25.0, 24.377245508982035)","(11.0, 13.0, 12.890756302521009)"
08-12-2022 15:32:44.816805,"(5.5, 6.6, 6.455555555555556)","(12.0, 14.0, 13.954268292682928)","(21.0, 27.0, 26.575757575757574)","(51.0, 60.0, 56.59574468085106)","(4.6, 5.5, 5.456147540983607)","(21.0, 34.0, 33.55555555555556)","(5.5, 6.4, 6.208042895442359)","(11.0, 12.5, 12.367647058823529)","(71.0, 110.0, 100.625)","(6.5, 7.8, 7.679289940828402)","(21.0, 25.0, 24.377245508982035)","(11.0, 13.0, 12.890756302521009)"
08-12-2022 15:32:46.499271,"(5.5, 6.6, 6.455555555555556)","(12.0, 14.0, 13.954268292682928)","(21.0, 27.0, 26.575757575757574)","(51.0, 60.0, 56.59574468085106)","(4.6, 5.5, 5.455364806866953)","(21.0, 34.0, 33.46987951807229)","(5.5, 6.4, 6.209164420485175)","(11.0, 12.5, 12.367647058823529)","(71.0, 110.0, 100.625)","(6.5, 7.8, 7.679289940828402)","(21.0, 25.0, 24.377245508982035)","(11.0, 13.0, 12.890756302521009)"
08-12-2022 15:32:48.224952,"(5.5, 6.6, 6.451428571428572)","(12.0, 14.0, 13.954268292682928)","(21.0, 27.0, 26.575757575757574)","(51.0, 60.0, 56.59574468085106)","(4.6, 5.5, 5.455364806866953)","(21.0, 34.0, 33.0)","(5.5, 6.4, 6.209164420485175)","(11.0, 12.5, 12.367647058823529)","(71.0, 110.0, 100.625)","(6.5, 7.8, 7.679289940828402)","(21.0, 25.0, 24.377245508982035)","(11.0, 13.0, 12.890756302521009)"
08-12-2022 15:32:49.965921,"(5.5, 6.6, 6.45625)","(12.0, 14.0, 13.954268292682928)","(21.0, 27.0, 26.5625)","(51.0, 60.0, 56.59574468085106)","(4.6, 5.5, 5.463917525773196)","(21.0, 34.0, 33.5)","(5.5, 6.4, 6.209164420485175)","(11.0, 12.5, 12.446428571428571)","(71.0, 110.0, 100.625)","(6.5, 7.8, 7.685350318471337)","(21.0, 25.0, 24.377245508982035)","(11.0, 13.0, 12.97783251231527)"
08-12-2022 15:32:51.719474,"(5.5, 6.6, 6.433333333333334)","(12.0, 14.0, 13.954268292682928)","(21.0, 27.0, 26.642857142857142)","(51.0, 60.0, 56.59574468085106)","(4.6, 5.5, 5.463917525773196)","(21.0, 34.0, 33.5)","(5.5, 6.4, 6.209164420485175)","(11.0, 12.5, 12.446428571428571)","(71.0, 110.0, 100.625)","(6.5, 7.8, 7.685350318471337)","(20.0, 25.0, 24.377245508982035)","(11.0, 13.0, 12.97783251231527)"
08-12-2022 15:32:53.506817,"(5.5, 6.6, 6.395348837209303)","(12.0, 14.0, 13.954268292682928)","(21.0, 27.0, 26.72)","(51.0, 60.0, 56.59574468085106)","(4.6, 5.5, 5.463917525773196)","(21.0, 34.0, 33.5)","(5.5, 6.4, 6.209164420485175)","(11.0, 12.5, 12.446428571428571)","(71.0, 110.0, 100.625)","(6.5, 7.8, 7.685350318471337)","(20.0, 25.0, 24.377245508982035)","(11.0, 13.0, 12.97783251231527)"
08-12-2022 15:32:55.202516,"(5.5, 6.4, 6.395348837209303)","(12.0, 14.0, 13.954268292682928)","(21.0, 27.0, 26.72)","(51.0, 60.0, 56.59574468085106)","(4.6, 5.5, 5.441328413284133)","(21.0, 34.0, 33.5)","(5.5, 6.4, 6.209164420485175)","(11.0, 12.5, 12.446428571428571)","(71.0, 110.0, 100.625)","(6.5, 7.8, 7.685350318471337)","(20.0, 25.0, 24.377245508982035)","(11.0, 13.0, 12.97783251231527)"
08-12-2022 15:32:56.959558,"(5.5, 6.4, 6.396296296296296)","(12.0, 14.0, 13.954268292682928)","(21.0, 27.0, 26.857142857142858)","(51.0, 60.0, 56.59574468085106)","(4.6, 5.5, 5.43758389261745)","(21.0, 34.0, 33.5)","(5.5, 6.4, 6.209164420485175)","(11.0, 12.5, 13.217647058823529)","(71.0, 110.0, 100.625)","(6.5, 7.8, 7.697142857142857)","(20.0, 25.0, 24.377245508982035)","(11.0, 13.0, 12.97846889952153)"
08-12-2022 15:32:58.691047,"(5.5, 6.4, 6.394444444444445)","(12.0, 14.0, 14.26878612716763)","(21.0, 27.0, 26.823529411764707)","(51.0, 60.0, 56.59574468085106)","(4.6, 5.5, 5.43758389261745)","(21.0, 34.0, 33.5)","(5.5, 6.4, 6.209164420485175)","(11.0, 13.5, 12.605263157894736)","(71.0, 110.0, 100.625)","(6.5, 7.8, 7.677551020408163)","(20.0, 25.0, 24.377245508982035)","(11.0, 13.5, 13.157627118644069)"
08-12-2022 15:33:00.416968,"(5.5, 6.4, 6.394444444444445)","(12.0, 14.5, 14.26878612716763)","(21.0, 27.0, 26.823529411764707)","(51.0, 60.0, 56.59574468085106)","(4.6, 5.5, 5.43758389261745)","(21.0, 34.0, 33.5)","(5.5, 6.4, 6.209164420485175)","(11.0, 13.0, 12.805194805194805)","(71.0, 110.0, 100.625)","(6.5, 7.8, 7.677551020408163)","(21.0, 25.0, 24.377245508982035)","(11.0, 13.5, 13.151006711409396)"
08-12-2022 15:33:02.103515,"(5.5, 6.4, 6.393750000000001)","(12.0, 14.5, 14.26878612716763)","(21.0, 27.0, 26.8125)","(51.0, 60.0, 56.59574468085106)","(4.6, 5.5, 5.43758389261745)","(21.0, 34.0, 33.5)","(5.5, 6.4, 6.209164420485175)","(11.0, 13.0, 12.805194805194805)","(71.0, 110.0, 100.625)","(6.5, 7.8, 7.677551020408163)","(21.0, 25.0, 24.377245508982035)","(11.0, 13.5, 13.151006711409396)"
08-12-2022 15:33:03.941864,"(5.5, 6.4, 6.391304347826087)","(12.0, 14.5, 14.336477987421384)","(21.0, 27.0, 26.428571428571427)","(51.0, 60.0, 56.59574468085106)","(4.6, 5.5, 5.43758389261745)","(21.0, 34.0, 33.5)","(5.5, 6.4, 6.209164420485175)","(11.0, 13.0, 12.782608695652174)","(71.0, 110.0, 100.625)","(6.5, 7.8, 7.677551020408163)","(20.0, 25.0, 24.377245508982035)","(11.0, 13.5, 13.141379310344828)"
08-12-2022 15:33:05.753142,"(5.5, 6.4, 6.391304347826087)","(12.0, 14.5, 14.33125)","(21.0, 27.0, 25.666666666666668)","(51.0, 60.0, 56.59574468085106)","(4.6, 5.5, 5.43758389261745)","(21.0, 34.0, 33.5)","(5.5, 6.4, 6.208648648648649)","(11.0, 13.0, 12.782608695652174)","(71.0, 110.0, 100.625)","(6.5, 7.8, 7.677551020408163)","(20.0, 25.0, 24.377245508982035)","(11.0, 13.5, 13.033632286995516)"
08-12-2022 15:33:07.553863,"(5.5, 6.4, 6.3950000000000005)","(12.0, 14.5, 14.339285714285714)","(21.0, 27.0, 26.0)","(51.0, 60.0, 56.734693877551024)","(4.6, 5.5, 5.441509433962264)","(21.0, 34.0, 33.666666666666664)","(5.5, 6.4, 6.213192612137203)","(11.0, 13.0, 12.807692307692308)","(71.0, 110.0, 101.0)","(6.5, 7.8, 7.688198757763975)","(20.0, 25.0, 24.391812865497077)","(11.0, 13.5, 12.925414364640885)"
08-12-2022 15:33:09.520212,"(5.5, 6.4, 6.3950000000000005)","(12.0, 14.5, 14.339285714285714)","(21.0, 27.0, 26.0)","(51.0, 60.0, 56.734693877551024)","(4.6, 5.5, 5.441509433962264)","(21.0, 34.0, 33.666666666666664)","(5.5, 6.4, 6.213192612137203)","(11.0, 13.0, 12.807692307692308)","(71.0, 110.0, 101.0)","(6.5, 7.8, 7.688198757763975)","(20.0, 25.0, 24.391812865497077)","(11.0, 13.5, 12.925414364640885)"
