,Long Gully Brown,Burning Fee,Bailey The Rock,Bruces Angel,Ballroom Belle,Emerley Cougar
04-01-2023 10:29:15.545854,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:16.437044,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:17.327388,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:18.267317,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:19.153701,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:20.036370,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:20.945218,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:21.799797,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:22.670070,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:23.563531,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:24.454391,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:25.403365,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:26.308438,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:27.265144,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:28.198072,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:29.133344,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:29.986475,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:30.868432,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:31.719887,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:32.550086,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:33.399598,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:34.289188,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:35.174365,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:36.069073,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:36.967270,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:37.891110,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:38.794460,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:39.703488,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:40.623086,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:41.540035,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:42.412328,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:43.245630,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:44.097892,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:44.994735,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:45.901921,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:46.791765,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:47.696835,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:48.599937,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:49.530481,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:50.459312,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:51.345361,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:52.213802,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:53.104245,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:53.989843,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:54.821211,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:55.728338,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:56.594665,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:57.526464,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:58.414668,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:59.357034,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:00.298141,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:01.197513,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:02.097137,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:02.949780,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:03.818259,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:04.669622,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:05.539175,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:06.404219,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:07.331112,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:08.206498,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:09.120258,"(2.05, 3.25, 2.9753846153846153)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:10.046792,"(2.05, 3.25, 2.9753846153846153)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:10.967132,"(2.05, 3.25, 2.9753846153846153)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:11.888551,"(2.05, 3.25, 2.9753846153846153)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:12.882333,"(2.05, 3.25, 2.9753846153846153)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:13.787764,"(2.05, 3.25, 2.9753846153846153)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:14.682362,"(2.05, 3.25, 2.9753846153846153)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:15.558276,"(2.05, 3.25, 2.9753846153846153)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:16.405008,"(2.05, 3.25, 2.9753846153846153)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:17.275311,"(2.05, 3.25, 2.9753846153846153)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:18.139050,"(2.05, 3.25, 2.9753846153846153)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:19.006637,"(2.05, 3.25, 2.9753846153846153)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:19.930249,"(2.05, 3.25, 2.9753846153846153)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:20.789356,"(2.05, 3.25, 2.9753846153846153)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:21.714693,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:22.601223,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:23.526893,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:24.407818,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:25.305685,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:26.171854,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:27.015454,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:27.898798,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:28.743688,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:30:29.628106,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
