,Yarraman Rocky,Rockslide,Favreau,Rocknroll Max Nz,The Weekend,Bejiggity,Raani,Ideal Tiger Nz
05-01-2023 15:28:48.606327,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:28:50.002816,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:28:51.414195,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:28:52.870701,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:28:54.113313,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:28:55.508565,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:28:56.629548,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:28:57.781385,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:28:58.943808,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:00.110853,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:01.518351,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:02.919602,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:04.059454,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:05.250884,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:06.423601,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:07.599824,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:08.777535,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:09.882309,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:10.985976,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:12.113408,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:13.352499,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:14.416164,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:15.585087,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:16.838644,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:18.076888,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:19.287267,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:20.443930,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:21.676002,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:22.775413,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:23.874032,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:25.047877,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:26.217007,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:27.361391,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:28.561497,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:29.724443,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:30.870530,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:32.065456,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:33.281215,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:34.507860,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:35.690726,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:36.810740,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:37.991226,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:39.141089,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:40.348000,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:41.583510,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:42.815629,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:44.037275,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:45.218735,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:46.426394,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:47.588917,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:48.770588,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:49.926321,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:51.135563,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:52.380949,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:53.668730,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:54.888936,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:56.108987,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:57.307709,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:58.506261,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:29:59.676137,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:30:00.837154,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:30:02.005971,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:30:03.250683,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:30:04.433559,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:30:05.678236,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:30:06.935898,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:30:08.150153,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:30:09.412119,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:30:10.608118,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:30:11.785059,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:30:12.972912,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:30:14.131744,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:30:15.225972,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:30:16.350929,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:30:17.440781,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:30:18.519388,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:30:19.686837,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:30:20.841115,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:30:22.079749,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:30:23.275680,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:30:24.436334,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:30:25.580128,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:30:26.784722,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:30:27.987397,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:30:29.195727,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
