,Rhythmic Pulse,Abdicating,Subterranean,Bundyandcoke,Maxcalemma,Holiday Dreams,Fastconi,Head Legislator,Magic Conqueror,Capri Of Tuffy,Onchao,Vetta Velocita
11-01-2023 17:43:36.591169,"(26.0, 36.0, 35.76470588235294)","(21.0, 30.0, 29.470588235294116)","(5.5, 6.8, 6.72436974789916)","(6.0, 7.0, 6.915112540192926)","(10.0, 11.5, 11.245810055865922)","(14.0, 14.5, 14.0)","(4.4, 4.9, 4.896590909090909)","(12.0, 13.0, 12.876923076923077)","(16.0, 19.0, 18.991666666666667)","(11.0, 13.5, 13.375675675675677)","(26.0, 32.0, 30.10810810810811)","(17.0, 20.0, 20.289473684210527)"
11-01-2023 17:43:37.983464,"(26.0, 38.0, 35.5609756097561)","(21.0, 30.0, 29.5)","(5.5, 6.8, 6.757990867579909)","(6.0, 7.0, 6.940972222222222)","(10.0, 11.5, 11.23391812865497)","(14.0, 14.0, 13.79861111111111)","(4.4, 4.9, 4.8008474576271185)","(12.0, 13.0, 13.113861386138614)","(16.0, 19.0, 19.083333333333332)","(11.0, 13.5, 13.611764705882353)","(26.0, 32.0, 30.264462809917354)","(17.0, 21.0, 20.15625)"
11-01-2023 17:43:39.414916,"(26.0, 38.0, 35.5609756097561)","(21.0, 30.0, 29.5)","(5.5, 7.0, 6.854666666666667)","(6.0, 7.0, 6.9411764705882355)","(10.0, 11.5, 11.256756756756756)","(14.0, 14.0, 13.665354330708661)","(4.4, 4.9, 4.8)","(12.0, 13.5, 13.111650485436893)","(16.0, 19.5, 19.083333333333332)","(11.0, 14.0, 13.628378378378379)","(26.0, 32.0, 30.25409836065574)","(17.0, 21.0, 19.725)"
11-01-2023 17:43:40.735977,"(26.0, 38.0, 36.717948717948715)","(21.0, 30.0, 29.5)","(5.5, 7.0, 6.885446009389671)","(6.0, 7.0, 6.9736170212765956)","(10.0, 11.5, 11.256756756756756)","(14.0, 14.0, 13.646853146853147)","(4.4, 4.8, 4.783221476510067)","(12.0, 13.5, 13.111650485436893)","(16.0, 19.5, 19.083333333333332)","(11.0, 14.0, 13.628378378378379)","(26.0, 32.0, 30.25409836065574)","(17.0, 21.0, 19.725)"
11-01-2023 17:43:42.139407,"(26.0, 38.0, 34.97435897435897)","(21.0, 30.0, 29.5)","(5.5, 7.0, 6.913043478260869)","(6.0, 7.0, 6.97304347826087)","(10.0, 11.5, 11.258152173913043)","(14.0, 14.0, 13.636363636363637)","(4.4, 4.8, 4.783699059561129)","(12.0, 13.5, 13.136363636363637)","(16.0, 19.5, 19.13235294117647)","(11.0, 14.0, 13.648936170212766)","(26.0, 32.0, 30.30952380952381)","(17.0, 21.0, 19.958333333333332)"
11-01-2023 17:43:43.575108,"(26.0, 36.0, 34.97435897435897)","(21.0, 30.0, 29.53846153846154)","(5.5, 7.0, 6.8989473684210525)","(6.0, 7.0, 6.9747967479674795)","(10.0, 11.5, 11.258152173913043)","(14.0, 14.0, 13.657232704402515)","(4.4, 4.8, 4.8069930069930065)","(12.0, 13.5, 13.09375)","(16.0, 19.5, 19.17948717948718)","(11.0, 14.0, 12.95)","(26.0, 32.0, 30.30952380952381)","(17.0, 20.0, 19.958333333333332)"
11-01-2023 17:43:44.954265,"(26.0, 36.0, 34.904761904761905)","(21.0, 30.0, 29.53846153846154)","(5.5, 7.0, 6.919540229885057)","(6.0, 7.0, 6.972690763052209)","(10.0, 11.5, 11.263297872340425)","(13.0, 14.0, 13.657232704402515)","(4.4, 4.9, 4.8069930069930065)","(12.0, 13.5, 13.09375)","(16.0, 19.5, 19.333333333333332)","(12.0, 13.5, 12.972868217054264)","(26.0, 32.0, 30.105263157894736)","(17.0, 20.0, 20.133333333333333)"
11-01-2023 17:43:46.325052,"(26.0, 36.0, 35.05555555555556)","(21.0, 32.0, 31.333333333333332)","(5.5, 7.0, 6.930487804878049)","(6.0, 7.2, 7.0344827586206895)","(10.0, 11.5, 11.31132075471698)","(13.0, 13.0, 12.848214285714286)","(4.4, 4.9, 4.8307692307692305)","(12.0, 13.5, 13.146825396825397)","(16.0, 19.5, 19.333333333333332)","(12.0, 13.5, 13.008333333333333)","(26.0, 32.0, 30.105263157894736)","(17.0, 21.0, 20.11764705882353)"
11-01-2023 17:43:47.659022,"(26.0, 36.0, 35.05555555555556)","(21.0, 32.0, 31.36842105263158)","(5.5, 7.0, 6.930487804878049)","(6.0, 7.2, 7.116376306620209)","(10.0, 11.5, 11.205555555555556)","(13.0, 13.0, 12.9875)","(4.4, 4.9, 4.821965317919075)","(12.0, 13.5, 13.106194690265486)","(16.0, 19.5, 19.123893805309734)","(11.0, 13.5, 12.977941176470589)","(26.0, 32.0, 30.105263157894736)","(17.0, 21.0, 20.11764705882353)"
11-01-2023 17:43:48.983966,"(26.0, 36.0, 35.05555555555556)","(21.0, 32.0, 31.25)","(5.5, 7.0, 6.930487804878049)","(6.0, 7.2, 7.032752613240418)","(10.0, 11.5, 11.205555555555556)","(13.0, 13.0, 12.99367088607595)","(4.4, 4.9, 4.821965317919075)","(12.0, 13.5, 13.016949152542374)","(16.0, 20.0, 19.333333333333332)","(11.0, 13.5, 12.977941176470589)","(26.0, 32.0, 30.875)","(17.0, 21.0, 20.11764705882353)"
11-01-2023 17:43:50.269878,"(26.0, 36.0, 35.05555555555556)","(21.0, 32.0, 31.384615384615383)","(5.5, 7.0, 6.896396396396396)","(6.0, 7.2, 7.052760736196319)","(10.0, 11.5, 11.230046948356808)","(13.0, 13.5, 13.012820512820513)","(4.4, 4.9, 4.821081081081081)","(12.0, 13.5, 13.025974025974026)","(16.0, 19.5, 19.03846153846154)","(11.0, 13.5, 12.977941176470589)","(26.0, 32.0, 32.333333333333336)","(17.0, 21.0, 20.11764705882353)"
11-01-2023 17:43:51.593191,"(26.0, 36.0, 35.05555555555556)","(21.0, 32.0, 31.48936170212766)","(5.5, 7.0, 6.896396396396396)","(6.0, 7.2, 7.055483870967742)","(10.0, 11.5, 11.242152466367713)","(13.0, 13.5, 13.08695652173913)","(4.4, 4.9, 4.820987654320987)","(12.0, 13.5, 13.134615384615385)","(16.0, 19.5, 19.365671641791046)","(11.0, 13.5, 13.02694610778443)","(26.0, 34.0, 32.48275862068966)","(17.0, 21.0, 20.23076923076923)"
11-01-2023 17:43:52.948923,"(26.0, 34.0, 33.666666666666664)","(21.0, 32.0, 31.571428571428573)","(5.5, 7.0, 6.90295358649789)","(6.0, 7.2, 7.14935064935065)","(10.0, 11.5, 11.246411483253588)","(13.0, 13.5, 12.668674698795181)","(4.4, 4.9, 4.8314814814814815)","(12.0, 13.5, 13.134615384615385)","(16.0, 19.5, 19.234177215189874)","(11.0, 13.5, 13.00625)","(26.0, 34.0, 33.0)","(17.0, 21.0, 20.23076923076923)"
11-01-2023 17:43:54.559217,"(26.0, 34.0, 34.583333333333336)","(21.0, 32.0, 31.157894736842106)","(5.5, 7.0, 6.951685393258427)","(6.0, 7.2, 7.140000000000001)","(10.0, 11.5, 11.246411483253588)","(13.0, 13.0, 12.560714285714285)","(4.4, 4.9, 4.857261410788382)","(12.0, 13.5, 13.200787401574804)","(16.0, 19.5, 19.234177215189874)","(11.0, 13.5, 13.072289156626507)","(26.0, 34.0, 33.3125)","(17.0, 21.0, 20.23076923076923)"
11-01-2023 17:43:55.891173,"(26.0, 36.0, 34.583333333333336)","(21.0, 32.0, 31.157894736842106)","(5.5, 7.0, 6.951685393258427)","(6.0, 7.2, 7.105813953488372)","(10.0, 11.5, 11.230941704035875)","(13.0, 13.0, 12.818518518518518)","(4.4, 4.9, 4.848763250883392)","(12.0, 13.5, 13.169565217391304)","(16.0, 19.5, 19.38888888888889)","(11.0, 13.5, 13.072289156626507)","(26.0, 34.0, 33.4)","(17.0, 21.0, 20.195652173913043)"
11-01-2023 17:43:57.237374,"(26.0, 36.0, 34.38461538461539)","(21.0, 32.0, 31.157894736842106)","(5.5, 7.0, 6.892553191489362)","(6.0, 7.2, 7.1265822784810124)","(10.0, 11.5, 11.230941704035875)","(13.0, 13.5, 13.12280701754386)","(4.4, 4.9, 4.850511945392491)","(12.0, 13.5, 13.021367521367521)","(16.0, 19.5, 19.38888888888889)","(11.0, 13.5, 13.072289156626507)","(26.0, 34.0, 33.48571428571429)","(17.0, 21.0, 20.11904761904762)"
11-01-2023 17:43:58.655037,"(26.0, 36.0, 34.38461538461539)","(21.0, 32.0, 30.529411764705884)","(5.5, 6.8, 6.731521739130435)","(5.5, 7.2, 7.243396226415094)","(10.0, 11.5, 11.230941704035875)","(13.0, 13.5, 13.129032258064516)","(4.4, 4.9, 4.859677419354838)","(12.0, 13.5, 13.031746031746032)","(16.0, 19.5, 19.385714285714286)","(11.0, 13.5, 13.072289156626507)","(26.0, 34.0, 33.48571428571429)","(17.0, 21.0, 20.11904761904762)"
11-01-2023 17:44:00.171528,"(26.0, 36.0, 34.38461538461539)","(21.0, 32.0, 30.529411764705884)","(5.5, 6.8, 6.731147540983606)","(5.5, 7.4, 7.258119658119658)","(10.0, 11.5, 11.242489270386265)","(12.0, 13.5, 13.283783783783784)","(4.4, 4.9, 4.862121212121212)","(12.0, 13.5, 12.956521739130435)","(16.0, 19.5, 18.845238095238095)","(11.0, 13.5, 13.10989010989011)","(26.0, 34.0, 33.526315789473685)","(17.0, 21.0, 20.21276595744681)"
11-01-2023 17:44:01.629176,"(26.0, 36.0, 34.55172413793103)","(26.0, 32.0, 30.775510204081634)","(5.5, 6.8, 6.735185185185185)","(6.0, 7.4, 7.266666666666667)","(10.0, 11.5, 11.275390625)","(12.0, 13.5, 13.342342342342342)","(4.4, 4.9, 4.884792626728111)","(12.0, 13.0, 13.128865979381443)","(16.0, 19.0, 18.879518072289155)","(11.0, 13.5, 13.16822429906542)","(26.0, 34.0, 33.8235294117647)","(17.0, 21.0, 18.85483870967742)"
11-01-2023 17:44:02.965920,"(26.0, 36.0, 34.833333333333336)","(26.0, 32.0, 30.775510204081634)","(5.5, 6.8, 6.735185185185185)","(6.0, 7.4, 7.266666666666667)","(10.0, 11.5, 11.275390625)","(12.0, 13.5, 13.392561983471074)","(4.4, 4.9, 4.895360824742268)","(12.0, 13.5, 13.127118644067796)","(16.0, 19.0, 18.871794871794872)","(11.0, 13.5, 13.209016393442623)","(26.0, 34.0, 33.8235294117647)","(17.0, 19.5, 18.266666666666666)"
11-01-2023 17:44:04.398255,"(26.0, 36.0, 34.833333333333336)","(21.0, 32.0, 30.75)","(5.5, 6.8, 6.735185185185185)","(6.0, 7.4, 7.2477611940298505)","(10.0, 11.5, 11.282196969696969)","(12.0, 13.5, 13.59375)","(4.4, 4.9, 4.767430025445292)","(12.0, 13.5, 13.129251700680273)","(16.0, 19.0, 18.879518072289155)","(12.0, 13.5, 13.19915254237288)","(26.0, 34.0, 33.87755102040816)","(17.0, 18.5, 18.545454545454547)"
11-01-2023 17:44:05.784951,"(26.0, 36.0, 34.64102564102564)","(21.0, 32.0, 30.96551724137931)","(5.5, 6.8, 6.735483870967742)","(6.0, 7.4, 7.278181818181818)","(10.0, 11.5, 11.373893805309734)","(12.0, 14.0, 13.586666666666666)","(4.4, 4.8, 4.770724637681159)","(12.0, 13.5, 13.119205298013245)","(16.0, 19.0, 18.842391304347824)","(12.0, 13.5, 13.578313253012048)","(26.0, 34.0, 33.87755102040816)","(17.0, 19.0, 18.545454545454547)"
11-01-2023 17:44:07.189701,"(26.0, 36.0, 34.675324675324674)","(26.0, 32.0, 30.96551724137931)","(5.5, 6.8, 6.786075949367088)","(6.0, 7.4, 7.278181818181818)","(10.0, 11.5, 11.336653386454183)","(12.0, 14.0, 13.522727272727273)","(4.4, 4.8, 4.766485013623978)","(12.0, 13.5, 13.119205298013245)","(16.0, 19.0, 18.802884615384617)","(12.0, 14.0, 13.63076923076923)","(26.0, 34.0, 33.87755102040816)","(17.0, 19.0, 18.545454545454547)"
11-01-2023 17:44:08.633106,"(26.0, 36.0, 34.641975308641975)","(26.0, 32.0, 30.20689655172414)","(5.5, 6.8, 6.757894736842105)","(6.0, 7.4, 7.385567010309279)","(10.0, 11.5, 11.391891891891891)","(12.0, 14.0, 13.442148760330578)","(4.4, 4.8, 4.768913857677902)","(12.0, 13.5, 13.213930348258707)","(16.0, 19.0, 18.65)","(12.0, 14.0, 13.772222222222222)","(26.0, 34.0, 33.88461538461539)","(17.0, 19.0, 18.5)"
11-01-2023 17:44:10.047036,"(26.0, 36.0, 34.6578947368421)","(26.0, 32.0, 30.071428571428573)","(5.5, 6.8, 6.7961038961038955)","(6.0, 7.4, 7.385567010309279)","(10.0, 11.5, 11.542307692307693)","(12.0, 13.5, 13.594142259414227)","(4.4, 4.8, 4.6701559020044545)","(12.0, 13.5, 13.245575221238939)","(16.0, 19.0, 18.79126213592233)","(12.0, 14.0, 13.856060606060606)","(26.0, 34.0, 34.516129032258064)","(17.0, 19.0, 18.4)"
11-01-2023 17:44:11.493953,"(26.0, 36.0, 34.924731182795696)","(26.0, 32.0, 30.893617021276597)","(5.5, 7.0, 6.8829493087557605)","(6.0, 7.6, 7.4820224719101125)","(10.0, 12.0, 11.542307692307693)","(12.0, 14.0, 13.588582677165354)","(4.4, 4.7, 4.668008048289739)","(12.0, 13.5, 13.22633744855967)","(16.0, 19.0, 18.79126213592233)","(12.0, 14.0, 13.82638888888889)","(26.0, 36.0, 34.49315068493151)","(17.0, 18.5, 18.367346938775512)"
11-01-2023 17:44:12.995472,"(26.0, 36.0, 34.73394495412844)","(26.0, 32.0, 30.88888888888889)","(5.5, 7.0, 6.890909090909091)","(6.0, 7.4, 7.367123287671233)","(10.0, 12.0, 11.667613636363637)","(12.0, 14.0, 13.57172131147541)","(4.4, 4.7, 4.667062818336163)","(12.0, 13.5, 13.224489795918368)","(16.0, 19.0, 18.954545454545453)","(12.0, 14.0, 13.791666666666666)","(26.0, 36.0, 34.75)","(17.0, 18.5, 18.276923076923076)"
11-01-2023 17:44:14.510455,"(26.0, 36.0, 34.735849056603776)","(26.0, 32.0, 30.941176470588236)","(5.5, 7.0, 6.884584980237154)","(6.0, 7.6, 7.218691588785047)","(10.0, 12.0, 11.653225806451612)","(12.0, 14.0, 13.376262626262626)","(4.4, 4.7, 4.7225114854517605)","(12.0, 13.5, 13.241228070175438)","(16.0, 19.0, 19.082608695652173)","(12.0, 14.0, 13.803149606299213)","(26.0, 36.0, 34.825)","(17.0, 18.5, 18.264150943396228)"
11-01-2023 17:44:15.928914,"(26.0, 36.0, 34.735849056603776)","(26.0, 32.0, 30.59259259259259)","(5.5, 7.0, 6.898165137614678)","(6.0, 7.2, 7.181659388646288)","(10.0, 12.0, 11.75)","(12.0, 13.5, 13.56532663316583)","(4.4, 4.8, 4.585330073349633)","(12.0, 13.5, 13.313492063492063)","(16.0, 19.5, 19.23076923076923)","(12.0, 14.0, 13.959090909090909)","(26.0, 36.0, 35.04081632653061)","(17.0, 18.5, 18.407894736842106)"
11-01-2023 17:44:17.350389,"(26.0, 36.0, 34.91935483870968)","(21.0, 32.0, 31.105882352941176)","(5.5, 7.0, 6.9422382671480145)","(6.0, 7.2, 7.181659388646288)","(10.0, 12.0, 11.76457399103139)","(12.0, 14.0, 13.58495145631068)","(4.4, 4.6, 4.579375)","(12.0, 13.5, 13.282722513089006)","(16.0, 19.5, 19.25)","(12.0, 14.0, 13.99047619047619)","(26.0, 36.0, 35.04081632653061)","(17.0, 18.5, 18.407894736842106)"
11-01-2023 17:44:18.762546,"(26.0, 36.0, 34.91935483870968)","(21.0, 32.0, 30.9375)","(5.5, 7.0, 6.9422382671480145)","(6.0, 7.2, 7.193832599118943)","(10.0, 12.0, 11.743190661478598)","(12.0, 14.0, 13.671153846153846)","(4.4, 4.6, 4.586969696969697)","(12.0, 13.5, 13.284313725490197)","(16.0, 19.5, 19.440298507462686)","(12.0, 14.0, 13.961206896551724)","(26.0, 36.0, 35.113207547169814)","(17.0, 18.5, 18.407894736842106)"
11-01-2023 17:44:20.199662,"(26.0, 36.0, 34.94488188976378)","(21.0, 34.0, 33.0)","(5.5, 7.0, 6.933333333333334)","(6.0, 7.2, 7.200913242009133)","(10.0, 12.0, 11.743190661478598)","(12.0, 14.0, 13.515151515151516)","(4.4, 4.6, 4.567132867132867)","(12.0, 13.5, 13.284313725490197)","(16.0, 19.5, 19.40939597315436)","(12.0, 14.0, 13.961206896551724)","(26.0, 36.0, 35.113207547169814)","(17.0, 18.5, 18.407894736842106)"
11-01-2023 17:44:21.679109,"(26.0, 36.0, 34.94488188976378)","(21.0, 34.0, 34.21782178217822)","(5.5, 7.0, 6.917829457364341)","(6.0, 7.4, 7.1986143187066975)","(10.0, 12.0, 11.44620253164557)","(12.0, 14.0, 13.608333333333333)","(4.4, 4.6, 4.566939890710382)","(12.0, 13.5, 13.302083333333334)","(16.0, 20.0, 19.420689655172414)","(12.0, 14.0, 13.959227467811159)","(26.0, 36.0, 35.113207547169814)","(17.0, 18.5, 18.407894736842106)"
11-01-2023 17:44:23.132012,"(26.0, 36.0, 34.94488188976378)","(21.0, 36.0, 34.0)","(5.5, 7.0, 6.938223938223938)","(6.0, 7.4, 7.273493975903615)","(10.0, 11.5, 11.409326424870466)","(12.0, 14.0, 13.629268292682926)","(4.4, 4.6, 4.339656311962988)","(12.0, 13.5, 13.315533980582524)","(16.0, 20.0, 19.45806451612903)","(12.0, 14.0, 14.111764705882353)","(26.0, 36.0, 35.21904761904762)","(17.0, 18.5, 18.423076923076923)"
11-01-2023 17:44:24.503761,"(26.0, 36.0, 35.037593984962406)","(26.0, 34.0, 32.745098039215684)","(5.5, 7.0, 7.0256410256410255)","(6.0, 7.4, 7.270206489675516)","(10.0, 11.5, 11.563291139240507)","(12.0, 14.0, 13.700413223140496)","(4.4, 4.5, 4.364599483204135)","(12.0, 13.5, 13.355670103092784)","(16.0, 20.0, 19.673076923076923)","(12.0, 14.5, 14.363636363636363)","(26.0, 36.0, 35.30769230769231)","(17.0, 18.5, 18.727272727272727)"
11-01-2023 17:44:25.848587,"(26.0, 36.0, 35.098591549295776)","(26.0, 34.0, 32.285714285714285)","(5.5, 7.2, 7.0256410256410255)","(6.0, 7.4, 7.270206489675516)","(10.0, 12.0, 11.655940594059405)","(12.0, 14.0, 13.67584745762712)","(4.4, 4.4, 4.370702179176756)","(12.0, 13.5, 13.202830188679245)","(16.0, 20.0, 19.673076923076923)","(12.0, 14.5, 13.941326530612244)","(26.0, 36.0, 35.30769230769231)","(17.0, 19.0, 18.608695652173914)"
11-01-2023 17:44:27.222747,"(26.0, 36.0, 35.098591549295776)","(26.0, 34.0, 32.285714285714285)","(5.5, 7.2, 7.0256410256410255)","(6.0, 7.4, 7.270206489675516)","(10.0, 12.0, 11.655940594059405)","(12.0, 14.0, 13.67584745762712)","(4.4, 4.4, 4.3543689320388355)","(12.0, 13.5, 13.365269461077844)","(16.0, 20.0, 19.797619047619047)","(12.0, 14.0, 13.952941176470588)","(26.0, 36.0, 35.588235294117645)","(17.0, 19.0, 18.881944444444443)"
11-01-2023 17:44:28.692614,"(26.0, 36.0, 35.251461988304094)","(26.0, 34.0, 33.04)","(5.5, 7.2, 7.134562211981567)","(6.0, 7.4, 7.302439024390244)","(10.0, 12.0, 11.708860759493671)","(12.0, 14.0, 13.809226932668329)","(4.4, 4.4, 4.3610337972167)","(12.0, 13.5, 13.365269461077844)","(16.0, 20.0, 19.79296875)","(12.0, 14.0, 14.22300469483568)","(26.0, 36.0, 35.58)","(17.0, 19.0, 18.87313432835821)"
11-01-2023 17:44:30.124772,"(26.0, 36.0, 35.28888888888889)","(26.0, 34.0, 33.75)","(5.5, 7.2, 7.151310861423221)","(6.0, 7.4, 7.306779661016949)","(10.0, 12.0, 11.742125984251969)","(12.0, 14.0, 13.803611738148984)","(4.4, 4.4, 4.2656903765690375)","(12.0, 13.5, 13.380952380952381)","(16.0, 20.0, 20.141025641025642)","(12.0, 14.5, 13.991891891891893)","(26.0, 36.0, 35.61467889908257)","(17.0, 19.0, 18.92207792207792)"
11-01-2023 17:44:31.548167,"(26.0, 36.0, 35.385474860335194)","(26.0, 34.0, 33.87096774193548)","(5.5, 7.2, 7.121702127659574)","(6.0, 7.4, 7.304867256637168)","(10.0, 12.0, 11.76607142857143)","(12.0, 14.0, 14.351851851851851)","(4.4, 4.3, 4.177572559366754)","(12.0, 13.5, 13.375)","(16.0, 21.0, 20.15277777777778)","(12.0, 14.0, 14.21900826446281)","(26.0, 36.0, 35.61467889908257)","(17.0, 19.0, 18.916666666666668)"
11-01-2023 17:44:33.028856,"(26.0, 36.0, 35.385474860335194)","(26.0, 34.0, 33.407407407407405)","(5.5, 7.2, 7.121702127659574)","(6.0, 7.4, 7.304622871046229)","(10.0, 12.0, 11.791015625)","(12.0, 14.5, 14.672413793103448)","(4.2, 4.3, 4.154947916666667)","(12.0, 13.5, 13.426751592356688)","(17.0, 21.0, 20.227848101265824)","(12.0, 14.5, 14.171814671814673)","(26.0, 36.0, 35.648148148148145)","(17.0, 19.0, 18.922535211267604)"
11-01-2023 17:44:34.495850,"(26.0, 36.0, 35.392265193370164)","(26.0, 34.0, 33.310344827586206)","(5.5, 7.2, 7.062773722627737)","(6.0, 7.4, 7.310204081632653)","(10.0, 12.0, 11.82819383259912)","(12.0, 15.0, 14.666666666666666)","(4.2, 4.2, 4.1139534883720925)","(12.0, 13.5, 13.542105263157895)","(17.0, 21.0, 20.375)","(12.0, 14.5, 14.211538461538462)","(26.0, 36.0, 37.39047619047619)","(17.0, 19.0, 19.5625)"
11-01-2023 17:44:35.923784,"(26.0, 36.0, 35.93846153846154)","(26.0, 34.0, 33.310344827586206)","(5.5, 7.2, 7.062773722627737)","(6.0, 7.4, 7.309677419354839)","(10.0, 12.0, 12.09322033898305)","(12.0, 15.0, 14.63855421686747)","(4.2, 4.2, 4.090610328638498)","(12.0, 14.0, 13.397368421052631)","(17.0, 21.0, 20.516129032258064)","(12.0, 14.5, 14.183794466403162)","(26.0, 38.0, 37.09090909090909)","(17.0, 20.0, 19.74074074074074)"
11-01-2023 17:44:37.342335,"(26.0, 38.0, 37.0)","(26.0, 34.0, 33.183673469387756)","(5.5, 7.2, 7.11685393258427)","(6.0, 7.4, 7.308096280087527)","(10.0, 12.5, 12.033653846153847)","(12.0, 15.0, 14.41842105263158)","(4.2, 4.1, 4.114097744360902)","(12.0, 13.5, 13.392857142857142)","(17.0, 21.0, 20.370786516853933)","(12.0, 14.5, 14.183794466403162)","(26.0, 38.0, 37.285714285714285)","(17.0, 20.0, 19.78787878787879)"
