,Arnhem Axel,Bonnet Surfer,Coco Evie,Sunshine Fire,Velocity Tori,Villainess,Hurricane Villa
07-12-2022 19:44:34.273395,"(9.0, 19.0, 10.666666666666666)","(19.0, 50.0, 28.0)","(12.0, 27.0, 20.263157894736842)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:44:35.805244,"(9.0, 19.0, 10.666666666666666)","(19.0, 50.0, 28.0)","(12.0, 27.0, 20.263157894736842)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:44:37.139847,"(9.0, 19.0, 10.666666666666666)","(19.0, 50.0, 28.0)","(12.0, 27.0, 20.263157894736842)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:44:38.361466,"(9.0, 19.0, 10.666666666666666)","(19.0, 50.0, 30.0)","(12.0, 27.0, 20.263157894736842)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:44:39.577011,"(9.0, 19.0, 10.666666666666666)","(19.0, 50.0, 30.0)","(12.0, 27.0, 20.263157894736842)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:44:40.764181,"(9.0, 19.0, 10.666666666666666)","(19.0, 50.0, 30.0)","(12.0, 27.0, 20.263157894736842)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:44:41.989022,"(9.0, 19.0, 10.666666666666666)","(19.0, 50.0, 30.0)","(12.0, 27.0, 20.263157894736842)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:44:43.256804,"(9.0, 19.0, 10.666666666666666)","(19.0, 50.0, 30.0)","(12.0, 27.0, 20.263157894736842)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:44:44.546098,"(9.0, 19.0, 10.666666666666666)","(19.0, 50.0, 30.0)","(12.0, 27.0, 20.263157894736842)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:44:45.782794,"(9.0, 19.0, 10.666666666666666)","(19.0, 50.0, 30.0)","(12.0, 27.0, 20.263157894736842)","(2.1, 3.15, 2.8066666666666666)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:44:46.995841,"(9.0, 19.0, 10.666666666666666)","(19.0, 50.0, 30.0)","(12.0, 27.0, 20.263157894736842)","(2.1, 3.15, 2.8066666666666666)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:44:48.267957,"(9.0, 19.0, 10.666666666666666)","(19.0, 50.0, 30.0)","(12.0, 27.0, 20.263157894736842)","(2.1, 3.15, 2.8066666666666666)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:44:49.381739,"(9.0, 19.0, 10.666666666666666)","(19.0, 50.0, 30.0)","(12.0, 27.0, 20.263157894736842)","(2.1, 3.15, 2.8066666666666666)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:44:50.553305,"(9.0, 19.0, 10.666666666666666)","(19.0, 50.0, 30.0)","(12.0, 27.0, 20.263157894736842)","(2.1, 3.15, 2.8066666666666666)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:44:51.760015,"(9.0, 19.0, 10.666666666666666)","(19.0, 50.0, 30.0)","(12.0, 27.0, 20.263157894736842)","(2.1, 3.15, 2.8066666666666666)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:44:53.000601,"(9.0, 19.0, 10.666666666666666)","(19.0, 50.0, 30.0)","(12.0, 27.0, 20.263157894736842)","(2.1, 3.15, 2.8066666666666666)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:44:54.293363,"(9.0, 19.0, 10.666666666666666)","(19.0, 50.0, 33.75)","(12.0, 27.0, 21.3125)","(2.1, 3.15, 2.8066666666666666)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:44:55.495446,"(9.0, 19.0, 10.666666666666666)","(19.0, 48.0, 32.75)","(12.0, 26.0, 21.3125)","(2.1, 3.15, 2.8066666666666666)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:44:56.681273,"(9.0, 19.0, 10.666666666666666)","(19.0, 48.0, 32.75)","(12.0, 26.0, 21.3125)","(2.1, 3.15, 2.8066666666666666)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:44:57.924797,"(9.0, 19.0, 10.666666666666666)","(19.0, 48.0, 32.75)","(12.0, 26.0, 21.3125)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:44:59.215969,"(9.0, 19.0, 10.666666666666666)","(19.0, 48.0, 29.230769230769234)","(12.0, 26.0, 19.684210526315788)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:00.478068,"(9.0, 19.0, 10.666666666666666)","(19.0, 48.0, 29.230769230769234)","(12.0, 26.0, 19.684210526315788)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:01.681462,"(9.0, 19.0, 10.666666666666666)","(19.0, 48.0, 29.230769230769234)","(12.0, 26.0, 19.684210526315788)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:02.774409,"(9.0, 19.0, 10.666666666666666)","(19.0, 48.0, 29.230769230769234)","(12.0, 26.0, 19.684210526315788)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:03.977626,"(9.0, 19.0, 10.666666666666666)","(19.0, 48.0, 29.230769230769234)","(12.0, 26.0, 19.684210526315788)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:05.190730,"(9.0, 19.0, 10.666666666666666)","(19.0, 48.0, 29.230769230769234)","(12.0, 26.0, 19.684210526315788)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:06.471692,"(9.0, 19.0, 10.666666666666666)","(19.0, 48.0, 29.230769230769234)","(12.0, 26.0, 19.684210526315788)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:07.739021,"(9.0, 19.0, 10.666666666666666)","(19.0, 48.0, 29.230769230769234)","(12.0, 26.0, 19.684210526315788)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:08.982581,"(9.0, 19.0, 10.666666666666666)","(19.0, 48.0, 29.230769230769234)","(12.0, 26.0, 19.684210526315788)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:10.255915,"(9.0, 19.0, 10.666666666666666)","(19.0, 48.0, 29.230769230769234)","(12.0, 26.0, 19.684210526315788)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:11.499101,"(9.0, 19.0, 10.666666666666666)","(19.0, 48.0, 29.230769230769234)","(12.0, 26.0, 19.684210526315788)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:12.702811,"(9.0, 19.0, 10.666666666666666)","(19.0, 48.0, 29.230769230769234)","(12.0, 26.0, 19.684210526315788)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:13.868242,"(9.0, 19.0, 10.666666666666666)","(19.0, 48.0, 29.230769230769234)","(12.0, 26.0, 19.684210526315788)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:15.109620,"(9.0, 19.0, 10.666666666666666)","(19.0, 48.0, 29.230769230769234)","(12.0, 26.0, 19.684210526315788)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:16.358754,"(9.0, 19.0, 10.666666666666666)","(19.0, 48.0, 29.230769230769234)","(12.0, 26.0, 19.684210526315788)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:17.583252,"(9.0, 19.0, 10.666666666666666)","(19.0, 48.0, 29.230769230769234)","(12.0, 26.0, 19.684210526315788)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:18.767926,"(9.0, 19.0, 10.666666666666666)","(19.0, 48.0, 32.75)","(12.0, 26.0, 21.3125)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:19.957516,"(9.0, 19.0, 12.333333333333334)","(19.0, 48.0, 32.75)","(12.0, 26.0, 21.3125)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:21.204730,"(9.0, 19.0, 12.333333333333334)","(19.0, 48.0, 32.75)","(12.0, 26.0, 21.3125)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:22.476904,"(9.0, 19.0, 12.333333333333334)","(19.0, 48.0, 32.75)","(12.0, 26.0, 21.3125)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:23.735300,"(9.0, 19.0, 12.333333333333334)","(19.0, 48.0, 32.75)","(12.0, 26.0, 21.3125)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:24.909521,"(9.0, 19.0, 12.333333333333334)","(19.0, 50.0, 33.75)","(12.0, 28.0, 22.0)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:26.126379,"(9.0, 19.0, 12.333333333333334)","(19.0, 50.0, 33.75)","(12.0, 28.0, 22.0)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:27.380523,"(9.0, 19.0, 12.333333333333334)","(19.0, 50.0, 33.75)","(12.0, 28.0, 22.0)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:28.620605,"(9.0, 19.0, 12.333333333333334)","(19.0, 50.0, 33.75)","(12.0, 28.0, 22.0)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:29.868154,"(9.0, 19.0, 12.333333333333334)","(19.0, 50.0, 33.75)","(12.0, 28.0, 22.0)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:31.156748,"(9.0, 19.0, 12.333333333333334)","(19.0, 50.0, 33.75)","(12.0, 28.0, 22.0)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:32.409657,"(9.0, 19.0, 12.333333333333334)","(19.0, 50.0, 33.75)","(12.0, 28.0, 22.0)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:33.662789,"(9.0, 19.0, 12.333333333333334)","(19.0, 50.0, 33.75)","(12.0, 28.0, 22.0)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:34.900504,"(9.0, 19.0, 12.333333333333334)","(19.0, 50.0, 33.75)","(12.0, 28.0, 22.0)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:36.070863,"(9.0, 19.0, 12.333333333333334)","(19.0, 50.0, 33.75)","(12.0, 28.0, 22.0)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:37.309722,"(9.0, 19.0, 12.333333333333334)","(19.0, 50.0, 33.75)","(12.0, 28.0, 22.0)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:38.580102,"(9.0, 19.0, 12.333333333333334)","(19.0, 50.0, 33.75)","(12.0, 28.0, 22.0)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:39.800430,"(9.0, 19.0, 12.333333333333334)","(19.0, 50.0, 33.75)","(12.0, 28.0, 23.57142857142857)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:40.946208,"(9.0, 19.0, 12.333333333333334)","(19.0, 50.0, 30.0)","(12.0, 27.0, 23.57142857142857)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:42.052420,"(9.0, 19.0, 12.333333333333334)","(19.0, 50.0, 30.0)","(12.0, 27.0, 23.57142857142857)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:43.415095,"(9.0, 19.0, 12.333333333333334)","(19.0, 50.0, 30.0)","(12.0, 27.0, 23.57142857142857)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:44.741466,"(9.0, 19.0, 10.666666666666666)","(19.0, 50.0, 30.0)","(12.0, 27.0, 23.57142857142857)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:46.054225,"(9.0, 19.0, 10.666666666666666)","(19.0, 50.0, 30.0)","(12.0, 27.0, 23.57142857142857)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:47.480340,"(9.0, 19.0, 10.666666666666666)","(19.0, 50.0, 30.0)","(12.0, 27.0, 23.57142857142857)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:48.996582,"(9.0, 19.0, 10.666666666666666)","(19.0, 50.0, 30.0)","(12.0, 27.0, 23.57142857142857)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:50.424797,"(9.0, 19.0, 10.666666666666666)","(20.0, 50.0, 30.0)","(12.0, 27.0, 23.57142857142857)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:51.757068,"(9.0, 19.0, 10.666666666666666)","(20.0, 50.0, 30.0)","(12.0, 27.0, 23.57142857142857)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:53.120376,"(9.0, 19.0, 10.666666666666666)","(20.0, 50.0, 30.0)","(12.0, 27.0, 23.57142857142857)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:45:54.430746,"(9.0, 19.0, 10.666666666666666)","(20.0, 50.0, 30.0)","(12.0, 27.0, 23.57142857142857)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
