,Rippin Grace,Makuru,Sassy Blade,Fava Monelli,Jumpin Jules,Super Charge,Ash The Flash
07-01-2023 21:02:15.230451,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(26.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:16.327933,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(26.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:17.444712,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(26.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:18.418379,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(26.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:19.387910,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(26.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:20.345088,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(26.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:21.396547,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(26.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:22.507675,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(26.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:23.686315,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(26.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:24.819887,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(26.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:25.932553,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(26.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:26.990694,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(26.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:27.955696,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(26.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:28.927916,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(26.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:29.968095,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:31.099166,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:32.259569,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:33.434863,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:34.571031,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:35.663624,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:36.720724,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:37.765227,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:38.776756,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:39.806645,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:40.939387,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:42.147362,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:43.305696,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:44.437351,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:45.549872,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:46.622857,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:47.587417,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:48.648426,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:49.816507,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:50.916083,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:52.093383,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:53.219298,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:54.454457,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:55.810549,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:57.194373,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:58.233311,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:59.334271,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:03:00.377682,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:03:01.554414,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:03:02.663337,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:03:03.817739,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:03:04.933446,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:03:05.983932,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:03:07.034245,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:03:08.073959,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:03:09.215256,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:03:10.371274,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:03:11.567342,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:03:12.735170,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:03:13.848283,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:03:14.913773,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:03:15.982555,"(2.0, 2.2, 2.0)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.8825)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:03:17.099174,"(2.0, 2.2, 2.0)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.8825)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:03:18.191546,"(2.0, 2.2, 2.0)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.8825)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:03:19.325093,"(2.0, 2.2, 2.0)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.1, 2.6333333333333333)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:03:20.712964,"(2.0, 2.2, 2.0)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.1, 2.6333333333333333)","(21.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 165.0)"
07-01-2023 21:03:22.338892,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.1, 2.6333333333333333)","(26.0, 75.0, 66.75)","(7.0, 15.0, 8.76)","(31.0, 230.0, 215.0)"
07-01-2023 21:03:23.469442,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.1, 2.6333333333333333)","(26.0, 90.0, 87.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
07-01-2023 21:03:24.583172,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.1, 3.4)","(26.0, 90.0, 87.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
07-01-2023 21:03:25.767429,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.65, 3.527)","(26.0, 90.0, 87.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
07-01-2023 21:03:26.884753,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.65, 3.5553846153846154)","(26.0, 90.0, 87.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
07-01-2023 21:03:28.019820,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.65, 3.5553846153846154)","(26.0, 90.0, 87.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
07-01-2023 21:03:29.046701,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.65, 3.5553846153846154)","(26.0, 90.0, 87.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
07-01-2023 21:03:30.094506,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.65, 2.7857142857142856)","(26.0, 90.0, 108.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
07-01-2023 21:03:31.181594,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.65, 2.7857142857142856)","(26.0, 130.0, 87.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
07-01-2023 21:03:32.331795,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.65, 2.7857142857142856)","(26.0, 90.0, 87.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
07-01-2023 21:03:33.452980,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.65, 2.7857142857142856)","(26.0, 90.0, 87.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
07-01-2023 21:03:34.619927,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.65, 2.7857142857142856)","(26.0, 90.0, 87.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
07-01-2023 21:03:35.763862,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.65, 2.7857142857142856)","(26.0, 90.0, 87.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
07-01-2023 21:03:36.929070,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.65, 2.7857142857142856)","(26.0, 90.0, 87.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
07-01-2023 21:03:38.042560,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.65, 2.7857142857142856)","(26.0, 90.0, 87.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
07-01-2023 21:03:39.227028,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.65, 2.7857142857142856)","(26.0, 90.0, 87.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
07-01-2023 21:03:40.511714,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.65, 2.7857142857142856)","(26.0, 90.0, 87.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
07-01-2023 21:03:41.768225,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.65, 2.7857142857142856)","(26.0, 90.0, 87.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
07-01-2023 21:03:43.471923,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.65, 2.7857142857142856)","(26.0, 90.0, 87.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
07-01-2023 21:03:45.072683,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.65, 2.7857142857142856)","(26.0, 90.0, 87.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
07-01-2023 21:03:46.543205,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.65, 2.7857142857142856)","(26.0, 90.0, 87.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
07-01-2023 21:03:47.821200,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.65, 2.7857142857142856)","(26.0, 90.0, 87.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
07-01-2023 21:03:49.029209,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.65, 2.7857142857142856)","(26.0, 90.0, 87.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
07-01-2023 21:03:50.343186,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.65, 2.7857142857142856)","(26.0, 90.0, 87.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
07-01-2023 21:03:51.625049,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.65, 2.7857142857142856)","(26.0, 90.0, 87.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
07-01-2023 21:03:52.904361,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.65, 2.7857142857142856)","(26.0, 90.0, 87.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
07-01-2023 21:03:54.068019,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.65, 2.7857142857142856)","(26.0, 90.0, 87.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
07-01-2023 21:03:55.096921,"(2.0, 2.2, 2.0)","(11.0, 27.0, 25.727272727272727)","(81.0, 610.0, 522.5)","(2.0, 3.65, 2.7857142857142856)","(26.0, 90.0, 87.0)","(7.0, 15.0, 8.76)","(31.0, 330.0, 215.0)"
