,Magical Trav,Wheres The Ford,Two Jabs,Magical Len,Ferocity
08-01-2023 14:04:29.798181,"(10.0, 28.0, 21.866666666666667)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 21.666666666666664)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:30.678730,"(10.0, 28.0, 21.866666666666667)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 21.666666666666664)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:31.476746,"(10.0, 28.0, 21.866666666666667)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.933333333333334)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:32.426317,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 20.545454545454547)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:33.372945,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 20.545454545454547)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:34.197638,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 20.18181818181818)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:35.010933,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 20.18181818181818)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:35.941011,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 20.18181818181818)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:36.880039,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 20.18181818181818)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:37.757763,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 20.18181818181818)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:38.541145,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 20.18181818181818)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:39.375228,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 20.18181818181818)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:40.375493,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 20.18181818181818)","(1.45, 1.92, 1.9130434782608694)"
