,Alta Billy,Southbound Train Nz,Uncle Jay,Selsey Bill Nz,Our Money Rocks,Red Reactor Nz,Carlo Gambino Nz,Father Bob,Soho Sinatra,Blue Chip Delight Nz
07-01-2023 17:12:03.109118,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:04.382726,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:05.679206,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:06.927369,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:08.195591,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:09.498183,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:10.838179,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:12.155495,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:13.449333,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:14.741471,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:16.044536,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:17.288210,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:18.503087,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:19.742440,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:20.952881,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:22.223887,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:23.510836,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:24.813857,"(9.0, 16.0, 15.222222222222221)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:26.080770,"(9.0, 16.0, 15.222222222222221)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:27.378920,"(9.0, 16.0, 15.222222222222221)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:28.771962,"(9.0, 16.0, 15.222222222222221)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:30.061683,"(9.0, 16.0, 15.222222222222221)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:31.294084,"(9.0, 16.0, 15.222222222222221)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:32.511267,"(9.0, 16.0, 15.222222222222221)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:33.762502,"(9.0, 16.0, 15.222222222222221)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:35.051211,"(9.0, 16.0, 15.222222222222221)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
