,Two Bit Kid,Franco,Likeable,Torontotoro,Black Candy,My Buddy B
14-12-2022 12:13:19.108583,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:20.335322,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:21.475163,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:22.619837,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:23.661896,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:24.604504,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:25.586556,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:26.604351,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:27.703853,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:28.796132,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:29.992330,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:31.009158,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:31.963208,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:32.935374,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:33.944829,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:34.957887,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:36.054437,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:37.152446,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:38.197564,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:39.366512,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:40.472732,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:41.517183,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:42.760038,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:43.965731,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:45.358576,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:46.884358,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:48.133313,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:49.497400,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:50.538783,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:51.725852,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:52.699883,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:53.677219,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:54.606846,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:55.637266,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:56.852105,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:58.541090,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:59.657089,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:14:00.755295,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:14:01.881039,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:14:02.968123,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:14:04.004432,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:14:05.096877,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:14:06.185772,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:14:07.237019,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:14:08.239810,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:14:09.200303,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:14:10.075398,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:14:11.049752,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:14:11.982565,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:14:12.852156,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:14:13.768141,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:14:14.606408,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:14:15.499142,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:14:16.444147,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:14:17.369609,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:14:18.313493,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.57)"
14-12-2022 12:14:19.251698,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.78, 2.57)"
14-12-2022 12:14:20.187820,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.78, 2.519)"
14-12-2022 12:14:21.102005,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.74, 2.519)"
14-12-2022 12:14:21.946537,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.74, 2.519)"
14-12-2022 12:14:22.816153,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.74, 2.519)"
14-12-2022 12:14:23.697956,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.74, 2.519)"
14-12-2022 12:14:24.610556,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.74, 2.519)"
14-12-2022 12:14:25.490324,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.74, 2.5460000000000003)"
14-12-2022 12:14:26.373318,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.7, 2.5460000000000003)"
14-12-2022 12:14:27.252809,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.7, 2.5460000000000003)"
14-12-2022 12:14:28.120359,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.7, 2.5460000000000003)"
14-12-2022 12:14:28.974486,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.7, 2.5460000000000003)"
14-12-2022 12:14:29.820493,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.7, 2.5460000000000003)"
14-12-2022 12:14:30.690465,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.7, 2.5460000000000003)"
14-12-2022 12:14:31.555400,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.7, 2.5460000000000003)"
14-12-2022 12:14:32.497158,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.7, 2.5460000000000003)"
14-12-2022 12:14:33.402758,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.7, 2.5460000000000003)"
14-12-2022 12:14:34.360113,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.7, 2.5460000000000003)"
14-12-2022 12:14:35.494998,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.7, 2.5460000000000003)"
14-12-2022 12:14:36.849027,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.7, 2.4000000000000004)"
14-12-2022 12:14:37.934036,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.68, 2.52)"
14-12-2022 12:14:38.984942,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.68, 2.52)"
14-12-2022 12:14:40.037084,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.68, 2.52)"
14-12-2022 12:14:41.203618,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.68, 2.52)"
14-12-2022 12:14:42.301100,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.68, 2.52)"
14-12-2022 12:14:43.335893,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.68, 2.52)"
14-12-2022 12:14:44.337404,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.68, 2.52)"
14-12-2022 12:14:45.311120,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.68, 2.52)"
14-12-2022 12:14:46.247095,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.68, 2.52)"
14-12-2022 12:14:47.242740,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.68, 2.52)"
