,Claudys Secret,Southwind Chloe,Miss Avenger,Kyvalley Anthony,Grumpee,Romantic Nina
06-01-2023 16:38:05.052415,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:38:05.927440,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:38:06.910791,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:38:07.844524,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:38:08.799084,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:38:09.775825,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:38:10.719084,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:38:11.625949,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:38:12.543792,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 31.5)"
06-01-2023 16:38:13.495739,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.0, 9.04)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:14.526660,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.0, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:15.478510,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:16.419163,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:17.385735,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:18.438482,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:19.440881,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:20.395231,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:21.273720,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:22.233486,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:23.209398,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:24.117254,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:25.106756,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:26.060900,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:26.995751,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:28.053874,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:29.177698,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:30.170857,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:31.192371,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:32.172675,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:33.129246,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:34.119315,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:35.159019,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:36.278572,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:37.263114,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 42.0, 25.666666666666664)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
