,Game One,Stone Cold Blue,Set Sail,Lady Mcbeth,Flying Yumi,Tiger Vision,Flying Star
08-01-2023 17:29:03.563629,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:04.596390,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:05.645059,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:06.660941,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:07.705771,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:08.601459,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:09.514024,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:10.531874,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:11.522590,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:12.550186,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:13.588042,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:14.638639,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:15.683546,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:16.655286,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:17.628282,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:18.542126,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:19.458362,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:20.445980,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:21.433623,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:22.464671,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:23.490108,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:24.521415,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:25.527841,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:26.467563,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:27.380210,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:28.333975,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:29.276393,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:30.305949,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:31.331135,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:32.363281,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:33.407487,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:34.430873,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:35.421308,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:36.446352,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:37.409265,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:38.444848,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:39.375173,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:40.374786,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:41.280678,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:42.216618,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:43.176816,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:44.140601,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:45.181616,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:46.217002,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:47.231836,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:48.245371,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:49.258071,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:50.224095,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:51.238345,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:52.206979,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:53.193160,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:54.141071,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:55.158747,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:56.141427,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:57.181648,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:58.151022,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:59.146663,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:30:00.138386,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:30:01.156323,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:30:02.183903,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:30:03.194044,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:30:04.138501,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:30:05.113476,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:30:06.097516,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:30:07.145317,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:30:08.173534,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:30:09.182572,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:30:10.171425,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:30:11.138187,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:30:12.181653,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:30:13.210786,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:30:14.170237,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:30:15.163168,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:30:16.141934,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:30:17.153817,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:30:18.217018,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:30:19.216811,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:30:20.283969,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:30:21.277147,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
