,Taking A Toll,Zamboras Girl,Kouta Marjen,Dance Mode,Mr Larson,Long Way Home
12-01-2023 14:38:52.944092,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 13.96)","(5.0, 8.6, 6.338888888888889)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:54.039915,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 13.96)","(5.0, 8.6, 6.338888888888889)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:55.123194,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 13.96)","(5.0, 8.6, 6.338888888888889)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:56.099481,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 13.96)","(5.0, 8.6, 6.338888888888889)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:57.140445,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 13.96)","(5.0, 8.6, 6.338888888888889)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:58.212274,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.5625)","(5.0, 8.6, 6.338888888888889)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:59.219934,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.5625)","(5.0, 8.6, 6.338888888888889)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:00.176173,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.77)","(5.0, 8.6, 6.338888888888889)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:01.224224,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.08)","(5.0, 8.6, 6.338888888888889)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:02.288813,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.08)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:03.360523,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.08)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:04.346989,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.08)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:05.303358,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.08)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:06.418738,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.08)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:07.479436,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.08)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
