,Miss Sadie Lea,Smooth Jack,Purple Vixen,Super Kade,King Nito,Nations Rock,Be Blessed,Yindy Girl
10-01-2023 20:17:04.975700,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:05.970372,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:07.045514,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:08.189339,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:09.284269,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:10.361397,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:11.401755,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:12.421858,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:13.418381,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:14.468849,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:15.551546,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:16.691889,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:17.888338,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:19.005563,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:20.086451,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:21.152069,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:22.282293,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:23.377085,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:24.473633,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:25.565160,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:26.673425,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:27.775626,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:28.869986,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:29.940710,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:31.058309,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:32.136756,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:33.290709,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:34.395585,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:35.483971,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:36.559796,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:37.679510,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:38.831291,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:39.965017,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:41.118286,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:42.194727,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:43.235813,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:44.301200,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:45.286608,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:46.339545,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:47.490099,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:48.599427,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:49.685126,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:50.721032,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:51.781525,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:52.810059,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:53.897736,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:54.943029,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:56.084517,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:57.155292,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:58.257682,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:59.304565,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:18:00.389256,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:18:01.458186,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:18:02.475296,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:18:03.536703,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:18:04.645896,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:18:05.741761,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:18:06.783907,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:18:07.834570,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:18:08.857918,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:18:09.936876,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:18:11.020864,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:18:12.047118,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
