,Highway Man,Oodnadatta Man,Mayfair Ronnie,Akina Onyx,So Joe Mac,Waves Crashing,Thylacine
09-01-2023 16:07:57.381577,"(15.0, 90.0, 71.75)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:07:58.363905,"(15.0, 90.0, 71.75)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:07:59.372135,"(15.0, 90.0, 80.9375)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:08:00.504387,"(15.0, 90.0, 80.9375)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:08:01.484367,"(15.0, 90.0, 80.9375)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:08:02.522761,"(15.0, 90.0, 80.9375)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:08:03.540166,"(15.0, 90.0, 80.9375)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:08:04.648990,"(15.0, 90.0, 80.9375)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:08:05.665664,"(15.0, 90.0, 80.9375)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:08:06.592396,"(15.0, 90.0, 80.9375)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:08:07.600798,"(15.0, 90.0, 80.9375)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:08:08.643684,"(15.0, 90.0, 72.125)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:08:09.753916,"(15.0, 90.0, 72.125)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:08:10.794267,"(15.0, 90.0, 72.25)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:08:11.797244,"(15.0, 90.0, 72.25)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
