,Tolkowsky,Storm Attack,Drop The Pilot,Giveitallali,Heleva Deel,Harmony Nation,Lexis Choice,Kings Row,Inside Information,The Angels Kiss
05-01-2023 14:56:39.265741,"(2.0, 2.3, 2.2628571428571425)","(11.0, 19.0, 18.3)","(14.0, 15.5, 14.583333333333334)","(10.0, 18.0, 17.666666666666668)","(3.3, 3.6, 3.5666666666666664)","(31.0, 80.0, 53.75)","(13.0, 23.0, 21.153846153846153)","(26.0, 60.0, 54.666666666666664)","(26.0, 48.0, 47.55555555555556)","(71.0, 200.0, 165.0)"
05-01-2023 14:56:40.418848,"(2.0, 2.3, 2.2628571428571425)","(11.0, 19.0, 17.444444444444443)","(14.0, 15.5, 14.583333333333334)","(10.0, 18.0, 18.38888888888889)","(3.3, 3.6, 3.5666666666666664)","(31.0, 80.0, 68.8)","(13.0, 23.0, 21.153846153846153)","(26.0, 60.0, 54.666666666666664)","(26.0, 48.0, 47.55555555555556)","(71.0, 200.0, 165.0)"
05-01-2023 14:56:41.701475,"(2.0, 2.3, 2.2628571428571425)","(11.0, 19.0, 17.444444444444443)","(14.0, 15.5, 14.583333333333334)","(10.0, 19.5, 18.115384615384617)","(3.3, 3.6, 3.5666666666666664)","(31.0, 75.0, 68.8)","(13.0, 23.0, 21.153846153846153)","(26.0, 60.0, 54.666666666666664)","(26.0, 48.0, 47.55555555555556)","(71.0, 200.0, 165.0)"
05-01-2023 14:56:42.868588,"(2.0, 2.3, 2.2628571428571425)","(11.0, 19.0, 17.444444444444443)","(14.0, 15.5, 14.583333333333334)","(10.0, 19.5, 18.115384615384617)","(3.3, 3.6, 3.5666666666666664)","(31.0, 75.0, 68.8)","(13.0, 23.0, 21.153846153846153)","(26.0, 60.0, 54.666666666666664)","(26.0, 48.0, 47.55555555555556)","(71.0, 200.0, 165.0)"
05-01-2023 14:56:44.048890,"(2.0, 2.3, 2.2628571428571425)","(11.0, 19.0, 17.444444444444443)","(14.0, 15.5, 14.583333333333334)","(10.0, 19.5, 18.115384615384617)","(3.3, 3.6, 3.5666666666666664)","(31.0, 75.0, 68.8)","(13.0, 23.0, 21.153846153846153)","(26.0, 60.0, 54.666666666666664)","(26.0, 48.0, 47.55555555555556)","(71.0, 200.0, 165.0)"
05-01-2023 14:56:45.246465,"(2.0, 2.3, 2.2628571428571425)","(11.0, 19.0, 17.444444444444443)","(14.0, 15.5, 14.583333333333334)","(10.0, 19.5, 18.115384615384617)","(3.3, 3.6, 3.5666666666666664)","(31.0, 75.0, 68.8)","(13.0, 23.0, 21.153846153846153)","(26.0, 60.0, 54.666666666666664)","(26.0, 48.0, 47.55555555555556)","(71.0, 200.0, 165.0)"
05-01-2023 14:56:46.430013,"(2.0, 2.3, 2.272)","(11.0, 19.0, 17.444444444444443)","(14.0, 15.5, 14.125)","(10.0, 19.5, 18.15)","(3.3, 3.5, 3.466615384615385)","(31.0, 75.0, 69.83333333333334)","(13.0, 23.0, 21.22222222222222)","(26.0, 60.0, 55.42857142857143)","(26.0, 48.0, 55.07692307692308)","(71.0, 200.0, 165.0)"
05-01-2023 14:56:47.573209,"(2.0, 2.3, 2.297142857142857)","(11.0, 19.0, 17.727272727272727)","(14.0, 15.0, 14.583333333333334)","(10.0, 19.5, 18.15)","(3.3, 3.5, 3.466615384615385)","(31.0, 75.0, 57.0)","(13.0, 23.0, 21.22222222222222)","(26.0, 60.0, 55.42857142857143)","(26.0, 60.0, 53.0)","(71.0, 200.0, 165.0)"
05-01-2023 14:56:49.009154,"(2.0, 2.3, 2.297142857142857)","(11.0, 19.0, 17.727272727272727)","(14.0, 15.0, 14.55)","(10.0, 19.5, 18.15)","(3.3, 3.5, 3.4661993769470407)","(31.0, 70.0, 57.0)","(13.0, 23.0, 21.22222222222222)","(26.0, 60.0, 55.42857142857143)","(26.0, 60.0, 53.0)","(71.0, 200.0, 165.0)"
05-01-2023 14:56:50.311252,"(2.0, 2.3, 2.297142857142857)","(11.0, 19.0, 17.727272727272727)","(14.0, 15.0, 14.55)","(10.0, 19.5, 18.15)","(3.3, 3.5, 3.4633445945945946)","(31.0, 70.0, 57.0)","(13.0, 23.0, 21.22222222222222)","(26.0, 60.0, 57.45454545454545)","(26.0, 60.0, 51.833333333333336)","(71.0, 200.0, 165.0)"
05-01-2023 14:56:51.571274,"(2.0, 2.3, 2.297142857142857)","(11.0, 19.0, 17.727272727272727)","(14.0, 15.0, 14.55)","(10.0, 19.5, 18.15)","(3.3, 3.5, 3.4633445945945946)","(31.0, 70.0, 57.0)","(13.0, 23.0, 21.22222222222222)","(26.0, 60.0, 57.45454545454545)","(26.0, 60.0, 51.833333333333336)","(71.0, 200.0, 165.0)"
05-01-2023 14:56:52.773594,"(2.0, 2.3, 2.297142857142857)","(11.0, 19.0, 17.727272727272727)","(14.0, 15.0, 14.55)","(10.0, 19.5, 18.15)","(3.3, 3.5, 3.4633445945945946)","(31.0, 70.0, 57.0)","(13.0, 23.0, 21.22222222222222)","(26.0, 60.0, 57.45454545454545)","(26.0, 60.0, 51.833333333333336)","(71.0, 200.0, 165.0)"
05-01-2023 14:56:54.025285,"(2.0, 2.3, 2.297142857142857)","(11.0, 19.0, 17.727272727272727)","(14.0, 15.0, 14.55)","(10.0, 19.5, 18.3)","(3.3, 3.5, 3.4633445945945946)","(31.0, 70.0, 55.81818181818182)","(13.0, 23.0, 21.22222222222222)","(26.0, 60.0, 58.6)","(26.0, 60.0, 51.833333333333336)","(71.0, 200.0, 165.0)"
05-01-2023 14:56:55.208967,"(2.0, 2.3, 2.297142857142857)","(11.0, 19.0, 17.727272727272727)","(14.0, 15.0, 14.55)","(10.0, 19.5, 18.25)","(3.3, 3.5, 3.4633445945945946)","(31.0, 70.0, 56.90909090909091)","(13.0, 23.0, 21.22222222222222)","(26.0, 60.0, 58.6)","(26.0, 60.0, 51.833333333333336)","(71.0, 200.0, 165.0)"
05-01-2023 14:56:56.412762,"(2.0, 2.3, 2.297142857142857)","(11.0, 19.0, 17.727272727272727)","(14.0, 15.0, 14.55)","(10.0, 19.5, 18.3)","(3.3, 3.5, 3.4651125401929264)","(31.0, 70.0, 56.8)","(13.0, 23.0, 21.22222222222222)","(26.0, 60.0, 58.6)","(26.0, 60.0, 51.833333333333336)","(71.0, 200.0, 165.0)"
05-01-2023 14:56:57.694594,"(2.0, 2.3, 2.283076923076923)","(11.0, 19.0, 17.727272727272727)","(14.0, 15.0, 14.55)","(10.0, 19.5, 18.3)","(3.3, 3.5, 3.4651125401929264)","(31.0, 70.0, 56.8)","(13.0, 23.0, 21.22222222222222)","(26.0, 60.0, 58.6)","(26.0, 60.0, 51.833333333333336)","(71.0, 200.0, 165.0)"
05-01-2023 14:56:58.984980,"(2.0, 2.3, 2.283076923076923)","(11.0, 19.0, 17.727272727272727)","(14.0, 15.0, 14.55)","(10.0, 19.5, 18.5)","(3.3, 3.5, 3.4651125401929264)","(31.0, 70.0, 56.8)","(13.0, 23.0, 21.22222222222222)","(26.0, 60.0, 58.6)","(26.0, 60.0, 51.833333333333336)","(71.0, 200.0, 165.0)"
05-01-2023 14:57:00.176036,"(2.0, 2.3, 2.283076923076923)","(11.0, 19.0, 17.727272727272727)","(14.0, 15.0, 14.55)","(10.0, 19.0, 18.5)","(3.3, 3.5, 3.4651125401929264)","(31.0, 70.0, 65.6)","(13.0, 23.0, 21.22222222222222)","(26.0, 60.0, 58.6)","(26.0, 60.0, 53.46666666666667)","(71.0, 200.0, 165.0)"
05-01-2023 14:57:01.420072,"(2.0, 2.3, 2.283076923076923)","(11.0, 19.0, 18.333333333333332)","(14.0, 15.0, 14.55)","(10.0, 19.0, 18.357142857142858)","(3.3, 3.5, 3.4651125401929264)","(31.0, 65.0, 61.6)","(13.0, 23.0, 21.22222222222222)","(26.0, 60.0, 58.6)","(26.0, 60.0, 53.46666666666667)","(71.0, 200.0, 165.0)"
05-01-2023 14:57:02.656612,"(2.0, 2.3, 2.283076923076923)","(11.0, 19.0, 18.045454545454547)","(14.0, 15.0, 14.55)","(11.0, 19.0, 18.357142857142858)","(3.3, 3.5, 3.4651125401929264)","(31.0, 65.0, 61.6)","(13.0, 23.0, 21.22222222222222)","(26.0, 60.0, 58.6)","(26.0, 60.0, 53.46666666666667)","(71.0, 200.0, 165.0)"
05-01-2023 14:57:03.839189,"(2.0, 2.3, 2.2885714285714283)","(11.0, 19.0, 18.125)","(14.0, 15.0, 14.55)","(11.0, 19.0, 18.357142857142858)","(3.3, 3.5, 3.4651125401929264)","(31.0, 65.0, 61.6)","(13.0, 23.0, 22.0)","(26.0, 60.0, 63.111111111111114)","(26.0, 60.0, 53.875)","(71.0, 200.0, 165.0)"
05-01-2023 14:57:05.035997,"(2.0, 2.3, 2.297142857142857)","(11.0, 19.0, 18.125)","(14.0, 15.0, 14.55)","(11.0, 19.0, 18.357142857142858)","(3.3, 3.5, 3.465309446254072)","(31.0, 65.0, 61.6)","(13.0, 23.0, 22.0)","(26.0, 65.0, 60.36363636363636)","(26.0, 60.0, 51.833333333333336)","(71.0, 200.0, 165.0)"
05-01-2023 14:57:06.182582,"(2.0, 2.34, 2.3309090909090906)","(11.0, 19.0, 18.125)","(14.0, 15.0, 14.55)","(11.0, 19.0, 18.166666666666668)","(3.3, 3.45, 3.382857142857143)","(31.0, 65.0, 52.0)","(13.0, 23.0, 22.0)","(26.0, 65.0, 60.36363636363636)","(26.0, 60.0, 58.0)","(71.0, 200.0, 145.0)"
05-01-2023 14:57:07.339896,"(2.0, 2.38, 2.355238095238095)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.0, 14.55)","(11.0, 19.0, 18.423076923076923)","(3.3, 3.4, 3.382857142857143)","(31.0, 70.0, 60.57142857142857)","(13.0, 23.0, 22.0)","(26.0, 65.0, 60.36363636363636)","(26.0, 60.0, 58.0)","(71.0, 220.0, 145.0)"
05-01-2023 14:57:08.579329,"(2.0, 2.38, 2.3685714285714283)","(11.0, 19.0, 18.166666666666668)","(14.0, 14.5, 14.428571428571429)","(11.0, 19.0, 18.166666666666668)","(3.3, 3.4, 3.382857142857143)","(31.0, 70.0, 60.57142857142857)","(13.0, 23.0, 22.0)","(26.0, 65.0, 60.36363636363636)","(26.0, 60.0, 56.0)","(71.0, 220.0, 175.0)"
05-01-2023 14:57:09.762788,"(2.0, 2.38, 2.3685714285714283)","(11.0, 19.0, 18.166666666666668)","(14.0, 14.5, 14.428571428571429)","(11.0, 19.0, 18.0)","(3.3, 3.4, 3.326595744680851)","(31.0, 70.0, 60.57142857142857)","(13.0, 23.0, 22.0)","(26.0, 65.0, 60.36363636363636)","(26.0, 60.0, 56.0)","(71.0, 220.0, 175.0)"
05-01-2023 14:57:11.048250,"(2.0, 2.38, 2.3771428571428572)","(11.0, 19.0, 18.166666666666668)","(14.0, 14.5, 14.428571428571429)","(11.0, 19.0, 18.0)","(3.3, 3.35, 3.326595744680851)","(31.0, 70.0, 60.57142857142857)","(13.0, 23.0, 22.0)","(26.0, 65.0, 61.6)","(26.0, 60.0, 56.0)","(71.0, 220.0, 175.0)"
05-01-2023 14:57:12.244588,"(2.0, 2.38, 2.3771428571428572)","(11.0, 19.0, 18.166666666666668)","(14.0, 14.5, 14.428571428571429)","(11.0, 19.0, 18.0)","(3.3, 3.35, 3.326595744680851)","(31.0, 70.0, 60.57142857142857)","(13.0, 23.0, 22.0)","(26.0, 65.0, 61.6)","(26.0, 60.0, 56.0)","(71.0, 220.0, 175.0)"
05-01-2023 14:57:13.419085,"(2.0, 2.38, 2.3771428571428572)","(11.0, 19.0, 18.166666666666668)","(14.0, 14.5, 14.428571428571429)","(11.0, 19.0, 18.0)","(3.3, 3.35, 3.3271739130434783)","(31.0, 70.0, 61.0)","(13.0, 23.0, 22.0)","(26.0, 65.0, 61.6)","(26.0, 60.0, 56.0)","(71.0, 220.0, 175.0)"
05-01-2023 14:57:14.878997,"(2.0, 2.38, 2.3771428571428572)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.5, 14.133928571428571)","(11.0, 19.0, 18.0)","(3.3, 3.35, 3.3271739130434783)","(31.0, 70.0, 61.0)","(13.0, 23.0, 22.0)","(26.0, 65.0, 58.46153846153846)","(26.0, 60.0, 56.0)","(71.0, 220.0, 175.0)"
05-01-2023 14:57:16.095789,"(2.0, 2.38, 2.3771428571428572)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.5, 14.133928571428571)","(11.0, 19.0, 18.0)","(3.3, 3.35, 3.3271739130434783)","(31.0, 70.0, 61.0)","(13.0, 23.0, 22.0)","(26.0, 65.0, 54.375)","(26.0, 60.0, 56.0)","(71.0, 220.0, 175.0)"
05-01-2023 14:57:17.313106,"(2.0, 2.38, 2.3771428571428572)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.5, 14.714285714285714)","(11.0, 19.0, 18.0)","(3.3, 3.35, 3.3271739130434783)","(31.0, 70.0, 61.0)","(13.0, 23.0, 22.0)","(26.0, 65.0, 54.375)","(26.0, 60.0, 56.666666666666664)","(71.0, 220.0, 153.33333333333334)"
05-01-2023 14:57:18.500738,"(2.0, 2.38, 2.3771428571428572)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.0, 14.714285714285714)","(11.0, 19.0, 18.0)","(3.3, 3.35, 3.3271739130434783)","(31.0, 70.0, 61.0)","(13.0, 23.0, 22.0)","(26.0, 65.0, 54.375)","(26.0, 60.0, 56.666666666666664)","(71.0, 220.0, 153.33333333333334)"
05-01-2023 14:57:19.743150,"(2.0, 2.38, 2.3771428571428572)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.0, 14.714285714285714)","(11.0, 19.0, 18.0)","(3.3, 3.35, 3.2804347826086957)","(31.0, 70.0, 61.0)","(13.0, 23.0, 22.0)","(26.0, 65.0, 54.375)","(26.0, 60.0, 56.666666666666664)","(71.0, 220.0, 153.33333333333334)"
05-01-2023 14:57:20.890529,"(2.0, 2.46, 2.42)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.0, 14.714285714285714)","(11.0, 19.0, 18.0)","(3.3, 3.3, 3.2804347826086957)","(31.0, 70.0, 61.0)","(13.0, 23.0, 22.0)","(26.0, 65.0, 54.375)","(26.0, 60.0, 56.666666666666664)","(71.0, 220.0, 153.33333333333334)"
05-01-2023 14:57:22.296523,"(2.0, 2.46, 2.42)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.0, 14.714285714285714)","(11.0, 19.0, 18.0)","(3.3, 3.3, 3.276086956521739)","(31.0, 70.0, 61.0)","(13.0, 23.0, 22.0)","(26.0, 65.0, 53.666666666666664)","(26.0, 60.0, 56.666666666666664)","(71.0, 220.0, 153.33333333333334)"
05-01-2023 14:57:23.676965,"(2.0, 2.46, 2.42)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.0, 14.714285714285714)","(11.0, 19.0, 18.0)","(3.2, 3.3, 3.276086956521739)","(41.0, 70.0, 61.0)","(13.0, 23.0, 22.0)","(31.0, 65.0, 53.666666666666664)","(26.0, 60.0, 56.666666666666664)","(71.0, 220.0, 153.33333333333334)"
05-01-2023 14:57:25.093508,"(2.0, 2.46, 2.4327272727272726)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.0, 14.714285714285714)","(11.0, 19.0, 18.0)","(3.2, 3.3, 3.276086956521739)","(41.0, 70.0, 61.0)","(13.0, 23.0, 22.0)","(31.0, 65.0, 53.666666666666664)","(26.0, 60.0, 56.666666666666664)","(71.0, 220.0, 153.33333333333334)"
05-01-2023 14:57:26.439052,"(2.0, 2.44, 2.4246153846153846)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.0, 14.714285714285714)","(11.0, 19.0, 18.0)","(3.2, 3.3, 3.276086956521739)","(41.0, 70.0, 61.0)","(13.0, 23.0, 22.0)","(31.0, 65.0, 53.666666666666664)","(26.0, 60.0, 56.666666666666664)","(71.0, 220.0, 153.33333333333334)"
05-01-2023 14:57:27.848307,"(2.0, 2.46, 2.436923076923077)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.0, 14.714285714285714)","(11.0, 19.0, 18.0)","(3.2, 3.3, 3.276086956521739)","(41.0, 70.0, 61.0)","(13.0, 23.0, 22.0)","(31.0, 65.0, 53.666666666666664)","(26.0, 60.0, 56.666666666666664)","(71.0, 220.0, 153.33333333333334)"
05-01-2023 14:57:29.100528,"(2.0, 2.48, 2.45)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.0, 14.5)","(11.0, 19.0, 18.25)","(3.2, 3.3, 3.28125)","(41.0, 70.0, 61.0)","(13.0, 23.0, 22.0)","(31.0, 65.0, 53.666666666666664)","(26.0, 60.0, 56.666666666666664)","(71.0, 220.0, 153.33333333333334)"
05-01-2023 14:57:30.409512,"(2.0, 2.46, 2.44)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.0, 14.5)","(11.0, 19.0, 18.25)","(3.2, 3.3, 3.28125)","(41.0, 70.0, 61.0)","(13.0, 23.0, 22.0)","(31.0, 65.0, 53.666666666666664)","(26.0, 60.0, 56.666666666666664)","(71.0, 220.0, 153.33333333333334)"
05-01-2023 14:57:31.681536,"(2.0, 2.46, 2.434285714285714)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.0, 14.5)","(11.0, 19.0, 18.25)","(3.2, 3.3, 3.293181818181818)","(41.0, 70.0, 61.0)","(13.0, 23.0, 22.0)","(31.0, 65.0, 53.666666666666664)","(26.0, 60.0, 56.666666666666664)","(71.0, 220.0, 153.33333333333334)"
05-01-2023 14:57:32.870664,"(2.0, 2.44, 2.421818181818182)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.0, 14.5)","(11.0, 19.0, 18.25)","(3.2, 3.3, 3.293181818181818)","(41.0, 70.0, 61.0)","(13.0, 23.0, 22.0)","(31.0, 65.0, 53.666666666666664)","(26.0, 60.0, 56.666666666666664)","(71.0, 220.0, 153.33333333333334)"
05-01-2023 14:57:34.065216,"(2.0, 2.44, 2.4327272727272726)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.0, 14.714285714285714)","(11.0, 19.0, 18.25)","(3.2, 3.3, 3.1891666666666665)","(41.0, 70.0, 61.0)","(13.0, 23.0, 21.545454545454547)","(31.0, 65.0, 53.666666666666664)","(26.0, 60.0, 56.666666666666664)","(71.0, 230.0, 170.0)"
05-01-2023 14:57:35.285658,"(2.0, 2.46, 2.4327272727272726)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.0, 14.714285714285714)","(11.0, 19.0, 18.25)","(3.2, 3.25, 3.1891666666666665)","(41.0, 70.0, 61.0)","(13.0, 23.0, 20.75)","(31.0, 65.0, 53.666666666666664)","(26.0, 60.0, 56.666666666666664)","(71.0, 230.0, 170.0)"
05-01-2023 14:57:36.463812,"(2.0, 2.46, 2.44)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.0, 14.714285714285714)","(11.0, 19.0, 18.25)","(3.2, 3.25, 3.3333333333333335)","(41.0, 70.0, 61.0)","(13.0, 23.0, 20.75)","(31.0, 65.0, 53.666666666666664)","(26.0, 60.0, 56.666666666666664)","(71.0, 230.0, 170.0)"
05-01-2023 14:57:37.671171,"(2.0, 2.46, 2.44)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.0, 14.5)","(11.0, 19.0, 18.0)","(3.2, 3.35, 3.3333333333333335)","(41.0, 70.0, 61.0)","(13.0, 23.0, 20.75)","(31.0, 65.0, 53.666666666666664)","(26.0, 60.0, 56.666666666666664)","(71.0, 230.0, 170.0)"
05-01-2023 14:57:38.926601,"(2.0, 2.46, 2.4457142857142857)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.0, 14.5)","(11.0, 19.0, 18.0)","(3.2, 3.35, 3.3333333333333335)","(41.0, 70.0, 63.45454545454545)","(13.0, 23.0, 20.75)","(31.0, 65.0, 53.666666666666664)","(26.0, 60.0, 51.42857142857143)","(71.0, 220.0, 166.66666666666666)"
05-01-2023 14:57:40.150335,"(2.0, 2.46, 2.436923076923077)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.5, 14.133928571428571)","(11.0, 19.0, 18.0)","(3.2, 3.35, 3.3333333333333335)","(41.0, 70.0, 63.45454545454545)","(13.0, 23.0, 20.75)","(31.0, 65.0, 56.81818181818182)","(26.0, 60.0, 51.42857142857143)","(71.0, 220.0, 166.66666666666666)"
05-01-2023 14:57:41.422299,"(2.0, 2.46, 2.4299999999999997)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.5, 14.133928571428571)","(11.0, 19.0, 18.0)","(3.2, 3.35, 3.3333333333333335)","(41.0, 70.0, 59.714285714285715)","(13.0, 23.0, 20.75)","(31.0, 65.0, 58.57142857142857)","(26.0, 60.0, 51.42857142857143)","(71.0, 220.0, 166.66666666666666)"
05-01-2023 14:57:42.706900,"(2.0, 2.46, 2.4299999999999997)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.5, 14.14423076923077)","(11.0, 19.0, 18.0)","(3.2, 3.35, 3.3333333333333335)","(41.0, 70.0, 59.714285714285715)","(13.0, 23.0, 20.75)","(31.0, 65.0, 58.57142857142857)","(26.0, 60.0, 49.714285714285715)","(71.0, 220.0, 166.66666666666666)"
05-01-2023 14:57:43.894767,"(2.0, 2.46, 2.4299999999999997)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.5, 14.14423076923077)","(11.0, 19.0, 18.0)","(3.2, 3.35, 3.3333333333333335)","(41.0, 70.0, 59.714285714285715)","(14.0, 23.0, 20.75)","(31.0, 65.0, 58.07692307692308)","(26.0, 60.0, 49.714285714285715)","(71.0, 220.0, 166.66666666666666)"
05-01-2023 14:57:45.099318,"(2.0, 2.46, 2.4299999999999997)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.5, 14.14423076923077)","(11.0, 19.0, 18.0)","(3.2, 3.35, 3.3333333333333335)","(41.0, 70.0, 59.714285714285715)","(14.0, 23.0, 20.75)","(31.0, 65.0, 53.0)","(26.0, 60.0, 51.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:57:46.398565,"(2.0, 2.46, 2.4299999999999997)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.5, 14.14423076923077)","(11.0, 19.0, 18.0)","(3.2, 3.35, 3.3333333333333335)","(41.0, 70.0, 59.714285714285715)","(14.0, 23.0, 21.2)","(31.0, 60.0, 53.0)","(26.0, 55.0, 50.333333333333336)","(71.0, 220.0, 150.0)"
05-01-2023 14:57:47.608284,"(2.0, 2.44, 2.4246153846153846)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.5, 14.765625)","(11.0, 19.0, 18.0)","(3.2, 3.4, 3.353846153846154)","(41.0, 70.0, 64.0)","(14.0, 23.0, 21.2)","(31.0, 60.0, 53.0)","(26.0, 55.0, 51.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:57:48.876498,"(2.0, 2.44, 2.4246153846153846)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.5, 14.765625)","(11.0, 19.0, 18.0)","(3.2, 3.4, 3.353846153846154)","(41.0, 70.0, 64.0)","(14.0, 23.0, 22.6)","(31.0, 60.0, 53.0)","(26.0, 55.0, 51.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:57:50.167706,"(2.0, 2.46, 2.437777777777778)","(11.0, 19.0, 18.166666666666668)","(14.0, 15.5, 14.765625)","(11.0, 19.0, 18.0)","(3.2, 3.25, 3.2261904761904763)","(41.0, 80.0, 73.81818181818181)","(14.0, 23.0, 22.75)","(31.0, 60.0, 53.0)","(26.0, 55.0, 54.0)","(71.0, 220.0, 150.0)"
