,Im Harvey Specter Nz,Crime Time,Dust To Diamonds,Billy Glanvill,Miami Surf,Ellas Reason,Bundle Of Notes,Guy Looks Good,Jimmy Beach,Weman Macha
06-01-2023 14:02:44.411701,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 15.0, 13.440000000000001)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:02:45.996735,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 15.0, 13.440000000000001)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:02:47.357395,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 15.0, 13.440000000000001)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:02:48.749854,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 15.0, 13.440000000000001)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:02:50.181268,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 15.0, 13.440000000000001)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:02:51.661888,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 15.0, 13.440000000000001)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:02:53.024452,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 15.0, 13.440000000000001)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:02:54.325349,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 15.0, 13.440000000000001)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:02:55.612135,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 15.0, 13.440000000000001)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:02:56.924946,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 15.0, 13.440000000000001)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:02:58.212439,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 15.0, 13.440000000000001)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:02:59.490400,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 15.0, 13.733333333333334)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:03:00.686552,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 17.0, 13.733333333333334)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:03:02.011751,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 17.0, 11.95)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:03:03.256299,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:03:04.742845,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:03:06.159737,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.911111111111111)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:03:07.527330,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.911111111111111)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:03:09.057439,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.911111111111111)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:03:10.499425,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.911111111111111)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:03:11.999794,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.911111111111111)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:03:13.255478,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.911111111111111)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:03:14.517925,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.911111111111111)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:03:15.738323,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.911111111111111)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:03:17.081005,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.911111111111111)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:03:18.412403,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.911111111111111)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:03:19.791069,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.911111111111111)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:03:21.145084,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.911111111111111)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:03:22.469087,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.911111111111111)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:03:23.745557,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.911111111111111)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:03:25.041095,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.911111111111111)","(2.45, 3.65, 3.134)"
06-01-2023 14:03:26.314455,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.911111111111111)","(2.45, 3.65, 3.134)"
06-01-2023 14:03:27.680207,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.911111111111111)","(2.45, 3.65, 3.134)"
06-01-2023 14:03:29.014278,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.911111111111111)","(2.45, 3.65, 3.134)"
06-01-2023 14:03:30.330325,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.24)","(2.45, 3.65, 3.134)"
06-01-2023 14:03:31.608556,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.24)","(2.45, 3.65, 3.134)"
06-01-2023 14:03:32.905859,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 5.9, 5.541666666666667)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.24)","(2.45, 3.65, 3.134)"
06-01-2023 14:03:34.286174,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 5.8, 5.2142857142857135)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.24)","(2.45, 3.65, 3.134)"
06-01-2023 14:03:35.604264,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 5.7, 5.375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.24)","(2.45, 3.65, 3.134)"
06-01-2023 14:03:36.890544,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 5.6, 5.071428571428571)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.24)","(2.45, 3.65, 3.134)"
06-01-2023 14:03:38.159223,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 5.6, 5.071428571428571)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.24)","(2.45, 3.65, 3.134)"
06-01-2023 14:03:39.466109,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.625)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.24)","(2.45, 3.65, 3.134)"
06-01-2023 14:03:40.759538,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 5.9, 5.2857142857142865)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.24)","(2.45, 3.65, 3.134)"
06-01-2023 14:03:42.028711,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 5.8, 5.458333333333333)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 185.2)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.24)","(2.45, 3.65, 3.134)"
06-01-2023 14:03:43.412900,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 5.8, 5.142857142857142)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 185.2)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 7.24)","(2.45, 3.65, 3.13)"
06-01-2023 14:03:44.766319,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 5.7, 5.791666666666667)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 185.2)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 11.95)","(4.8, 8.8, 6.2)","(2.45, 3.9, 3.13)"
06-01-2023 14:03:46.085598,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.2, 5.541666666666667)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 185.2)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 9.22)","(4.8, 8.8, 6.2)","(2.45, 3.9, 3.13)"
06-01-2023 14:03:47.379167,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 5.9, 5.541666666666667)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 137.5)","(51.0, 220.0, 185.2)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 9.22)","(4.8, 8.8, 6.2)","(2.45, 3.9, 3.13)"
06-01-2023 14:03:48.681352,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 5.9, 5.2142857142857135)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 137.5)","(51.0, 220.0, 185.2)","(5.0, 7.4, 6.957894736842105)","(7.0, 16.5, 10.266666666666667)","(4.8, 8.8, 6.2)","(2.45, 3.9, 3.13)"
06-01-2023 14:03:50.069953,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 5.8, 5.375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 137.5)","(51.0, 220.0, 185.2)","(5.0, 7.4, 6.28)","(7.0, 16.0, 10.266666666666667)","(4.8, 8.8, 6.2)","(2.45, 3.9, 3.13)"
06-01-2023 14:03:51.347951,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 5.7, 5.375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 137.5)","(51.0, 220.0, 185.2)","(5.0, 7.4, 6.0)","(7.0, 16.0, 10.266666666666667)","(4.8, 8.8, 6.2)","(2.45, 3.9, 3.13)"
06-01-2023 14:03:52.679113,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 5.7, 5.208333333333334)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 141.11111111111111)","(51.0, 220.0, 185.2)","(5.0, 7.4, 6.36)","(7.0, 16.0, 10.266666666666667)","(4.8, 8.8, 6.2)","(2.45, 3.9, 3.13)"
06-01-2023 14:03:54.008144,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 5.5, 5.208333333333334)","(101.0, 220.0, 191.42857142857144)","(71.0, 210.0, 158.57142857142858)","(51.0, 220.0, 185.2)","(5.0, 7.2, 6.36)","(7.0, 16.0, 10.266666666666667)","(4.8, 8.8, 6.2)","(2.45, 3.9, 3.13)"
06-01-2023 14:03:55.291984,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 5.5, 5.041666666666666)","(101.0, 220.0, 191.42857142857144)","(71.0, 200.0, 158.57142857142858)","(51.0, 220.0, 185.2)","(5.0, 7.2, 6.36)","(7.0, 16.0, 10.266666666666667)","(4.8, 8.8, 7.12)","(2.45, 3.9, 3.13)"
