,Mocial Chief,Bombasay,Daunting Queen,Age Of Innocence,Svindal,Starsonic,Bering Sea,Spirit Esprit,Tri Nations
10-01-2023 16:28:15.871634,"(2.45, 2.84, 2.792)","(6.0, 8.0, 7.962962962962963)","(31.0, 85.0, 80.71428571428572)","(2.5, 3.2, 3.151724137931035)","(71.0, 110.0, 100.625)","(8.5, 12.5, 12.166666666666666)","(15.0, 38.0, 34.0)","(21.0, 40.0, 39.4)","(21.0, 34.0, 29.5)"
10-01-2023 16:28:17.452438,"(2.45, 2.84, 2.792)","(6.0, 8.0, 7.962962962962963)","(31.0, 85.0, 80.71428571428572)","(2.5, 3.2, 3.151724137931035)","(71.0, 110.0, 100.625)","(8.5, 12.5, 12.166666666666666)","(15.0, 38.0, 33.8)","(21.0, 40.0, 39.4)","(21.0, 34.0, 29.5)"
10-01-2023 16:28:19.001395,"(2.45, 2.84, 2.8036363636363633)","(6.0, 8.0, 7.972972972972973)","(31.0, 85.0, 80.71428571428572)","(2.5, 3.2, 3.151724137931035)","(71.0, 110.0, 100.625)","(8.5, 12.5, 12.166666666666666)","(15.0, 38.0, 33.8)","(21.0, 40.0, 39.4)","(21.0, 34.0, 31.714285714285715)"
10-01-2023 16:28:20.640795,"(2.45, 2.82, 2.79)","(6.0, 8.0, 7.972972972972973)","(31.0, 85.0, 80.71428571428572)","(2.5, 3.2, 3.151724137931035)","(71.0, 110.0, 100.625)","(8.5, 12.5, 12.166666666666666)","(15.0, 38.0, 34.0)","(21.0, 40.0, 39.4)","(21.0, 34.0, 31.714285714285715)"
10-01-2023 16:28:22.361920,"(2.45, 2.82, 2.79)","(6.0, 8.0, 7.972972972972973)","(31.0, 85.0, 80.71428571428572)","(2.5, 3.2, 3.151724137931035)","(71.0, 110.0, 100.625)","(8.5, 12.5, 12.166666666666666)","(15.0, 38.0, 34.888888888888886)","(21.0, 40.0, 39.4)","(21.0, 34.0, 31.714285714285715)"
10-01-2023 16:28:23.956845,"(2.45, 2.82, 2.79)","(6.0, 8.0, 7.972972972972973)","(31.0, 85.0, 80.71428571428572)","(2.5, 3.2, 3.151724137931035)","(71.0, 110.0, 100.625)","(8.5, 12.5, 12.3125)","(15.0, 38.0, 34.888888888888886)","(21.0, 40.0, 39.4)","(21.0, 34.0, 31.714285714285715)"
10-01-2023 16:28:25.461913,"(2.45, 2.82, 2.79)","(6.0, 8.0, 7.972972972972973)","(31.0, 85.0, 80.71428571428572)","(2.5, 3.2, 3.151724137931035)","(71.0, 110.0, 100.625)","(8.5, 12.5, 12.3125)","(15.0, 38.0, 34.888888888888886)","(21.0, 40.0, 39.4)","(21.0, 34.0, 31.714285714285715)"
10-01-2023 16:28:26.912856,"(2.45, 2.82, 2.79)","(6.0, 8.0, 7.972972972972973)","(31.0, 85.0, 80.71428571428572)","(2.5, 3.2, 3.151724137931035)","(71.0, 110.0, 100.625)","(8.5, 12.5, 12.3125)","(15.0, 38.0, 34.888888888888886)","(21.0, 40.0, 39.4)","(21.0, 34.0, 31.714285714285715)"
10-01-2023 16:28:28.400938,"(2.45, 2.82, 2.79)","(6.0, 8.0, 7.972972972972973)","(31.0, 85.0, 80.71428571428572)","(2.5, 3.2, 3.151724137931035)","(71.0, 110.0, 100.625)","(8.5, 12.5, 12.3125)","(15.0, 38.0, 34.888888888888886)","(21.0, 40.0, 39.4)","(21.0, 34.0, 31.714285714285715)"
10-01-2023 16:28:29.800729,"(2.45, 2.82, 2.79)","(6.0, 8.0, 7.972972972972973)","(31.0, 85.0, 80.71428571428572)","(2.5, 3.2, 3.151724137931035)","(71.0, 110.0, 100.625)","(8.5, 12.5, 12.3125)","(15.0, 38.0, 34.888888888888886)","(21.0, 40.0, 39.4)","(21.0, 34.0, 31.714285714285715)"
10-01-2023 16:28:31.206915,"(2.45, 2.82, 2.79)","(6.0, 8.0, 7.972972972972973)","(31.0, 85.0, 80.71428571428572)","(2.5, 3.2, 3.151724137931035)","(71.0, 110.0, 100.625)","(8.5, 12.5, 12.3125)","(15.0, 38.0, 34.888888888888886)","(21.0, 40.0, 39.4)","(21.0, 34.0, 31.714285714285715)"
10-01-2023 16:28:32.591540,"(2.45, 2.82, 2.79)","(6.0, 8.0, 8.333333333333334)","(31.0, 85.0, 49.857142857142854)","(2.5, 3.2, 3.151724137931035)","(71.0, 110.0, 80.83333333333333)","(8.5, 12.5, 12.384615384615385)","(15.0, 38.0, 34.888888888888886)","(21.0, 40.0, 36.666666666666664)","(21.0, 34.0, 31.714285714285715)"
10-01-2023 16:28:34.051796,"(2.45, 2.82, 2.8)","(6.0, 8.4, 8.333333333333334)","(31.0, 85.0, 49.857142857142854)","(2.5, 3.2, 3.151724137931035)","(71.0, 110.0, 80.83333333333333)","(8.5, 13.0, 12.555555555555555)","(15.0, 38.0, 36.285714285714285)","(21.0, 40.0, 38.166666666666664)","(21.0, 34.0, 30.5)"
10-01-2023 16:28:35.579139,"(2.45, 2.82, 2.8)","(6.0, 8.4, 8.333333333333334)","(31.0, 85.0, 49.857142857142854)","(2.5, 3.2, 3.151724137931035)","(71.0, 110.0, 80.83333333333333)","(8.5, 13.0, 13.083333333333334)","(15.0, 38.0, 36.285714285714285)","(21.0, 40.0, 38.166666666666664)","(21.0, 34.0, 30.5)"
10-01-2023 16:28:36.961698,"(2.45, 2.82, 2.79)","(6.0, 8.4, 8.333333333333334)","(31.0, 85.0, 49.857142857142854)","(2.5, 3.2, 3.151724137931035)","(71.0, 110.0, 80.83333333333333)","(8.5, 13.5, 13.115384615384615)","(15.0, 38.0, 36.285714285714285)","(21.0, 40.0, 38.166666666666664)","(21.0, 34.0, 30.5)"
10-01-2023 16:28:38.500656,"(2.45, 2.82, 2.7763636363636364)","(6.0, 8.4, 8.304)","(31.0, 85.0, 49.857142857142854)","(2.5, 3.2, 3.142857142857143)","(71.0, 110.0, 83.33333333333333)","(8.5, 13.5, 13.115384615384615)","(15.0, 38.0, 36.285714285714285)","(21.0, 40.0, 38.166666666666664)","(21.0, 34.0, 35.666666666666664)"
10-01-2023 16:28:39.962488,"(2.45, 2.82, 2.7763636363636364)","(6.0, 8.4, 8.304)","(31.0, 85.0, 49.857142857142854)","(2.5, 3.15, 3.142857142857143)","(71.0, 100.0, 83.33333333333333)","(8.5, 13.5, 12.666666666666666)","(15.0, 38.0, 38.75)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 37.6)"
10-01-2023 16:28:41.491256,"(2.45, 2.82, 2.7763636363636364)","(6.0, 8.4, 8.304)","(31.0, 85.0, 64.5)","(2.5, 3.15, 3.142857142857143)","(71.0, 100.0, 83.33333333333333)","(8.5, 13.5, 12.61111111111111)","(15.0, 40.0, 38.75)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 37.6)"
10-01-2023 16:28:42.884241,"(2.45, 2.82, 2.7618181818181817)","(6.0, 8.4, 8.1)","(31.0, 85.0, 64.5)","(2.5, 3.15, 3.142857142857143)","(71.0, 100.0, 83.33333333333333)","(8.5, 13.5, 12.61111111111111)","(15.0, 40.0, 38.75)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 37.6)"
10-01-2023 16:28:44.271099,"(2.45, 2.82, 2.7618181818181817)","(6.0, 8.2, 8.1)","(31.0, 85.0, 64.5)","(2.5, 3.15, 3.151724137931035)","(71.0, 100.0, 83.33333333333333)","(8.5, 13.5, 12.61111111111111)","(15.0, 40.0, 39.16666666666667)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 37.6)"
10-01-2023 16:28:45.631334,"(2.45, 2.82, 2.7823529411764705)","(6.0, 8.2, 8.19375)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.151724137931035)","(71.0, 100.0, 78.125)","(8.5, 13.5, 12.61111111111111)","(15.0, 40.0, 39.16666666666667)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 34.857142857142854)"
10-01-2023 16:28:47.016663,"(2.45, 2.82, 2.7823529411764705)","(6.0, 8.4, 8.19375)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.151724137931035)","(71.0, 100.0, 78.125)","(8.5, 13.5, 12.738095238095237)","(15.0, 40.0, 39.16666666666667)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 36.333333333333336)"
10-01-2023 16:28:48.405457,"(2.45, 2.82, 2.788)","(6.0, 8.4, 8.19375)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.151724137931035)","(71.0, 100.0, 78.125)","(8.5, 13.5, 12.738095238095237)","(15.0, 40.0, 39.16666666666667)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 36.333333333333336)"
10-01-2023 16:28:50.029671,"(2.45, 2.82, 2.788)","(6.0, 8.4, 8.216666666666667)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.151724137931035)","(71.0, 100.0, 78.125)","(8.5, 13.5, 12.738095238095237)","(15.0, 40.0, 39.16666666666667)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 37.25)"
10-01-2023 16:28:51.601357,"(2.45, 2.82, 2.788)","(6.0, 8.4, 8.216666666666667)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.151724137931035)","(71.0, 100.0, 78.125)","(8.5, 13.5, 12.738095238095237)","(15.0, 40.0, 39.16666666666667)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 37.25)"
10-01-2023 16:28:53.001402,"(2.45, 2.82, 2.8)","(6.0, 8.4, 8.317241379310346)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.151724137931035)","(71.0, 100.0, 78.125)","(8.5, 13.5, 12.738095238095237)","(15.0, 40.0, 38.0)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 37.25)"
10-01-2023 16:28:54.267430,"(2.45, 2.82, 2.8)","(6.0, 8.4, 8.317241379310346)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.151724137931035)","(71.0, 100.0, 78.125)","(8.5, 13.5, 12.738095238095237)","(15.0, 40.0, 38.0)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 37.25)"
10-01-2023 16:28:55.620730,"(2.45, 2.82, 2.8)","(6.0, 8.4, 8.317241379310346)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.151724137931035)","(71.0, 100.0, 78.125)","(8.5, 13.5, 12.738095238095237)","(15.0, 40.0, 38.0)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 37.25)"
10-01-2023 16:28:57.060448,"(2.45, 2.82, 2.8)","(6.0, 8.4, 8.317241379310346)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.151724137931035)","(71.0, 100.0, 83.33333333333333)","(8.5, 13.5, 11.810344827586206)","(15.0, 40.0, 38.0)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 37.25)"
10-01-2023 16:28:58.573741,"(2.45, 2.82, 2.8)","(6.0, 8.4, 8.317241379310346)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.151724137931035)","(71.0, 100.0, 83.33333333333333)","(8.5, 12.5, 11.810344827586206)","(15.0, 40.0, 38.0)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 37.25)"
10-01-2023 16:29:00.099568,"(2.45, 2.82, 2.8)","(6.0, 8.4, 8.317241379310346)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.151724137931035)","(71.0, 100.0, 83.33333333333333)","(8.5, 12.5, 11.810344827586206)","(15.0, 40.0, 37.333333333333336)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 38.9)"
10-01-2023 16:29:01.576376,"(2.45, 2.82, 2.8)","(6.0, 8.4, 8.317241379310346)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.151724137931035)","(71.0, 100.0, 83.33333333333333)","(8.5, 12.5, 11.810344827586206)","(15.0, 40.0, 37.333333333333336)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 38.9)"
10-01-2023 16:29:03.037137,"(2.45, 2.82, 2.8)","(6.0, 8.4, 8.317241379310346)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.151724137931035)","(71.0, 100.0, 83.33333333333333)","(8.5, 12.5, 11.810344827586206)","(15.0, 40.0, 37.333333333333336)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 38.9)"
10-01-2023 16:29:04.447654,"(2.45, 2.82, 2.8)","(6.0, 8.4, 8.34)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.151724137931035)","(71.0, 100.0, 83.33333333333333)","(8.5, 12.5, 11.810344827586206)","(15.0, 40.0, 37.333333333333336)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 38.9)"
10-01-2023 16:29:05.858065,"(2.45, 2.82, 2.8)","(6.0, 8.4, 8.34)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.151724137931035)","(71.0, 100.0, 83.33333333333333)","(8.5, 12.5, 11.810344827586206)","(15.0, 40.0, 37.333333333333336)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 35.0)"
10-01-2023 16:29:07.122873,"(2.45, 2.82, 2.8)","(6.0, 8.4, 8.34)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.151724137931035)","(71.0, 100.0, 92.85714285714286)","(8.5, 12.5, 11.772727272727273)","(15.0, 40.0, 37.333333333333336)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 35.0)"
10-01-2023 16:29:08.383204,"(2.45, 2.82, 2.788)","(6.0, 8.4, 8.34)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.151724137931035)","(71.0, 100.0, 92.85714285714286)","(8.5, 12.0, 11.772727272727273)","(15.0, 40.0, 37.333333333333336)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 35.0)"
10-01-2023 16:29:09.640007,"(2.45, 2.82, 2.8)","(6.0, 8.4, 8.34)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.151724137931035)","(71.0, 100.0, 92.85714285714286)","(8.5, 12.0, 11.772727272727273)","(15.0, 40.0, 35.0)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 37.5)"
10-01-2023 16:29:10.949390,"(2.45, 2.82, 2.8)","(6.0, 8.4, 8.45)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.1612244897959183)","(71.0, 100.0, 92.85714285714286)","(8.5, 12.0, 11.772727272727273)","(15.0, 40.0, 34.8)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 38.888888888888886)"
10-01-2023 16:29:12.420004,"(2.45, 2.82, 2.7905263157894735)","(6.0, 8.6, 8.45)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.1612244897959183)","(71.0, 100.0, 92.85714285714286)","(8.5, 12.0, 11.821428571428571)","(15.0, 40.0, 31.333333333333332)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 38.888888888888886)"
10-01-2023 16:29:13.857072,"(2.45, 2.8, 2.782857142857143)","(6.0, 8.6, 8.48)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.1612244897959183)","(71.0, 100.0, 92.85714285714286)","(8.5, 12.0, 11.772727272727273)","(15.0, 40.0, 31.333333333333332)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 38.888888888888886)"
10-01-2023 16:29:15.215364,"(2.45, 2.8, 2.7688888888888887)","(6.0, 8.6, 8.48)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.1634615384615388)","(71.0, 100.0, 92.85714285714286)","(8.5, 12.0, 11.772727272727273)","(15.0, 40.0, 31.333333333333332)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 38.888888888888886)"
10-01-2023 16:29:16.498395,"(2.45, 2.8, 2.7688888888888887)","(6.0, 8.6, 8.48)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.1634615384615388)","(71.0, 100.0, 92.85714285714286)","(8.5, 12.0, 11.772727272727273)","(15.0, 40.0, 31.333333333333332)","(21.0, 40.0, 38.166666666666664)","(21.0, 40.0, 38.888888888888886)"
10-01-2023 16:29:17.795955,"(2.45, 2.8, 2.7688888888888887)","(6.0, 8.6, 8.48)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.173611111111111)","(71.0, 100.0, 92.85714285714286)","(8.5, 12.0, 11.821428571428571)","(15.0, 40.0, 31.333333333333332)","(21.0, 40.0, 36.666666666666664)","(21.0, 40.0, 38.857142857142854)"
10-01-2023 16:29:19.243157,"(2.45, 2.8, 2.7333333333333334)","(6.0, 8.8, 8.338461538461537)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.173611111111111)","(71.0, 100.0, 92.85714285714286)","(8.5, 12.0, 11.821428571428571)","(15.0, 40.0, 31.333333333333332)","(21.0, 40.0, 36.666666666666664)","(21.0, 40.0, 38.857142857142854)"
10-01-2023 16:29:20.665117,"(2.45, 2.72, 2.712)","(6.0, 8.8, 8.5)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.173611111111111)","(71.0, 100.0, 92.85714285714286)","(8.5, 12.0, 11.676470588235293)","(15.0, 40.0, 31.333333333333332)","(21.0, 40.0, 36.666666666666664)","(21.0, 40.0, 38.857142857142854)"
10-01-2023 16:29:22.059588,"(2.45, 2.72, 2.712)","(6.0, 9.0, 8.619047619047619)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.173611111111111)","(71.0, 100.0, 92.85714285714286)","(8.5, 12.5, 11.676470588235293)","(15.0, 40.0, 31.333333333333332)","(21.0, 40.0, 36.666666666666664)","(21.0, 40.0, 38.857142857142854)"
10-01-2023 16:29:23.395403,"(2.45, 2.72, 2.712)","(6.0, 9.0, 8.566666666666666)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.173611111111111)","(71.0, 100.0, 92.85714285714286)","(8.5, 12.5, 11.676470588235293)","(15.0, 40.0, 32.5)","(21.0, 40.0, 36.666666666666664)","(21.0, 40.0, 38.857142857142854)"
10-01-2023 16:29:24.711075,"(2.45, 2.72, 2.716923076923077)","(6.0, 9.0, 8.566666666666666)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.173611111111111)","(71.0, 100.0, 92.85714285714286)","(8.5, 12.5, 11.676470588235293)","(15.0, 38.0, 29.357142857142858)","(21.0, 40.0, 36.666666666666664)","(21.0, 40.0, 38.857142857142854)"
10-01-2023 16:29:26.012066,"(2.45, 2.72, 2.716923076923077)","(6.0, 9.0, 8.525925925925925)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.173611111111111)","(71.0, 100.0, 92.85714285714286)","(8.5, 12.5, 11.676470588235293)","(15.0, 38.0, 29.357142857142858)","(21.0, 40.0, 36.666666666666664)","(21.0, 40.0, 38.8)"
10-01-2023 16:29:27.334177,"(2.45, 2.72, 2.716923076923077)","(6.0, 9.0, 8.525925925925925)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.173611111111111)","(71.0, 100.0, 92.85714285714286)","(8.5, 12.5, 11.676470588235293)","(15.0, 38.0, 31.5)","(21.0, 40.0, 36.666666666666664)","(21.0, 42.0, 38.8)"
10-01-2023 16:29:28.606521,"(2.45, 2.72, 2.716923076923077)","(6.0, 9.0, 8.525925925925925)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.164814814814815)","(71.0, 100.0, 92.85714285714286)","(8.5, 12.5, 11.676470588235293)","(15.0, 36.0, 31.5)","(21.0, 40.0, 36.666666666666664)","(21.0, 42.0, 38.8)"
10-01-2023 16:29:29.878643,"(2.45, 2.72, 2.716923076923077)","(6.0, 9.0, 8.525925925925925)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.164814814814815)","(71.0, 100.0, 92.85714285714286)","(8.5, 12.5, 11.676470588235293)","(15.0, 36.0, 30.0)","(21.0, 40.0, 36.666666666666664)","(21.0, 42.0, 38.8)"
10-01-2023 16:29:31.179961,"(2.45, 2.72, 2.716923076923077)","(6.0, 9.0, 8.525925925925925)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.164814814814815)","(71.0, 100.0, 92.85714285714286)","(8.5, 12.5, 11.676470588235293)","(15.0, 36.0, 30.0)","(21.0, 40.0, 36.666666666666664)","(21.0, 42.0, 38.8)"
10-01-2023 16:29:32.496886,"(2.45, 2.8, 2.7333333333333334)","(6.0, 9.0, 8.35)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.164814814814815)","(71.0, 100.0, 92.85714285714286)","(8.5, 12.5, 11.875)","(15.0, 36.0, 31.636363636363637)","(21.0, 40.0, 36.666666666666664)","(21.0, 42.0, 38.8)"
10-01-2023 16:29:33.788635,"(2.45, 2.8, 2.73)","(6.0, 9.0, 8.326315789473684)","(31.0, 85.0, 64.5)","(2.5, 3.2, 3.164814814814815)","(71.0, 100.0, 92.85714285714286)","(8.5, 12.0, 11.7)","(15.0, 36.0, 30.666666666666668)","(21.0, 40.0, 36.666666666666664)","(21.0, 42.0, 38.8)"
10-01-2023 16:29:35.219466,"(2.45, 2.8, 2.73)","(6.0, 9.0, 8.29)","(31.0, 85.0, 80.0)","(2.5, 3.2, 3.1191780821917807)","(71.0, 100.0, 93.33333333333333)","(8.5, 12.5, 11.7)","(15.0, 36.0, 33.375)","(21.0, 40.0, 39.0)","(21.0, 42.0, 38.15384615384615)"
10-01-2023 16:29:36.590928,"(2.45, 2.8, 2.73)","(6.0, 8.8, 8.278260869565218)","(31.0, 85.0, 80.0)","(2.5, 3.15, 3.121875)","(71.0, 100.0, 96.0)","(8.5, 12.5, 11.772727272727273)","(15.0, 36.0, 34.38461538461539)","(21.0, 40.0, 39.0)","(21.0, 40.0, 38.15384615384615)"
