,Burns Bay,Luxury Lad,Be My Rock,Stompem Nz,Animado,Yep Got Chooks,Speak With Sam,Bangkok Deejay,Much Bettor Nz,Karloo Bradley Nz
16-12-2022 14:48:35.148567,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(15.0, 34.0, 18.875)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 68.6)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:36.431851,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(15.0, 34.0, 18.875)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 68.6)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:37.692601,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(15.0, 34.0, 18.875)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 68.6)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:38.981343,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(15.0, 34.0, 18.875)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 68.6)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:40.289457,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(15.0, 34.0, 18.875)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 68.6)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:41.571737,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(15.0, 34.0, 18.875)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 68.6)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:42.843550,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(15.0, 34.0, 18.875)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 68.6)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:44.207432,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(15.0, 34.0, 18.875)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 68.6)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:45.617511,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(15.0, 34.0, 18.875)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 68.6)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:46.988535,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(15.0, 34.0, 18.875)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 68.6)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:48.250052,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(15.0, 34.0, 18.875)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 68.6)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:49.501198,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(15.0, 34.0, 18.875)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 68.6)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:50.806407,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(15.0, 34.0, 18.875)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 68.6)","(4.4, 7.2, 6.4)","(19.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:52.097198,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(15.0, 34.0, 18.875)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 73.85714285714286)","(4.4, 7.2, 6.4)","(19.0, 99999, 99990)","(13.0, 99999, 99990)"
