,Purple Flirt,Tuta Rose,Shaggy Rose,Seek And Strike,Beauty Edition,Aerobic System,Diamond Tina,Alpha Ruler
08-01-2023 14:24:09.610253,"(10.0, 20.0, 17.157894736842103)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 30.136363636363637)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:10.986990,"(10.0, 20.0, 17.157894736842103)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 30.136363636363637)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:12.287497,"(10.0, 20.0, 17.157894736842103)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 30.136363636363637)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:13.816167,"(10.0, 20.0, 17.157894736842103)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 30.136363636363637)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:15.185317,"(10.0, 20.0, 17.157894736842103)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 30.136363636363637)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:16.431570,"(10.0, 20.0, 17.157894736842103)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 30.136363636363637)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:17.640223,"(10.0, 20.0, 16.333333333333332)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 30.136363636363637)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:18.864905,"(10.0, 20.0, 16.333333333333332)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 30.136363636363637)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:20.158097,"(10.0, 20.0, 16.333333333333332)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 30.136363636363637)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:21.409786,"(10.0, 20.0, 16.333333333333332)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 32.46153846153846)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:22.632007,"(10.0, 20.0, 16.333333333333332)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 32.46153846153846)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:23.864605,"(10.0, 20.0, 16.333333333333332)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 32.46153846153846)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:25.237789,"(10.0, 20.0, 16.333333333333332)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 32.46153846153846)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:26.434680,"(10.0, 20.0, 16.07142857142857)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 32.46153846153846)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:27.651875,"(10.0, 20.0, 16.333333333333332)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 32.46153846153846)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:28.812039,"(10.0, 20.0, 16.333333333333332)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 32.46153846153846)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:29.892061,"(10.0, 20.0, 16.333333333333332)","(2.8, 5.0, 3.7989189189189188)","(91.0, 99998, 8344.166666666666)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 32.46153846153846)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:31.002207,"(10.0, 20.0, 16.333333333333332)","(2.8, 5.0, 3.7989189189189188)","(91.0, 99998, 8344.166666666666)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:32.031063,"(10.0, 20.0, 16.333333333333332)","(2.8, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:33.203795,"(10.0, 20.0, 16.333333333333332)","(2.8, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:34.342406,"(10.0, 20.0, 16.333333333333332)","(2.8, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:35.525861,"(10.0, 20.0, 16.333333333333332)","(2.8, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:36.690382,"(10.0, 20.0, 16.333333333333332)","(2.8, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:37.839955,"(10.0, 20.0, 16.333333333333332)","(2.8, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:38.949954,"(10.0, 20.0, 16.333333333333332)","(2.8, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:39.953207,"(10.0, 20.0, 16.333333333333332)","(2.8, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:41.022491,"(10.0, 20.0, 16.333333333333332)","(2.8, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:42.232648,"(10.0, 20.0, 16.333333333333332)","(2.8, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:43.505999,"(10.0, 20.0, 16.333333333333332)","(2.8, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:44.678891,"(10.0, 20.0, 16.333333333333332)","(2.8, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:45.846127,"(10.0, 20.0, 16.333333333333332)","(2.8, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:47.025136,"(10.0, 20.0, 17.157894736842103)","(2.8, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.4367346938775514)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:48.230590,"(10.0, 20.0, 17.157894736842103)","(2.8, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.85, 2.6, 2.4367346938775514)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:49.406893,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.85, 2.6, 2.4367346938775514)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:50.606163,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 31.692307692307693)","(31.0, 310.0, 80.0)","(1.85, 2.6, 2.4367346938775514)","(31.0, 90.0, 56.0)"
08-01-2023 14:24:51.828806,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 31.692307692307693)","(31.0, 310.0, 80.0)","(1.85, 2.6, 2.4367346938775514)","(31.0, 90.0, 56.0)"
08-01-2023 14:24:53.019610,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.85, 2.6, 2.4367346938775514)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:54.170052,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.85, 2.6, 2.4367346938775514)","(31.0, 90.0, 48.57142857142857)"
08-01-2023 14:24:55.277704,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 48.57142857142857)"
08-01-2023 14:24:56.458009,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 48.57142857142857)"
08-01-2023 14:24:57.889279,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 48.57142857142857)"
08-01-2023 14:24:59.160547,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 48.57142857142857)"
08-01-2023 14:25:00.407131,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 48.57142857142857)"
08-01-2023 14:25:01.737984,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 48.57142857142857)"
08-01-2023 14:25:02.952477,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 48.57142857142857)"
08-01-2023 14:25:04.175055,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 48.57142857142857)"
08-01-2023 14:25:05.315471,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 48.57142857142857)"
08-01-2023 14:25:06.496193,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 48.57142857142857)"
08-01-2023 14:25:07.555517,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 48.57142857142857)"
08-01-2023 14:25:08.693566,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 48.57142857142857)"
08-01-2023 14:25:09.789928,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 48.57142857142857)"
08-01-2023 14:25:10.888338,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 310.0, 80.0)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 48.57142857142857)"
08-01-2023 14:25:12.024559,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 8344.166666666666)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 32.75)","(31.0, 310.0, 5016.5)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 80.9090909090909)"
08-01-2023 14:25:13.158108,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 99998, 8344.166666666666)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 32.75)","(31.0, 99998, 86.66666666666666)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 59.25)"
08-01-2023 14:25:14.324176,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 99998, 8344.166666666666)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 350.0, 86.66666666666666)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 49.285714285714285)"
08-01-2023 14:25:15.447548,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 350.0, 86.66666666666666)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 49.285714285714285)"
08-01-2023 14:25:16.531808,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 350.0, 86.66666666666666)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 49.285714285714285)"
08-01-2023 14:25:17.628915,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 29.25)","(31.0, 350.0, 86.66666666666666)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 49.285714285714285)"
08-01-2023 14:25:18.844782,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(19.0, 44.0, 30.25)","(31.0, 350.0, 86.66666666666666)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 49.285714285714285)"
08-01-2023 14:25:20.010600,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 5.691666666666666)","(19.0, 46.0, 30.25)","(31.0, 350.0, 86.66666666666666)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 49.285714285714285)"
08-01-2023 14:25:21.198584,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 5.691666666666666)","(19.0, 46.0, 30.25)","(31.0, 350.0, 86.66666666666666)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 49.285714285714285)"
08-01-2023 14:25:22.433457,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 5.691666666666666)","(19.0, 46.0, 30.25)","(31.0, 350.0, 86.66666666666666)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 49.285714285714285)"
08-01-2023 14:25:23.667925,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 5.691666666666666)","(19.0, 46.0, 30.25)","(31.0, 350.0, 86.66666666666666)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 49.285714285714285)"
08-01-2023 14:25:24.913499,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 5.691666666666666)","(19.0, 46.0, 30.25)","(31.0, 350.0, 124.28571428571429)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 49.285714285714285)"
08-01-2023 14:25:26.138326,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 5.691666666666666)","(19.0, 46.0, 30.25)","(31.0, 350.0, 124.28571428571429)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 49.285714285714285)"
08-01-2023 14:25:27.340814,"(10.0, 20.0, 17.157894736842103)","(2.7, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 5.691666666666666)","(19.0, 46.0, 30.25)","(31.0, 350.0, 124.28571428571429)","(1.85, 2.6, 2.4367346938775514)","(31.0, 100.0, 49.285714285714285)"
