,You Turn Baby,Oriental Series,Spritely Glennis,Sweet Chana,Balmain Juror,Demon Kingsbrae,Triangle
15-12-2022 11:11:23.535723,"(3.2, 6.0, 4.7)","(6.5, 17.0, 11.120000000000001)","(10.0, 28.0, 17.0625)","(17.0, 46.0, 28.857142857142858)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:24.593126,"(3.2, 6.0, 4.7)","(6.5, 17.0, 14.5)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:25.690129,"(3.2, 6.0, 4.7)","(6.5, 17.0, 14.5)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:26.780352,"(3.2, 6.0, 4.7)","(6.5, 17.0, 14.5)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:27.868664,"(3.2, 6.0, 4.7)","(6.5, 17.0, 14.5)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:28.876041,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:29.859970,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:30.777069,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:31.828943,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:32.875705,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:33.825649,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:34.786775,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:35.795664,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:36.781204,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:37.737609,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:38.771022,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:39.774548,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:40.806011,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:41.903382,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:42.916509,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:43.907153,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:44.891375,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:45.899172,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:46.982549,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:47.956887,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:48.900232,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:49.944704,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:50.975240,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:51.935602,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:52.972582,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:53.949584,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:54.962892,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:55.978051,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:56.996498,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:57.985049,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:58.985070,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:11:59.929777,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:00.949777,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:01.952328,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:02.925421,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:03.970053,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:04.978615,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:05.984253,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:06.987181,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:08.006387,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:08.986502,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:10.006921,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:11.073623,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:12.139774,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:13.199145,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:14.240513,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:15.237562,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:16.236717,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:17.223281,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:18.289246,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:19.353881,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:20.454515,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:21.522987,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:22.535556,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:23.568819,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:24.619767,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:25.600623,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:26.536144,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:27.597890,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:28.581931,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:29.588040,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:30.570571,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:31.635673,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:32.650568,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:33.673227,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:34.764089,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:35.825036,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:37.075864,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:38.310533,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:39.517462,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:40.712059,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 32.36363636363636)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 111.0)"
15-12-2022 11:12:41.891258,"(3.2, 6.0, 4.7)","(6.5, 17.0, 13.080000000000002)","(10.0, 28.0, 22.375)","(17.0, 46.0, 28.857142857142858)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 88.42857142857143)"
15-12-2022 11:12:43.158904,"(3.2, 6.0, 4.7)","(6.5, 17.0, 14.06)","(10.0, 28.0, 17.0625)","(17.0, 46.0, 28.857142857142858)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 88.42857142857143)"
15-12-2022 11:12:44.391085,"(3.2, 5.8, 4.2727272727272725)","(6.5, 17.0, 14.06)","(10.0, 28.0, 17.0625)","(17.0, 46.0, 28.857142857142858)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 88.42857142857143)"
15-12-2022 11:12:45.640367,"(3.2, 5.8, 4.2727272727272725)","(6.5, 17.0, 14.06)","(10.0, 28.0, 17.0625)","(17.0, 46.0, 28.857142857142858)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 88.42857142857143)"
15-12-2022 11:12:46.856048,"(3.2, 5.8, 4.2727272727272725)","(6.5, 17.0, 14.06)","(10.0, 28.0, 17.0625)","(17.0, 46.0, 28.857142857142858)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 88.42857142857143)"
15-12-2022 11:12:48.103084,"(3.2, 5.8, 4.2727272727272725)","(6.5, 17.0, 14.06)","(10.0, 28.0, 17.0625)","(17.0, 46.0, 28.857142857142858)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 88.42857142857143)"
15-12-2022 11:12:49.295977,"(3.2, 5.8, 4.2727272727272725)","(6.5, 17.0, 14.06)","(10.0, 28.0, 17.0625)","(17.0, 46.0, 28.857142857142858)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 88.42857142857143)"
15-12-2022 11:12:50.457790,"(3.2, 5.8, 4.2727272727272725)","(6.5, 17.0, 14.06)","(10.0, 28.0, 17.0625)","(17.0, 46.0, 28.857142857142858)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 88.42857142857143)"
