,Good Chat Wispy,False Confidence,Mepunga Warrior,Our Fabio,Wheel And Go,Lala Reindeer,Spring Casper
07-01-2023 19:01:25.192554,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 150.0, 52.89473684210526)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:26.499862,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 150.0, 52.89473684210526)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:27.768567,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 150.0, 52.89473684210526)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:28.979563,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 150.0, 52.89473684210526)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:30.187598,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 150.0, 52.89473684210526)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:31.273148,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 150.0, 52.89473684210526)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:32.370902,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 150.0, 52.89473684210526)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:33.488816,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 150.0, 52.89473684210526)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:34.825076,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 150.0, 52.89473684210526)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:36.362405,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 150.0, 52.89473684210526)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:37.483776,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 150.0, 52.89473684210526)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:38.502963,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 150.0, 52.89473684210526)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:39.557373,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 150.0, 52.89473684210526)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:40.666809,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 150.0, 52.89473684210526)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:41.780516,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 150.0, 52.89473684210526)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:42.878716,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 150.0, 77.22222222222223)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:44.038608,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 140.0, 61.333333333333336)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:45.318295,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:46.562481,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:47.841825,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:49.027735,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:50.185175,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:51.465714,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:52.729634,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:53.860235,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:54.944605,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:55.996740,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:57.046004,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:58.239525,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:01:59.328308,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:00.472341,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:01.632303,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.0, 12.0625)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:02.800988,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 14.5, 11.61111111111111)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:03.880634,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 14.5, 11.61111111111111)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:04.936066,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 14.5, 11.61111111111111)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:06.304679,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 14.5, 11.61111111111111)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:07.653632,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 14.5, 11.61111111111111)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:08.979845,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 14.5, 11.61111111111111)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:10.513111,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 14.5, 11.61111111111111)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:12.137264,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.529999999999999)","(8.0, 14.5, 11.61111111111111)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:13.551963,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.6, 4.55)","(8.0, 14.5, 11.61111111111111)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:14.979183,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.8, 4.55)","(8.0, 14.5, 11.61111111111111)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:16.151507,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.8, 4.55)","(8.0, 14.5, 11.61111111111111)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:17.299261,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.8, 4.55)","(8.0, 14.5, 11.61111111111111)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:18.575798,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.8, 4.55)","(8.0, 14.5, 11.61111111111111)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:19.825766,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.8, 4.55)","(8.0, 14.5, 11.88888888888889)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:21.114874,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.8, 4.55)","(8.0, 15.0, 11.88888888888889)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:22.549459,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.8, 4.55)","(8.0, 15.0, 11.88888888888889)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:23.931915,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.8, 4.55)","(8.0, 15.0, 11.88888888888889)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:25.297687,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.8, 4.55)","(8.0, 15.0, 12.166666666666668)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:26.703455,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.8, 4.55)","(8.0, 15.5, 12.166666666666668)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:27.958250,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.8, 4.55)","(8.0, 15.5, 12.166666666666668)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:29.142311,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.8, 4.55)","(8.0, 15.5, 12.166666666666668)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:30.267502,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.8, 4.55)","(8.0, 15.5, 12.166666666666668)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:31.382452,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.8, 4.55)","(8.0, 15.5, 12.166666666666668)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:32.460395,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.8, 4.55)","(8.0, 15.5, 12.166666666666668)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:33.812724,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.8, 4.55)","(8.0, 15.5, 12.166666666666668)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:35.003737,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.2, 6.8, 4.55)","(8.0, 15.5, 12.166666666666668)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:36.182578,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.568)","(4.4, 6.8, 4.55)","(8.0, 15.5, 12.166666666666668)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:37.426870,"(4.6, 8.4, 6.888888888888889)","(2.45, 2.82, 2.640909090909091)","(4.4, 6.8, 4.55)","(8.0, 15.5, 12.166666666666668)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:38.542048,"(4.6, 8.4, 6.888888888888889)","(2.45, 3.65, 2.857142857142857)","(4.4, 6.8, 4.55)","(8.0, 15.5, 12.166666666666668)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:39.670124,"(4.6, 8.4, 6.888888888888889)","(2.45, 3.65, 2.857142857142857)","(4.4, 6.8, 4.55)","(8.0, 15.5, 12.166666666666668)","(4.8, 9.2, 8.08)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 49.666666666666664)"
07-01-2023 19:02:40.980517,"(4.6, 8.4, 6.888888888888889)","(2.45, 3.65, 3.187777777777778)","(4.4, 6.8, 4.55)","(8.0, 15.5, 12.166666666666668)","(4.8, 9.2, 7.96)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 44.66666666666667)"
07-01-2023 19:02:42.190949,"(4.6, 8.4, 6.888888888888889)","(2.45, 3.6, 3.187777777777778)","(4.4, 6.8, 4.55)","(8.0, 15.5, 12.166666666666668)","(4.8, 9.0, 7.96)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 44.66666666666667)"
07-01-2023 19:02:43.330145,"(4.6, 8.4, 6.888888888888889)","(2.45, 3.6, 3.187777777777778)","(4.4, 6.8, 4.55)","(8.0, 15.5, 12.166666666666668)","(4.8, 9.0, 7.96)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 44.66666666666667)"
07-01-2023 19:02:44.419441,"(4.6, 8.4, 6.888888888888889)","(2.45, 3.6, 3.4908823529411768)","(4.4, 6.8, 4.55)","(8.0, 15.5, 12.166666666666668)","(4.8, 9.0, 7.96)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 44.66666666666667)"
07-01-2023 19:02:45.495240,"(4.6, 8.4, 6.888888888888889)","(2.45, 3.6, 3.4908823529411768)","(4.4, 6.8, 4.55)","(8.0, 15.5, 12.166666666666668)","(4.8, 9.0, 7.96)","(26.0, 130.0, 56.42857142857143)","(13.0, 55.0, 44.66666666666667)"
