,Power Legend,Ugly Nicos,Gold Serenade,Boys Cry,Mi Greyt Mate,Rodeo Legend,Moanastar,Gracious Gracie,Lady Goodfellow,Vardon
09-01-2023 15:43:55.349423,"(17.0, 25.0, 22.875)","(1.95, 2.26, 2.1436363636363636)","(19.0, 26.0, 25.0)","(14.0, 32.0, 20.23076923076923)","(41.0, 190.0, 143.33333333333331)","(10.0, 15.0, 12.083333333333334)","(7.5, 15.0, 14.25)","(21.0, 30.0, 28.615384615384617)","(11.0, 21.0, 20.607142857142858)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:43:56.693743,"(17.0, 25.0, 22.875)","(1.95, 2.26, 2.1746666666666665)","(19.0, 26.0, 25.0)","(14.0, 32.0, 20.23076923076923)","(41.0, 190.0, 143.33333333333331)","(10.0, 15.0, 12.083333333333334)","(7.5, 15.0, 14.25)","(21.0, 30.0, 29.454545454545453)","(11.0, 21.0, 20.607142857142858)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:43:58.024654,"(17.0, 25.0, 22.875)","(1.95, 2.26, 2.1746666666666665)","(19.0, 26.0, 25.0)","(14.0, 32.0, 20.23076923076923)","(41.0, 190.0, 143.33333333333331)","(10.0, 15.0, 12.083333333333334)","(7.5, 15.0, 14.25)","(21.0, 30.0, 32.75)","(11.0, 21.0, 20.607142857142858)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:43:59.486520,"(17.0, 25.0, 22.875)","(1.95, 2.26, 2.1746666666666665)","(19.0, 26.0, 25.0)","(14.0, 32.0, 20.23076923076923)","(41.0, 190.0, 143.33333333333331)","(10.0, 15.0, 12.083333333333334)","(7.5, 15.0, 14.25)","(21.0, 34.0, 32.75)","(11.0, 21.0, 20.607142857142858)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:00.979237,"(17.0, 25.0, 22.875)","(1.95, 2.26, 2.1746666666666665)","(19.0, 26.0, 25.0)","(14.0, 32.0, 20.23076923076923)","(41.0, 190.0, 143.33333333333331)","(10.0, 15.0, 12.083333333333334)","(7.5, 15.0, 14.25)","(21.0, 34.0, 32.75)","(11.0, 21.0, 20.607142857142858)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:02.482183,"(17.0, 25.0, 22.875)","(1.95, 2.26, 2.1746666666666665)","(19.0, 26.0, 25.0)","(14.0, 32.0, 26.115384615384613)","(41.0, 190.0, 143.33333333333331)","(10.0, 15.0, 14.326923076923077)","(7.5, 15.0, 14.25)","(21.0, 34.0, 32.75)","(11.0, 21.0, 18.25)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:03.879011,"(17.0, 25.0, 22.875)","(1.95, 2.26, 2.1746666666666665)","(19.0, 26.0, 25.0)","(14.0, 32.0, 27.041666666666668)","(41.0, 190.0, 143.33333333333331)","(10.0, 15.0, 14.23913043478261)","(7.5, 15.0, 14.25)","(21.0, 34.0, 31.304347826086957)","(11.0, 21.0, 18.0)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:05.432743,"(17.0, 25.0, 22.875)","(1.95, 2.26, 2.1746666666666665)","(19.0, 26.0, 25.0)","(14.0, 32.0, 28.761904761904763)","(41.0, 190.0, 143.33333333333331)","(10.0, 15.0, 14.23913043478261)","(7.5, 15.0, 14.25)","(21.0, 36.0, 32.75)","(11.0, 21.0, 18.0)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:06.869648,"(17.0, 25.0, 22.875)","(1.95, 2.26, 2.1746666666666665)","(19.0, 26.0, 25.0)","(14.0, 32.0, 28.761904761904763)","(41.0, 190.0, 143.33333333333331)","(10.0, 15.0, 14.23913043478261)","(7.5, 15.0, 14.25)","(21.0, 34.0, 32.75)","(11.0, 21.0, 18.0)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:08.385252,"(17.0, 25.0, 22.875)","(1.95, 2.26, 2.1746666666666665)","(19.0, 26.0, 25.0)","(14.0, 32.0, 28.761904761904763)","(41.0, 190.0, 151.42857142857142)","(10.0, 15.0, 13.125)","(7.5, 15.0, 14.25)","(21.0, 34.0, 32.75)","(11.0, 21.0, 18.0)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:09.832851,"(17.0, 25.0, 22.875)","(1.95, 2.26, 2.1746666666666665)","(19.0, 26.0, 25.0)","(14.0, 32.0, 26.115384615384613)","(41.0, 190.0, 151.42857142857142)","(10.0, 15.0, 13.5)","(7.5, 15.0, 14.25)","(21.0, 34.0, 31.77777777777778)","(11.0, 21.0, 18.0)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:11.193264,"(17.0, 25.0, 22.875)","(1.95, 2.26, 2.1746666666666665)","(19.0, 26.0, 25.0)","(14.0, 32.0, 26.115384615384613)","(41.0, 190.0, 151.42857142857142)","(10.0, 15.0, 13.5)","(7.5, 15.0, 14.25)","(21.0, 34.0, 31.77777777777778)","(11.0, 21.0, 18.0)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:12.504401,"(17.0, 25.0, 22.875)","(1.95, 2.26, 2.1746666666666665)","(19.0, 26.0, 25.0)","(14.0, 32.0, 26.115384615384613)","(41.0, 190.0, 151.42857142857142)","(10.0, 15.0, 13.5)","(7.5, 15.0, 14.25)","(21.0, 34.0, 31.77777777777778)","(11.0, 21.0, 18.0)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:13.755996,"(17.0, 25.0, 22.875)","(1.95, 2.26, 2.1746666666666665)","(19.0, 26.0, 25.0)","(14.0, 32.0, 26.115384615384613)","(41.0, 190.0, 163.0)","(10.0, 15.0, 13.5)","(7.5, 15.0, 14.25)","(21.0, 34.0, 31.77777777777778)","(11.0, 21.0, 20.57142857142857)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:15.041373,"(17.0, 25.0, 22.875)","(1.95, 2.26, 2.1746666666666665)","(19.0, 26.0, 25.0)","(14.0, 32.0, 26.115384615384613)","(41.0, 190.0, 163.0)","(10.0, 15.0, 13.5)","(7.5, 15.0, 13.8)","(21.0, 34.0, 31.77777777777778)","(11.0, 21.0, 20.57142857142857)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:16.511795,"(17.0, 25.0, 22.875)","(1.95, 2.26, 2.1746666666666665)","(19.0, 26.0, 24.0)","(14.0, 32.0, 22.71875)","(41.0, 190.0, 163.0)","(10.0, 15.0, 14.1)","(7.5, 15.0, 13.666666666666666)","(21.0, 34.0, 30.0)","(11.0, 21.0, 20.57142857142857)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:17.931524,"(17.0, 25.0, 22.875)","(1.95, 2.26, 2.1746666666666665)","(19.0, 26.0, 24.0)","(14.0, 32.0, 22.71875)","(41.0, 190.0, 163.0)","(10.0, 15.0, 14.1)","(7.5, 15.0, 13.8)","(21.0, 34.0, 31.0)","(11.0, 21.0, 20.57142857142857)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:19.312637,"(17.0, 25.0, 22.875)","(1.95, 2.26, 2.1746666666666665)","(19.0, 26.0, 24.0)","(14.0, 32.0, 22.71875)","(41.0, 190.0, 163.0)","(10.0, 15.0, 14.1)","(7.5, 15.0, 13.8)","(21.0, 34.0, 31.0)","(11.0, 21.0, 20.57142857142857)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:20.631498,"(17.0, 25.0, 22.875)","(1.95, 2.26, 2.1746666666666665)","(19.0, 26.0, 24.0)","(14.0, 32.0, 22.71875)","(41.0, 190.0, 163.0)","(10.0, 15.0, 14.1)","(7.5, 15.0, 13.8)","(21.0, 34.0, 31.0)","(11.0, 21.0, 20.57142857142857)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:21.942686,"(17.0, 25.0, 22.875)","(1.95, 2.26, 2.1746666666666665)","(19.0, 26.0, 24.0)","(14.0, 32.0, 21.714285714285715)","(41.0, 190.0, 163.0)","(10.0, 15.0, 14.1)","(7.5, 15.0, 13.8)","(21.0, 34.0, 31.0)","(11.0, 21.0, 20.57142857142857)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:23.167755,"(17.0, 25.0, 22.875)","(1.95, 2.26, 2.1746666666666665)","(19.0, 26.0, 24.0)","(14.0, 32.0, 21.714285714285715)","(41.0, 190.0, 163.0)","(10.0, 15.0, 14.1)","(7.5, 15.0, 13.8)","(21.0, 34.0, 31.0)","(11.0, 21.0, 20.57142857142857)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:24.419231,"(17.0, 25.0, 22.875)","(1.95, 2.4, 2.184)","(19.0, 26.0, 24.0)","(14.0, 32.0, 26.46153846153846)","(41.0, 190.0, 163.0)","(10.0, 15.0, 13.875)","(7.5, 15.0, 13.666666666666666)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 18.0)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:25.762431,"(17.0, 25.0, 22.875)","(1.95, 2.4, 2.142)","(19.0, 26.0, 24.0)","(14.0, 32.0, 26.46153846153846)","(41.0, 190.0, 163.0)","(10.0, 15.0, 13.875)","(7.5, 15.0, 13.666666666666666)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 18.0)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:27.079088,"(17.0, 25.0, 22.875)","(1.95, 2.38, 2.142)","(19.0, 26.0, 24.0)","(14.0, 32.0, 26.46153846153846)","(41.0, 190.0, 163.0)","(10.0, 15.0, 13.875)","(7.5, 15.0, 13.666666666666666)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 18.0)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:28.377967,"(17.0, 25.0, 22.875)","(1.95, 2.38, 2.1336)","(19.0, 26.0, 24.0)","(14.0, 32.0, 26.46153846153846)","(41.0, 190.0, 163.0)","(10.0, 15.0, 13.875)","(7.5, 15.0, 13.666666666666666)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 18.0)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:29.625088,"(17.0, 25.0, 22.875)","(1.95, 2.38, 2.1336)","(19.0, 26.0, 24.0)","(14.0, 32.0, 26.46153846153846)","(41.0, 190.0, 163.0)","(10.0, 15.0, 13.875)","(7.5, 15.0, 13.666666666666666)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 18.0)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:30.877780,"(17.0, 25.0, 22.875)","(1.95, 2.38, 2.1336)","(19.0, 26.0, 24.0)","(14.0, 32.0, 26.46153846153846)","(41.0, 190.0, 163.0)","(10.0, 15.0, 13.875)","(7.5, 15.0, 13.666666666666666)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 18.0)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:32.136906,"(17.0, 25.0, 22.875)","(1.95, 2.38, 2.1336)","(19.0, 26.0, 24.0)","(14.0, 32.0, 26.46153846153846)","(41.0, 190.0, 163.0)","(10.0, 15.0, 13.875)","(7.5, 15.0, 13.666666666666666)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 18.0)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:33.336552,"(17.0, 25.0, 22.875)","(1.95, 2.38, 2.1336)","(19.0, 26.0, 24.0)","(14.0, 32.0, 26.46153846153846)","(41.0, 190.0, 163.0)","(10.0, 15.0, 13.875)","(7.5, 15.0, 13.666666666666666)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 18.0)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:34.546538,"(17.0, 25.0, 22.875)","(1.95, 2.38, 2.1336)","(19.0, 26.0, 24.0)","(14.0, 32.0, 26.46153846153846)","(41.0, 190.0, 163.0)","(10.0, 15.0, 13.875)","(7.5, 15.0, 13.666666666666666)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 18.0)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:35.747166,"(17.0, 25.0, 22.875)","(1.95, 2.38, 2.3264347826086955)","(19.0, 26.0, 24.0)","(14.0, 32.0, 18.05)","(41.0, 190.0, 163.0)","(10.0, 15.0, 13.875)","(7.5, 15.0, 13.823529411764707)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 20.57142857142857)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:36.961452,"(17.0, 25.0, 22.875)","(1.95, 2.38, 2.3264347826086955)","(19.0, 26.0, 24.0)","(14.0, 32.0, 18.05)","(41.0, 190.0, 163.0)","(10.0, 15.0, 13.875)","(7.5, 15.0, 13.823529411764707)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 20.57142857142857)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:38.204970,"(17.0, 25.0, 22.875)","(1.95, 2.38, 2.3264347826086955)","(19.0, 26.0, 24.0)","(14.0, 32.0, 18.05)","(41.0, 190.0, 163.0)","(10.0, 15.0, 13.875)","(7.5, 15.0, 13.823529411764707)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 20.57142857142857)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:39.451699,"(17.0, 25.0, 22.875)","(1.95, 2.38, 2.3264347826086955)","(19.0, 26.0, 24.0)","(14.0, 32.0, 18.05)","(41.0, 190.0, 163.0)","(10.0, 15.0, 13.875)","(7.5, 15.0, 13.823529411764707)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 20.57142857142857)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:40.646998,"(17.0, 25.0, 22.875)","(1.95, 2.38, 2.3264347826086955)","(19.0, 26.0, 24.0)","(14.0, 32.0, 21.26923076923077)","(41.0, 190.0, 169.23076923076923)","(10.0, 15.0, 12.75)","(7.5, 15.0, 13.823529411764707)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 20.57142857142857)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:41.828383,"(17.0, 25.0, 22.875)","(1.95, 2.38, 2.3264347826086955)","(19.0, 26.0, 24.0)","(14.0, 32.0, 21.26923076923077)","(41.0, 190.0, 163.0)","(10.0, 15.0, 12.75)","(7.5, 15.0, 13.823529411764707)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 20.57142857142857)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:42.984179,"(17.0, 25.0, 22.875)","(1.95, 2.38, 2.3264347826086955)","(19.0, 26.0, 24.0)","(14.0, 32.0, 21.26923076923077)","(41.0, 190.0, 163.0)","(10.0, 15.0, 12.75)","(7.5, 15.0, 13.823529411764707)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 20.57142857142857)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:44.183674,"(17.0, 25.0, 22.875)","(1.95, 2.38, 2.3264347826086955)","(19.0, 26.0, 24.0)","(14.0, 32.0, 21.26923076923077)","(41.0, 190.0, 163.0)","(10.0, 15.0, 12.75)","(7.5, 15.0, 14.23076923076923)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 20.57142857142857)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:45.372865,"(17.0, 25.0, 22.875)","(1.95, 2.38, 2.3264347826086955)","(19.0, 26.0, 24.0)","(14.0, 32.0, 21.26923076923077)","(41.0, 190.0, 163.0)","(10.0, 15.0, 12.75)","(7.5, 15.0, 13.823529411764707)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 20.57142857142857)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:46.547817,"(17.0, 25.0, 24.15)","(1.95, 2.38, 2.3264347826086955)","(19.0, 26.0, 24.0)","(14.0, 32.0, 21.26923076923077)","(41.0, 190.0, 163.0)","(10.0, 15.0, 12.75)","(7.5, 15.0, 13.823529411764707)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 20.57142857142857)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:47.756734,"(17.0, 25.0, 24.15)","(1.95, 2.38, 2.3264347826086955)","(19.0, 26.0, 24.0)","(14.0, 32.0, 26.42)","(41.0, 190.0, 163.0)","(10.0, 15.0, 12.75)","(7.5, 15.0, 13.823529411764707)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 18.0)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:48.992779,"(17.0, 25.0, 24.15)","(1.95, 2.38, 2.1336)","(19.0, 26.0, 24.0)","(14.0, 32.0, 26.42)","(41.0, 190.0, 163.0)","(10.0, 15.0, 12.75)","(7.5, 15.0, 14.23076923076923)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 18.0)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:50.323919,"(17.0, 25.0, 24.15)","(1.95, 2.38, 2.1336)","(19.0, 26.0, 24.0)","(14.0, 32.0, 26.42)","(41.0, 190.0, 163.0)","(10.0, 15.0, 12.75)","(7.5, 15.0, 14.23076923076923)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 18.0)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:51.566713,"(17.0, 25.0, 24.15)","(1.95, 2.38, 2.1336)","(19.0, 26.0, 24.0)","(14.0, 32.0, 26.42)","(41.0, 190.0, 163.0)","(10.0, 15.0, 13.166666666666666)","(7.5, 15.0, 14.23076923076923)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 18.0)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:52.756485,"(17.0, 25.0, 24.15)","(1.95, 2.38, 2.1336)","(19.0, 26.0, 24.0)","(14.0, 32.0, 26.42)","(41.0, 190.0, 163.0)","(10.0, 15.5, 12.583333333333334)","(7.5, 15.0, 13.823529411764707)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 18.0)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:53.940849,"(17.0, 25.0, 24.15)","(1.95, 2.38, 2.1336)","(19.0, 26.0, 24.0)","(14.0, 32.0, 26.42)","(41.0, 190.0, 163.0)","(10.0, 15.5, 12.583333333333334)","(7.5, 15.0, 14.23076923076923)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 18.0)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:55.135738,"(17.0, 25.0, 24.15)","(1.95, 2.38, 2.1336)","(19.0, 26.0, 24.0)","(14.0, 32.0, 26.42)","(41.0, 190.0, 163.0)","(10.0, 15.5, 12.583333333333334)","(7.5, 15.0, 14.23076923076923)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 18.0)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:56.450953,"(17.0, 25.0, 24.15)","(1.95, 2.38, 2.205)","(19.0, 26.0, 24.0)","(14.0, 32.0, 26.42)","(41.0, 190.0, 163.0)","(10.0, 15.5, 12.583333333333334)","(7.5, 15.0, 14.23076923076923)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 18.0)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:57.687410,"(17.0, 25.0, 24.15)","(1.95, 2.36, 2.1390000000000002)","(19.0, 26.0, 24.0)","(14.0, 32.0, 26.42)","(41.0, 190.0, 163.0)","(10.0, 15.5, 12.583333333333334)","(7.5, 15.0, 14.23076923076923)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 18.0)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:44:59.007433,"(17.0, 25.0, 24.15)","(1.95, 2.36, 2.1312)","(19.0, 26.0, 24.0)","(14.0, 32.0, 26.42)","(41.0, 190.0, 163.0)","(10.0, 15.5, 12.583333333333334)","(7.5, 15.0, 14.23076923076923)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 20.57142857142857)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:45:00.329667,"(17.0, 25.0, 24.15)","(1.95, 2.36, 2.1312)","(19.0, 26.0, 24.0)","(14.0, 32.0, 26.42)","(41.0, 190.0, 163.0)","(10.0, 15.5, 12.166666666666666)","(7.5, 15.0, 14.23076923076923)","(21.0, 34.0, 31.88235294117647)","(11.0, 21.0, 20.57142857142857)","(5.0, 5.8, 5.516666666666667)"
