,Flick The Joker,Orara Dan,Boys Light Up,Steel Gambler,Showdown,Cash Ability,Shanghai Gold,Impress Dressel
08-01-2023 18:52:14.753867,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 17.866666666666667)","(81.0, 590.0, 494.0)","(4.6, 9.8, 8.133333333333333)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:15.807985,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 17.866666666666667)","(81.0, 590.0, 511.66666666666663)","(4.6, 9.8, 9.255555555555556)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:16.893697,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 17.866666666666667)","(81.0, 590.0, 511.66666666666663)","(4.6, 9.8, 9.255555555555556)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:18.095969,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 17.866666666666667)","(81.0, 590.0, 511.66666666666663)","(4.6, 9.8, 9.255555555555556)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:19.332124,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 17.866666666666667)","(81.0, 590.0, 511.66666666666663)","(4.6, 9.8, 9.255555555555556)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:20.510596,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 17.866666666666667)","(81.0, 590.0, 506.66666666666663)","(4.6, 9.8, 9.379999999999999)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:21.634779,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 17.866666666666667)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.5, 9.7)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:22.688980,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 17.866666666666667)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.7)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:23.819200,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 17.866666666666667)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.7)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:24.895154,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 17.866666666666667)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.7)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:26.021702,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 17.866666666666667)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.7)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:27.101266,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 17.866666666666667)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.7)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:28.213850,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 17.933333333333334)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.166666666666668)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:29.285777,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 17.933333333333334)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:30.352734,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 17.933333333333334)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:31.443089,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 20.577777777777776)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:32.530852,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 20.577777777777776)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:33.559162,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 20.577777777777776)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:34.665389,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 20.577777777777776)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:35.818293,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 20.577777777777776)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:36.968026,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 20.577777777777776)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:38.068725,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 20.577777777777776)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:39.086146,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 20.577777777777776)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:40.150474,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 20.577777777777776)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:41.332229,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 20.577777777777776)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:42.479342,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 20.577777777777776)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:43.581183,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 20.577777777777776)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:44.582068,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 20.577777777777776)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:45.698216,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 20.577777777777776)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:46.804855,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 20.577777777777776)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:47.934624,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 20.577777777777776)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:49.005647,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 19.978947368421053)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:50.092637,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 19.978947368421053)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:51.153373,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 19.978947368421053)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:52.275652,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 19.978947368421053)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:53.335265,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 19.978947368421053)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:54.425466,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 19.978947368421053)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:55.503029,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 19.978947368421053)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:56.585973,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 19.978947368421053)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:57.672773,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 19.978947368421053)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:58.777191,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 19.978947368421053)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:59.845644,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 19.978947368421053)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:53:00.883075,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 19.978947368421053)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:53:01.971535,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 19.978947368421053)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:53:03.075624,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 19.978947368421053)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:53:04.146844,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 19.978947368421053)","(81.0, 490.0, 423.33333333333337)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:53:05.248646,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 19.978947368421053)","(81.0, 490.0, 423.33333333333337)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:53:06.226188,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 19.978947368421053)","(81.0, 490.0, 423.33333333333337)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:53:07.287536,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 19.978947368421053)","(81.0, 490.0, 423.33333333333337)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:53:08.435926,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 19.978947368421053)","(81.0, 490.0, 423.33333333333337)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:53:09.569929,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 19.978947368421053)","(81.0, 490.0, 423.33333333333337)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
08-01-2023 18:53:10.697516,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 19.978947368421053)","(81.0, 490.0, 423.33333333333337)","(4.6, 10.0, 9.69375)","(5.0, 6.0, 5.625)"
