,Frame Drive,Perfect Feeling,Swinging George,Lazy Blaze,Mystical Jazz,Our Boy Roy,Wonderwoman Jujon,Vermont,Tactfilly Miracle
15-12-2022 14:54:19.138596,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:20.193869,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:21.257780,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:22.352380,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:23.438925,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:24.479738,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:25.552670,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:26.656938,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:27.718329,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:28.770086,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:29.857000,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:31.152813,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:32.541002,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:33.721154,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:34.915905,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:36.102492,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:37.211543,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:38.341871,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:39.461566,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:40.596757,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:41.655283,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:42.759350,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:43.838972,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:44.951122,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:46.096193,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:47.261061,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:48.391033,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:49.509426,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:50.644750,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:51.820021,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:52.906330,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:54.029751,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:55.155603,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:56.247982,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:57.401027,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:58.575146,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:59.748106,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:00.916729,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:02.135607,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:03.305749,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:04.438203,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:05.535019,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:06.666119,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:07.755531,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:08.871068,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:10.028108,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:11.192121,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:12.330477,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:13.534326,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:14.708873,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:15.848555,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:17.042916,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:18.176892,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:19.249939,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:20.376363,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:21.455057,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:22.527568,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:23.648786,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:24.791644,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:25.933528,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:27.069591,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:28.216523,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:29.376306,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:55:30.477336,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
